experiment,pioreactor_unit,timestamp,event,volume_change_ml,source_of_event,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-26T17:48:06.446Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-26 23:33:06.446,1399.440833333333
Pulse experiments,pioreactor01,2026-08-26T17:48:06.950Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-26 23:33:06.950,1399.440833333333
Pulse experiments,pioreactor01,2026-08-26T17:48:07.450Z,remove_waste,0.0386746334,dosing_automation:manual_dosing_control,2026-08-26 23:33:07.450,1399.441111111111
Pulse experiments,pioreactor01,2026-08-26T17:48:08.024Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-26 23:33:08.024,1399.441388888889
Pulse experiments,pioreactor01,2026-08-26T17:48:08.525Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-26 23:33:08.525,1399.441388888889
Pulse experiments,pioreactor01,2026-08-26T17:48:09.027Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-26 23:33:09.027,1399.441666666667
Pulse experiments,pioreactor01,2026-08-26T17:48:09.527Z,add_media,0.0569744705,dosing_automation:manual_dosing_control,2026-08-26 23:33:09.527,1399.441666666667
Pulse experiments,pioreactor01,2026-08-26T18:13:10.367Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-26 23:58:10.367,1399.858611111111
Pulse experiments,pioreactor01,2026-08-26T18:13:10.868Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-26 23:58:10.868,1399.858611111111
Pulse experiments,pioreactor01,2026-08-26T18:13:11.369Z,remove_waste,0.0386746334,dosing_automation:manual_dosing_control,2026-08-26 23:58:11.369,1399.858888888889
Pulse experiments,pioreactor01,2026-08-26T18:13:11.825Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-26 23:58:11.825,1399.858888888889
Pulse experiments,pioreactor01,2026-08-26T18:13:12.326Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-26 23:58:12.326,1399.859166666667
Pulse experiments,pioreactor01,2026-08-26T18:13:12.826Z,add_media,0.064649647,dosing_automation:manual_dosing_control,2026-08-26 23:58:12.826,1399.859166666667
Pulse experiments,pioreactor01,2026-08-26T18:13:13.610Z,add_alt_media,0.01,dosing_automation:manual_dosing_control,2026-08-26 23:58:13.610,1399.859444444445
Pulse experiments,pioreactor01,2026-08-26T18:38:14.111Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-27 00:23:14.111,1400.276388888889
Pulse experiments,pioreactor01,2026-08-26T18:38:14.618Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-27 00:23:14.618,1400.276388888889
Pulse experiments,pioreactor01,2026-08-26T18:38:15.118Z,remove_waste,0.0386746334,dosing_automation:manual_dosing_control,2026-08-27 00:23:15.118,1400.276666666667
Pulse experiments,pioreactor01,2026-08-26T18:38:15.574Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-27 00:23:15.574,1400.276666666667
Pulse experiments,pioreactor01,2026-08-26T18:38:16.075Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-27 00:23:16.075,1400.276944444445
Pulse experiments,pioreactor01,2026-08-26T18:38:16.576Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-27 00:23:16.576,1400.276944444445
Pulse experiments,pioreactor01,2026-08-26T18:38:17.076Z,add_media,0.0469744705,dosing_automation:manual_dosing_control,2026-08-27 00:23:17.076,1400.277222222222
Pulse experiments,pioreactor01,2026-08-26T18:38:17.605Z,add_alt_media,0.02,dosing_automation:manual_dosing_control,2026-08-27 00:23:17.605,1400.277222222222
Pulse experiments,pioreactor01,2026-08-26T19:03:18.332Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-27 00:48:18.332,1400.694166666667
Pulse experiments,pioreactor01,2026-08-26T19:03:18.839Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-27 00:48:18.839,1400.694166666667
Pulse experiments,pioreactor01,2026-08-26T19:03:19.340Z,remove_waste,0.0386746334,dosing_automation:manual_dosing_control,2026-08-27 00:48:19.340,1400.694444444444
Pulse experiments,pioreactor01,2026-08-26T19:03:19.789Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-27 00:48:19.789,1400.694444444444
Pulse experiments,pioreactor01,2026-08-26T19:03:20.290Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-27 00:48:20.290,1400.694722222222
Pulse experiments,pioreactor01,2026-08-26T19:03:20.792Z,add_media,0.064649647,dosing_automation:manual_dosing_control,2026-08-27 00:48:20.792,1400.694722222222
Pulse experiments,pioreactor01,2026-08-26T19:03:21.428Z,add_alt_media,0.03,dosing_automation:manual_dosing_control,2026-08-27 00:48:21.428,1400.695
Pulse experiments,pioreactor01,2026-08-26T19:28:22.043Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-27 01:13:22.043,1401.111944444444
Pulse experiments,pioreactor01,2026-08-26T19:28:22.550Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-27 01:13:22.550,1401.111944444444
Pulse experiments,pioreactor01,2026-08-26T19:28:23.050Z,remove_waste,0.0386746334,dosing_automation:manual_dosing_control,2026-08-27 01:13:23.050,1401.112222222222
Pulse experiments,pioreactor01,2026-08-26T19:28:23.513Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-27 01:13:23.513,1401.112222222222
Pulse experiments,pioreactor01,2026-08-26T19:28:24.014Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-27 01:13:24.014,1401.1125
Pulse experiments,pioreactor01,2026-08-26T19:28:24.514Z,add_media,0.074649647,dosing_automation:manual_dosing_control,2026-08-27 01:13:24.514,1401.1125
Pulse experiments,pioreactor01,2026-08-26T19:28:25.207Z,add_alt_media,0.05,dosing_automation:manual_dosing_control,2026-08-27 01:13:25.207,1401.112777777778
Pulse experiments,pioreactor01,2026-08-26T19:53:25.893Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-27 01:38:25.893,1401.529444444444
Pulse experiments,pioreactor01,2026-08-26T19:53:26.400Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-27 01:38:26.400,1401.529722222222
Pulse experiments,pioreactor01,2026-08-26T19:53:26.901Z,remove_waste,0.0386746334,dosing_automation:manual_dosing_control,2026-08-27 01:38:26.901,1401.529722222222
Pulse experiments,pioreactor01,2026-08-26T19:53:27.389Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-27 01:38:27.389,1401.53
Pulse experiments,pioreactor01,2026-08-26T19:53:27.889Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-27 01:38:27.889,1401.53
Pulse experiments,pioreactor01,2026-08-26T19:53:28.390Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-27 01:38:28.390,1401.530277777778
