experiment,pioreactor_unit,timestamp,channel,intensity,source_of_event,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-26T17:48:33.393Z,C,0.0,,2026-08-26 23:33:33.393,1399.448333333333
Pulse experiments,pioreactor01,2026-08-26T17:49:49.992Z,C,15.0,,2026-08-26 23:34:49.992,1399.469444444444
Pulse experiments,pioreactor01,2026-08-26T17:57:18.129Z,C,50.0,UI,2026-08-26 23:42:18.129,1399.594166666667
Pulse experiments,pioreactor01,2026-08-26T18:14:50.138Z,C,1.3,,2026-08-26 23:59:50.138,1399.886388888889
Pulse experiments,pioreactor01,2026-08-26T18:39:50.306Z,C,3.3,,2026-08-27 00:24:50.306,1400.303055555556
Pulse experiments,pioreactor01,2026-08-26T19:04:50.477Z,C,1.3,,2026-08-27 00:49:50.477,1400.719722222222
Pulse experiments,pioreactor01,2026-08-26T19:29:50.653Z,C,1.3,,2026-08-27 01:14:50.653,1401.136388888889
Pulse experiments,pioreactor01,2026-08-26T19:54:50.844Z,C,2.6,,2026-08-27 01:39:50.844,1401.553055555556
Pulse experiments,pioreactor01,2026-08-26T20:19:51.031Z,C,0.6,,2026-08-27 02:04:51.031,1401.97
Pulse experiments,pioreactor01,2026-08-26T20:44:51.199Z,C,20.0,,2026-08-27 02:29:51.199,1402.386666666667
Pulse experiments,pioreactor01,2026-08-26T21:09:51.374Z,C,0.8,,2026-08-27 02:54:51.374,1402.803333333333
Pulse experiments,pioreactor01,2026-08-26T21:34:51.547Z,C,12.8,,2026-08-27 03:19:51.547,1403.22
Pulse experiments,pioreactor01,2026-08-26T21:59:51.719Z,C,0.3,,2026-08-27 03:44:51.719,1403.636666666667
Pulse experiments,pioreactor01,2026-08-26T22:24:51.882Z,C,45.0,,2026-08-27 04:09:51.882,1404.053333333333
Pulse experiments,pioreactor01,2026-08-26T22:49:52.084Z,C,0.9,,2026-08-27 04:34:52.084,1404.470277777778
Pulse experiments,pioreactor01,2026-08-27T00:29:52.833Z,C,1.3,,2026-08-27 06:14:52.833,1406.136944444444
Pulse experiments,pioreactor01,2026-08-27T00:54:53.073Z,C,0.3,,2026-08-27 06:39:53.073,1406.553888888889
Pulse experiments,pioreactor01,2026-08-27T01:19:53.281Z,C,4.8,,2026-08-27 07:04:53.281,1406.970555555556
Pulse experiments,pioreactor01,2026-08-27T01:44:53.499Z,C,0.4,,2026-08-27 07:29:53.499,1407.387222222222
Pulse experiments,pioreactor01,2026-08-27T02:09:53.690Z,C,8.4,,2026-08-27 07:54:53.690,1407.803888888889
Pulse experiments,pioreactor01,2026-08-27T02:34:53.852Z,C,0.0,,2026-08-27 08:19:53.852,1408.220555555556
Pulse experiments,pioreactor01,2026-08-27T02:59:54.028Z,C,42.7,,2026-08-27 08:44:54.028,1408.6375
Pulse experiments,pioreactor01,2026-08-27T03:24:54.203Z,C,0.5,,2026-08-27 09:09:54.203,1409.054166666667
Pulse experiments,pioreactor01,2026-08-27T03:49:54.381Z,C,1.3,,2026-08-27 09:34:54.381,1409.470833333333
Pulse experiments,pioreactor01,2026-08-27T04:14:54.573Z,C,0.4,,2026-08-27 09:59:54.573,1409.8875
Pulse experiments,pioreactor01,2026-08-27T04:39:54.750Z,C,0.2,,2026-08-27 10:24:54.750,1410.304166666667
Pulse experiments,pioreactor01,2026-08-27T05:04:54.950Z,C,1.3,,2026-08-27 10:49:54.950,1410.720833333333
Pulse experiments,pioreactor01,2026-08-27T05:29:55.150Z,C,0.0,,2026-08-27 11:14:55.150,1411.137777777778
Pulse experiments,pioreactor01,2026-08-27T05:54:55.300Z,C,15.0,,2026-08-27 11:39:55.300,1411.554444444444
Pulse experiments,pioreactor01,2026-08-27T06:19:55.355Z,C,1.3,,2026-08-27 12:04:55.355,1411.971111111111
