cycle,measured_temp_c,OD_45,OD_90,OD_135,nm_415,nm_445,nm_480,nm_515,nm_555,nm_590,nm_630,nm_680,growth_rate,norm_od,co2_ppm,co2_temp_c,humidity
0,32.19392857142857,0.31178891869428,0.33348021560016333,0.1636557886640833,0.03348776041666667,0.2769620442708334,0.31038828125,0.35154739583333333,0.3968609375,0.39347434895833333,0.3903103515625,0.2256107421875,0.19324880316595863,0.5210079636972724,1026.08,29.615,70.06
1,30.59714285714286,0.2933883833821967,0.33213491474921997,0.16929185647998332,0.03402493489583333,0.28177753906249997,0.31585286458333334,0.3580994140625,0.4044466145833333,0.40075292968750004,0.3973746744791667,0.22996959635416667,0.1918560087550105,0.5542397915182378,1008.34,28.753400000000003,72.56739999999999
2,29.845,0.2769988447926333,0.3302327788353933,0.17454475570142,0.0346021484375,0.28687083333333335,0.32177102864583335,0.3649305338541667,0.4119896484375,0.4080713541666667,0.404443359375,0.23434934895833331,0.17953019335217482,0.5825124249511224,962.6,28.3536,73.9156
3,29.524285714285718,0.2594466451566,0.32704935051111667,0.1813158275999,0.035383854166666666,0.2937060546875,0.32983118489583335,0.3739887369791667,0.4220100911458333,0.4180173828125,0.41391783854166664,0.240259765625,0.18673463995489895,0.6210365791114495,920.18,28.1506,74.5518
4,29.37125,0.24411598205531335,0.32341612645439,0.18800788548079667,0.03612708333333333,0.2999466145833333,0.33730540364583333,0.3824615885416667,0.43158053385416667,0.42730735677083337,0.4228393880208333,0.24579759114583336,0.18128240687809966,0.6578354407767388,886.6,28.0356,74.6414
5,29.255714285714284,0.23455829409905665,0.3208738488092,0.1925315596573,0.036524609375,0.30322265625,0.3413340494791667,0.38717063802083335,0.43681380208333337,0.4324475911458333,0.42780332031249996,0.248859765625,0.1422064604057817,0.6833003072150952,822.82,27.9634,74.6708
6,29.18,0.22471677510645668,0.31793508880304666,0.19739208589385668,0.03694296875,0.30665839843750003,0.345501171875,0.39199329427083335,0.4422024088541666,0.4378233072916667,0.4328869791666667,0.25195983072916667,0.11569676407646341,0.7076951059361881,782.66,27.866999999999997,74.8342
7,29.169999999999998,0.21581017850390333,0.3150717419042333,0.20198219727869,0.037358593749999995,0.31030338541666663,0.3497517578125,0.3963842447916667,0.4471257161458333,0.4427212239583333,0.4375169921875,0.2548352213541667,0.11656491207362545,0.732091021538053,813.28,27.8644,74.9808
8,29.168750000000003,0.20702154628065333,0.3117518431826767,0.20713390108322666,0.037841796875,0.31433906250000004,0.35461510416666664,0.40177402343749996,0.4532174479166666,0.4485943359375,0.4431464192708333,0.2583041015625,0.12118970573860824,0.7590482920298075,818.26,27.8414,75.16680000000001
9,29.14428571428571,0.19979677442948998,0.30884087830190665,0.21162759844794332,0.038284049479166665,0.318151953125,0.35906412760416667,0.40657298177083334,0.45856985677083334,0.4537712239583333,0.44804889322916663,0.26142766927083333,0.1164549548072807,0.783345836090586,777.6,27.765,75.118
