experiment,pioreactor_unit,timestamp,event_name,message,data,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-26T16:44:03.555Z,UpdatedHeaterDC,delta_dc=7.177083333333337,"{""current_dc"": 7.18, ""delta_dc"": 7.177083333333337, ""target_temperature"": 34.0, ""latest_temperature"": 31.239583333333332}",2026-08-26 22:29:03.555,1398.373333333333
Pulse experiments,pioreactor01,2026-08-26T16:47:29.884Z,UpdatedHeaterDC,delta_dc=6.742083333333324,"{""current_dc"": 13.92, ""delta_dc"": 6.742083333333324, ""target_temperature"": 34.0, ""latest_temperature"": 31.3}",2026-08-26 22:32:29.884,1398.430555555556
Pulse experiments,pioreactor01,2026-08-26T16:50:49.805Z,UpdatedHeaterDC,delta_dc=8.676000000000002,"{""current_dc"": 22.6, ""delta_dc"": 8.676000000000002, ""target_temperature"": 34.0, ""latest_temperature"": 31.07}",2026-08-26 22:35:49.805,1398.486111111111
Pulse experiments,pioreactor01,2026-08-26T16:54:09.796Z,UpdatedHeaterDC,delta_dc=6.3940000000000135,"{""current_dc"": 28.99, ""delta_dc"": 6.3940000000000135, ""target_temperature"": 34.0, ""latest_temperature"": 31.24}",2026-08-26 22:39:09.796,1398.541666666667
Pulse experiments,pioreactor01,2026-08-26T16:57:29.787Z,UpdatedHeaterDC,delta_dc=4.943999999999988,"{""current_dc"": 33.93, ""delta_dc"": 4.943999999999988, ""target_temperature"": 34.0, ""latest_temperature"": 31.55}",2026-08-26 22:42:29.787,1398.597222222222
Pulse experiments,pioreactor01,2026-08-26T17:00:49.787Z,UpdatedHeaterDC,delta_dc=4.786000000000007,"{""current_dc"": 38.72, ""delta_dc"": 4.786000000000007, ""target_temperature"": 34.0, ""latest_temperature"": 31.77}",2026-08-26 22:45:49.787,1398.652777777778
Pulse experiments,pioreactor01,2026-08-26T17:04:09.805Z,UpdatedHeaterDC,delta_dc=1.7660000000000111,"{""current_dc"": 40.49, ""delta_dc"": 1.7660000000000111, ""target_temperature"": 34.0, ""latest_temperature"": 32.33}",2026-08-26 22:49:09.805,1398.708333333333
Pulse experiments,pioreactor01,2026-08-26T17:07:29.814Z,UpdatedHeaterDC,delta_dc=1.2460000000000064,"{""current_dc"": 41.74, ""delta_dc"": 1.2460000000000064, ""target_temperature"": 34.0, ""latest_temperature"": 32.76}",2026-08-26 22:52:29.814,1398.763888888889
Pulse experiments,pioreactor01,2026-08-26T17:10:49.855Z,UpdatedHeaterDC,delta_dc=1.6400000000000134,"{""current_dc"": 43.38, ""delta_dc"": 1.6400000000000134, ""target_temperature"": 34.0, ""latest_temperature"": 32.98}",2026-08-26 22:55:49.855,1398.819444444444
Pulse experiments,pioreactor01,2026-08-26T17:14:09.790Z,UpdatedHeaterDC,delta_dc=-0.3720000000000039,"{""current_dc"": 43.01, ""delta_dc"": -0.3720000000000039, ""target_temperature"": 34.0, ""latest_temperature"": 33.4}",2026-08-26 22:59:09.790,1398.875
Pulse experiments,pioreactor01,2026-08-26T17:17:29.817Z,UpdatedHeaterDC,delta_dc=-0.8159999999999838,"{""current_dc"": 42.19, ""delta_dc"": -0.8159999999999838, ""target_temperature"": 34.0, ""latest_temperature"": 33.73}",2026-08-26 23:02:29.817,1398.930555555556
Pulse experiments,pioreactor01,2026-08-26T17:20:49.778Z,UpdatedHeaterDC,delta_dc=-1.314,"{""current_dc"": 40.88, ""delta_dc"": -1.314, ""target_temperature"": 34.0, ""latest_temperature"": 34.01}",2026-08-26 23:05:49.778,1398.986111111111
Pulse experiments,pioreactor01,2026-08-26T17:24:09.788Z,UpdatedHeaterDC,delta_dc=-1.6820000000000235,"{""current_dc"": 39.2, ""delta_dc"": -1.6820000000000235, ""target_temperature"": 34.0, ""latest_temperature"": 34.24}",2026-08-26 23:09:09.788,1399.041666666667
Pulse experiments,pioreactor01,2026-08-26T17:27:29.804Z,UpdatedHeaterDC,delta_dc=-1.4879999999999867,"{""current_dc"": 37.71, ""delta_dc"": -1.4879999999999867, ""target_temperature"": 34.0, ""latest_temperature"": 34.36}",2026-08-26 23:12:29.804,1399.097222222222
