experiment,pioreactor_unit,timestamp,co2_reading_ppm,temperature_c,relative_humidity,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-18T10:15:07.868Z,473.0,31.1,63.74,2026-08-18 16:00:07.868,1199.891111111111
Pulse experiments,pioreactor01,2026-08-18T10:15:37.870Z,474.0,31.14,63.67,2026-08-18 16:00:37.870,1199.899444444444
Pulse experiments,pioreactor01,2026-08-18T10:16:07.870Z,475.0,31.13,63.7,2026-08-18 16:01:07.870,1199.907777777778
Pulse experiments,pioreactor01,2026-08-18T10:16:37.870Z,478.0,31.08,63.72,2026-08-18 16:01:37.870,1199.916111111111
Pulse experiments,pioreactor01,2026-08-18T10:17:07.870Z,478.0,31.08,63.83,2026-08-18 16:02:07.870,1199.924444444444
Pulse experiments,pioreactor01,2026-08-18T10:17:37.870Z,471.0,31.06,63.78,2026-08-18 16:02:37.870,1199.932777777778
Pulse experiments,pioreactor01,2026-08-18T10:18:07.872Z,469.0,31.07,63.73,2026-08-18 16:03:07.872,1199.941111111111
Pulse experiments,pioreactor01,2026-08-18T10:18:37.877Z,467.0,31.07,63.69,2026-08-18 16:03:37.877,1199.949444444444
Pulse experiments,pioreactor01,2026-08-18T10:19:07.890Z,476.0,31.05,63.79,2026-08-18 16:04:07.890,1199.957777777778
Pulse experiments,pioreactor01,2026-08-18T10:19:37.872Z,491.0,31.07,63.82,2026-08-18 16:04:37.872,1199.966111111111
Pulse experiments,pioreactor01,2026-08-18T10:20:07.880Z,494.0,31.11,63.87,2026-08-18 16:05:07.880,1199.974444444445
Pulse experiments,pioreactor01,2026-08-18T10:20:37.899Z,494.0,31.18,63.72,2026-08-18 16:05:37.899,1199.982777777778
Pulse experiments,pioreactor01,2026-08-18T10:21:07.883Z,490.0,31.23,63.57,2026-08-18 16:06:07.883,1199.991111111111
Pulse experiments,pioreactor01,2026-08-18T10:21:37.882Z,485.0,31.24,63.42,2026-08-18 16:06:37.882,1199.999444444444
Pulse experiments,pioreactor01,2026-08-18T10:22:07.883Z,480.0,31.27,63.39,2026-08-18 16:07:07.883,1200.007777777778
Pulse experiments,pioreactor01,2026-08-18T10:22:37.879Z,479.0,31.3,63.33,2026-08-18 16:07:37.879,1200.016111111111
Pulse experiments,pioreactor01,2026-08-18T10:23:07.878Z,484.0,31.33,63.33,2026-08-18 16:08:07.878,1200.024444444444
Pulse experiments,pioreactor01,2026-08-18T10:23:37.879Z,487.0,31.34,63.44,2026-08-18 16:08:37.879,1200.032777777778
Pulse experiments,pioreactor01,2026-08-18T10:24:07.878Z,484.0,31.33,63.35,2026-08-18 16:09:07.878,1200.041111111111
Pulse experiments,pioreactor01,2026-08-18T10:24:37.875Z,483.0,31.24,63.25,2026-08-18 16:09:37.875,1200.049444444444
Pulse experiments,pioreactor01,2026-08-18T10:25:07.879Z,485.0,31.2,63.24,2026-08-18 16:10:07.879,1200.057777777778
Pulse experiments,pioreactor01,2026-08-18T10:25:37.883Z,488.0,31.18,63.3,2026-08-18 16:10:37.883,1200.066111111111
Pulse experiments,pioreactor01,2026-08-18T10:26:07.880Z,487.0,31.2,63.34,2026-08-18 16:11:07.880,1200.074444444444
Pulse experiments,pioreactor01,2026-08-18T10:26:37.880Z,485.0,31.17,63.46,2026-08-18 16:11:37.880,1200.082777777778
Pulse experiments,pioreactor01,2026-08-18T10:27:07.878Z,491.0,31.18,63.54,2026-08-18 16:12:07.878,1200.091111111111
Pulse experiments,pioreactor01,2026-08-18T10:27:37.876Z,495.0,31.21,63.58,2026-08-18 16:12:37.876,1200.099444444445
Pulse experiments,pioreactor01,2026-08-18T10:28:07.885Z,493.0,31.22,63.49,2026-08-18 16:13:07.885,1200.107777777778
