experiment,pioreactor_unit,timestamp,channel,intensity,source_of_event,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-18T12:05:11.980Z,C,5.0,,2026-08-18 17:50:11.980,1201.725555555556
Pulse experiments,pioreactor01,2026-08-18T12:35:12.040Z,C,25.0,,2026-08-18 18:20:12.040,1202.225833333333
Pulse experiments,pioreactor01,2026-08-18T13:05:12.109Z,C,45.0,,2026-08-18 18:50:12.109,1202.725833333333
Pulse experiments,pioreactor01,2026-08-18T13:35:12.179Z,C,25.0,,2026-08-18 19:20:12.179,1203.225833333333
Pulse experiments,pioreactor01,2026-08-18T14:05:12.233Z,C,5.0,,2026-08-18 19:50:12.233,1203.725833333333
Pulse experiments,pioreactor01,2026-08-18T14:35:12.289Z,C,0.0,,2026-08-18 20:20:12.289,1204.225833333333
Pulse experiments,pioreactor01,2026-08-18T15:05:12.349Z,C,0.0,,2026-08-18 20:50:12.349,1204.725833333333
Pulse experiments,pioreactor01,2026-08-18T15:35:12.410Z,C,5.0,,2026-08-18 21:20:12.410,1205.225833333333
Pulse experiments,pioreactor01,2026-08-18T16:05:12.471Z,C,25.0,,2026-08-18 21:50:12.471,1205.725833333333
Pulse experiments,pioreactor01,2026-08-18T16:35:12.538Z,C,45.0,,2026-08-18 22:20:12.538,1206.225833333333
Pulse experiments,pioreactor01,2026-08-18T17:05:12.599Z,C,25.0,,2026-08-18 22:50:12.599,1206.725833333333
Pulse experiments,pioreactor01,2026-08-18T17:35:12.666Z,C,5.0,,2026-08-18 23:20:12.666,1207.225833333333
Pulse experiments,pioreactor01,2026-08-18T18:05:12.740Z,C,0.0,,2026-08-18 23:50:12.740,1207.725833333333
Pulse experiments,pioreactor01,2026-08-18T18:35:12.797Z,C,0.0,,2026-08-19 00:20:12.797,1208.225833333333
Pulse experiments,pioreactor01,2026-08-18T19:05:12.868Z,C,5.0,,2026-08-19 00:50:12.868,1208.725833333333
Pulse experiments,pioreactor01,2026-08-18T19:35:12.935Z,C,25.0,,2026-08-19 01:20:12.935,1209.225833333333
Pulse experiments,pioreactor01,2026-08-18T20:05:12.998Z,C,45.0,,2026-08-19 01:50:12.998,1209.725833333333
Pulse experiments,pioreactor01,2026-08-18T20:35:13.057Z,C,25.0,,2026-08-19 02:20:13.057,1210.226111111111
Pulse experiments,pioreactor01,2026-08-18T21:05:13.121Z,C,5.0,,2026-08-19 02:50:13.121,1210.726111111111
Pulse experiments,pioreactor01,2026-08-18T21:35:13.178Z,C,0.0,,2026-08-19 03:20:13.178,1211.226111111111
Pulse experiments,pioreactor01,2026-08-18T22:05:13.245Z,C,0.0,,2026-08-19 03:50:13.245,1211.726111111111
Pulse experiments,pioreactor01,2026-08-18T22:35:13.301Z,C,5.0,,2026-08-19 04:20:13.301,1212.226111111111
Pulse experiments,pioreactor01,2026-08-18T23:05:13.360Z,C,25.0,,2026-08-19 04:50:13.360,1212.726111111111
Pulse experiments,pioreactor01,2026-08-18T23:35:13.420Z,C,45.0,,2026-08-19 05:20:13.420,1213.226111111111
Pulse experiments,pioreactor01,2026-08-19T00:05:13.492Z,C,25.0,,2026-08-19 05:50:13.492,1213.726111111111
