experiment,pioreactor_unit,timestamp,reading,band,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-20T07:00:04.083Z,0.05189453125,415,2026-08-20 12:45:04.083,1244.640277777778
Pulse experiments,pioreactor01,2026-08-20T07:00:04.091Z,0.43580078125,445,2026-08-20 12:45:04.091,1244.640277777778
Pulse experiments,pioreactor01,2026-08-20T07:00:04.098Z,0.4921484375,480,2026-08-20 12:45:04.098,1244.640277777778
Pulse experiments,pioreactor01,2026-08-20T07:00:04.102Z,0.56552734375,515,2026-08-20 12:45:04.102,1244.640277777778
Pulse experiments,pioreactor01,2026-08-20T07:00:04.107Z,0.6340234375,555,2026-08-20 12:45:04.107,1244.640277777778
Pulse experiments,pioreactor01,2026-08-20T07:00:04.112Z,0.62447265625,590,2026-08-20 12:45:04.112,1244.640277777778
Pulse experiments,pioreactor01,2026-08-20T07:00:04.116Z,0.610078125,630,2026-08-20 12:45:04.116,1244.640277777778
Pulse experiments,pioreactor01,2026-08-20T07:00:04.121Z,0.35826171875,680,2026-08-20 12:45:04.121,1244.640277777778
Pulse experiments,pioreactor01,2026-08-20T07:00:09.089Z,0.0519140625,415,2026-08-20 12:45:09.089,1244.641666666667
Pulse experiments,pioreactor01,2026-08-20T07:00:09.092Z,0.436015625,445,2026-08-20 12:45:09.092,1244.641666666667
Pulse experiments,pioreactor01,2026-08-20T07:00:09.098Z,0.492578125,480,2026-08-20 12:45:09.098,1244.641666666667
Pulse experiments,pioreactor01,2026-08-20T07:00:09.103Z,0.56615234375,515,2026-08-20 12:45:09.103,1244.641666666667
Pulse experiments,pioreactor01,2026-08-20T07:00:09.109Z,0.63291015625,555,2026-08-20 12:45:09.109,1244.641666666667
Pulse experiments,pioreactor01,2026-08-20T07:00:09.113Z,0.62408203125,590,2026-08-20 12:45:09.113,1244.641666666667
Pulse experiments,pioreactor01,2026-08-20T07:00:09.118Z,0.609140625,630,2026-08-20 12:45:09.118,1244.641666666667
Pulse experiments,pioreactor01,2026-08-20T07:00:09.123Z,0.3580078125,680,2026-08-20 12:45:09.123,1244.641666666667
Pulse experiments,pioreactor01,2026-08-20T07:00:14.085Z,0.05197265625,415,2026-08-20 12:45:14.085,1244.643055555556
Pulse experiments,pioreactor01,2026-08-20T07:00:14.088Z,0.436015625,445,2026-08-20 12:45:14.088,1244.643055555556
Pulse experiments,pioreactor01,2026-08-20T07:00:14.092Z,0.49220703125,480,2026-08-20 12:45:14.092,1244.643055555556
Pulse experiments,pioreactor01,2026-08-20T07:00:14.097Z,0.56587890625,515,2026-08-20 12:45:14.097,1244.643055555556
Pulse experiments,pioreactor01,2026-08-20T07:00:14.102Z,0.63330078125,555,2026-08-20 12:45:14.102,1244.643055555556
