experiment,pioreactor_unit,timestamp,co2_reading_ppm,temperature_c,relative_humidity,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-20T07:00:22.716Z,663.0,27.75,78.45,2026-08-20 12:45:22.716,1244.645277777778
Pulse experiments,pioreactor01,2026-08-20T07:00:52.715Z,666.0,27.84,78.22,2026-08-20 12:45:52.715,1244.653611111111
Pulse experiments,pioreactor01,2026-08-20T07:01:22.719Z,670.0,27.87,77.87,2026-08-20 12:46:22.719,1244.661944444445
Pulse experiments,pioreactor01,2026-08-20T07:01:52.718Z,672.0,27.91,77.64,2026-08-20 12:46:52.718,1244.670277777778
Pulse experiments,pioreactor01,2026-08-20T07:02:22.723Z,674.0,27.96,77.66,2026-08-20 12:47:22.723,1244.678611111111
Pulse experiments,pioreactor01,2026-08-20T07:02:52.712Z,673.0,28.0,77.8,2026-08-20 12:47:52.712,1244.686944444444
Pulse experiments,pioreactor01,2026-08-20T07:03:22.711Z,677.0,28.06,77.9,2026-08-20 12:48:22.711,1244.695277777778
Pulse experiments,pioreactor01,2026-08-20T07:03:52.711Z,678.0,28.12,77.88,2026-08-20 12:48:52.711,1244.703611111111
Pulse experiments,pioreactor01,2026-08-20T07:04:22.712Z,679.0,28.19,77.67,2026-08-20 12:49:22.712,1244.711944444444
Pulse experiments,pioreactor01,2026-08-20T07:04:52.717Z,684.0,28.54,76.74,2026-08-20 12:49:52.717,1244.720277777778
Pulse experiments,pioreactor01,2026-08-20T07:05:22.713Z,686.0,28.54,76.8,2026-08-20 12:50:22.713,1244.728611111111
Pulse experiments,pioreactor01,2026-08-20T07:05:52.732Z,691.0,28.53,76.89,2026-08-20 12:50:52.732,1244.736944444444
Pulse experiments,pioreactor01,2026-08-20T07:06:22.711Z,694.0,28.52,77.12,2026-08-20 12:51:22.711,1244.745277777778
Pulse experiments,pioreactor01,2026-08-20T07:06:52.713Z,696.0,28.55,77.26,2026-08-20 12:51:52.713,1244.753611111111
