experiment,pioreactor_unit,timestamp,event,volume_change_ml,source_of_event,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-20T08:17:50.279Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-20 14:02:50.279,1245.936388888889
Pulse experiments,pioreactor01,2026-08-20T08:17:50.784Z,remove_waste,0.0693373167,dosing_automation:manual_dosing_control,2026-08-20 14:02:50.784,1245.936388888889
Pulse experiments,pioreactor01,2026-08-20T08:17:51.391Z,add_media,0.05,dosing_automation:manual_dosing_control,2026-08-20 14:02:51.391,1245.936666666667
Pulse experiments,pioreactor01,2026-08-20T08:57:52.263Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-20 14:42:52.263,1246.603611111111
Pulse experiments,pioreactor01,2026-08-20T08:57:52.770Z,remove_waste,0.0693373167,dosing_automation:manual_dosing_control,2026-08-20 14:42:52.770,1246.603611111111
Pulse experiments,pioreactor01,2026-08-20T08:57:53.412Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-20 14:42:53.412,1246.603888888889
Pulse experiments,pioreactor01,2026-08-20T08:57:53.916Z,add_media,0.0223248235,dosing_automation:manual_dosing_control,2026-08-20 14:42:53.916,1246.603888888889
Pulse experiments,pioreactor01,2026-08-20T09:37:54.547Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-20 15:22:54.547,1247.270833333333
Pulse experiments,pioreactor01,2026-08-20T09:37:55.055Z,remove_waste,0.0693373167,dosing_automation:manual_dosing_control,2026-08-20 15:22:55.055,1247.271111111111
Pulse experiments,pioreactor01,2026-08-20T09:37:55.667Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-20 15:22:55.667,1247.271111111111
Pulse experiments,pioreactor01,2026-08-20T09:37:56.167Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-20 15:22:56.167,1247.271388888889
Pulse experiments,pioreactor01,2026-08-20T09:37:56.668Z,add_media,0.044649647,dosing_automation:manual_dosing_control,2026-08-20 15:22:56.668,1247.271388888889
Pulse experiments,pioreactor01,2026-08-20T10:17:57.493Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-20 16:02:57.493,1247.938333333333
Pulse experiments,pioreactor01,2026-08-20T10:17:57.999Z,remove_waste,0.0693373167,dosing_automation:manual_dosing_control,2026-08-20 16:02:57.999,1247.938333333333
Pulse experiments,pioreactor01,2026-08-20T10:17:58.599Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-20 16:02:58.599,1247.938611111111
Pulse experiments,pioreactor01,2026-08-20T10:17:59.100Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-20 16:02:59.100,1247.938888888889
Pulse experiments,pioreactor01,2026-08-20T10:17:59.601Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-20 16:02:59.601,1247.938888888889
Pulse experiments,pioreactor01,2026-08-20T10:18:00.101Z,add_media,0.0169744705,dosing_automation:manual_dosing_control,2026-08-20 16:03:00.101,1247.939166666667
Pulse experiments,pioreactor01,2026-08-20T10:58:00.701Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-20 16:43:00.701,1248.605833333333
Pulse experiments,pioreactor01,2026-08-20T10:58:01.208Z,remove_waste,0.0693373167,dosing_automation:manual_dosing_control,2026-08-20 16:43:01.208,1248.606111111111
Pulse experiments,pioreactor01,2026-08-20T10:58:01.852Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-20 16:43:01.852,1248.606111111111
Pulse experiments,pioreactor01,2026-08-20T10:58:02.353Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-20 16:43:02.353,1248.606388888889
Pulse experiments,pioreactor01,2026-08-20T10:58:02.853Z,add_media,0.044649647,dosing_automation:manual_dosing_control,2026-08-20 16:43:02.853,1248.606388888889
Pulse experiments,pioreactor01,2026-08-20T11:38:03.624Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-20 17:23:03.624,1249.273333333333
Pulse experiments,pioreactor01,2026-08-20T11:38:04.133Z,remove_waste,0.0693373167,dosing_automation:manual_dosing_control,2026-08-20 17:23:04.133,1249.273611111111
Pulse experiments,pioreactor01,2026-08-20T11:38:04.774Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-20 17:23:04.774,1249.273611111111
Pulse experiments,pioreactor01,2026-08-20T11:38:05.275Z,add_media,0.0223248235,dosing_automation:manual_dosing_control,2026-08-20 17:23:05.275,1249.273888888889
Pulse experiments,pioreactor01,2026-08-20T12:18:05.762Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-20 18:03:05.762,1249.940555555556
Pulse experiments,pioreactor01,2026-08-20T12:18:06.262Z,remove_waste,0.0693373167,dosing_automation:manual_dosing_control,2026-08-20 18:03:06.262,1249.940833333333
Pulse experiments,pioreactor01,2026-08-20T12:18:06.863Z,add_media,0.05,dosing_automation:manual_dosing_control,2026-08-20 18:03:06.863,1249.940833333333
Pulse experiments,pioreactor01,2026-08-20T12:58:07.721Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-20 18:43:07.721,1250.607777777778
Pulse experiments,pioreactor01,2026-08-20T12:58:08.228Z,remove_waste,0.0693373167,dosing_automation:manual_dosing_control,2026-08-20 18:43:08.228,1250.608055555556
Pulse experiments,pioreactor01,2026-08-20T12:58:08.875Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-20 18:43:08.875,1250.608055555556
Pulse experiments,pioreactor01,2026-08-20T12:58:09.375Z,add_media,0.0223248235,dosing_automation:manual_dosing_control,2026-08-20 18:43:09.375,1250.608333333333
Pulse experiments,pioreactor01,2026-08-20T13:38:10.011Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-20 19:23:10.011,1251.275277777778
Pulse experiments,pioreactor01,2026-08-20T13:38:10.518Z,remove_waste,0.0693373167,dosing_automation:manual_dosing_control,2026-08-20 19:23:10.518,1251.275277777778
