experiment,pioreactor_unit,timestamp,event,volume_change_ml,source_of_event,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-21T18:31:37.319Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-22 00:16:37.319,1280.166111111111
Pulse experiments,pioreactor01,2026-08-21T18:31:37.820Z,remove_waste,0.0693373167,dosing_automation:manual_dosing_control,2026-08-22 00:16:37.820,1280.166111111111
Pulse experiments,pioreactor01,2026-08-21T18:31:38.533Z,add_media,0.05,dosing_automation:manual_dosing_control,2026-08-22 00:16:38.533,1280.166388888889
Pulse experiments,pioreactor01,2026-08-21T19:11:39.360Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-22 00:56:39.360,1280.833333333333
Pulse experiments,pioreactor01,2026-08-21T19:11:39.865Z,remove_waste,0.0693373167,dosing_automation:manual_dosing_control,2026-08-22 00:56:39.865,1280.833333333333
Pulse experiments,pioreactor01,2026-08-21T19:11:40.541Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-22 00:56:40.541,1280.833611111111
Pulse experiments,pioreactor01,2026-08-21T19:11:41.044Z,add_media,0.0223248235,dosing_automation:manual_dosing_control,2026-08-22 00:56:41.044,1280.833888888889
Pulse experiments,pioreactor01,2026-08-21T19:51:41.636Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-22 01:36:41.636,1281.500555555556
Pulse experiments,pioreactor01,2026-08-21T19:51:42.143Z,remove_waste,0.0693373167,dosing_automation:manual_dosing_control,2026-08-22 01:36:42.143,1281.500833333333
Pulse experiments,pioreactor01,2026-08-21T19:51:42.750Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-22 01:36:42.750,1281.500833333333
Pulse experiments,pioreactor01,2026-08-21T19:51:43.251Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-22 01:36:43.251,1281.501111111111
Pulse experiments,pioreactor01,2026-08-21T19:51:43.751Z,add_media,0.044649647,dosing_automation:manual_dosing_control,2026-08-22 01:36:43.751,1281.501111111111
Pulse experiments,pioreactor01,2026-08-21T20:31:44.325Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-22 02:16:44.325,1282.168055555556
Pulse experiments,pioreactor01,2026-08-21T20:31:44.826Z,remove_waste,0.0693373167,dosing_automation:manual_dosing_control,2026-08-22 02:16:44.826,1282.168055555556
