experiment,pioreactor_unit,timestamp,co2_reading_ppm,temperature_c,relative_humidity,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-07-13T15:45:12.561Z,594.0,32.85,56.05,2026-07-13 21:30:12.561,341.3925
Pulse experiments,pioreactor01,2026-07-13T15:45:42.560Z,593.0,32.85,55.91,2026-07-13 21:30:42.560,341.400833333333
Pulse experiments,pioreactor01,2026-07-13T15:46:12.560Z,592.0,32.88,55.78,2026-07-13 21:31:12.560,341.409166666667
Pulse experiments,pioreactor01,2026-07-13T15:46:42.562Z,587.0,32.9,55.62,2026-07-13 21:31:42.562,341.4175
Pulse experiments,pioreactor01,2026-07-13T15:47:12.557Z,585.0,32.9,55.59,2026-07-13 21:32:12.557,341.425833333333
Pulse experiments,pioreactor01,2026-07-13T15:47:42.561Z,581.0,32.87,55.41,2026-07-13 21:32:42.561,341.434166666667
Pulse experiments,pioreactor01,2026-07-13T15:48:12.558Z,576.0,32.88,55.35,2026-07-13 21:33:12.558,341.4425
Pulse experiments,pioreactor01,2026-07-13T15:48:42.562Z,573.0,32.87,55.3,2026-07-13 21:33:42.562,341.450833333333
Pulse experiments,pioreactor01,2026-07-13T15:49:12.567Z,566.0,32.87,55.19,2026-07-13 21:34:12.567,341.459166666667
Pulse experiments,pioreactor01,2026-07-13T15:49:42.563Z,569.0,32.88,55.15,2026-07-13 21:34:42.563,341.4675
Pulse experiments,pioreactor01,2026-07-13T15:50:12.561Z,565.0,32.87,55.06,2026-07-13 21:35:12.561,341.475833333333
Pulse experiments,pioreactor01,2026-07-13T15:50:42.570Z,569.0,32.86,54.98,2026-07-13 21:35:42.570,341.484166666667
Pulse experiments,pioreactor01,2026-07-13T15:51:12.564Z,567.0,32.87,55.0,2026-07-13 21:36:12.564,341.4925
Pulse experiments,pioreactor01,2026-07-13T15:51:42.569Z,567.0,32.86,54.99,2026-07-13 21:36:42.569,341.500833333333
Pulse experiments,pioreactor01,2026-07-13T15:52:12.562Z,568.0,32.88,54.9,2026-07-13 21:37:12.562,341.509166666667
Pulse experiments,pioreactor01,2026-07-13T15:52:42.617Z,563.0,32.91,54.81,2026-07-13 21:37:42.617,341.5175
Pulse experiments,pioreactor01,2026-07-13T15:53:12.565Z,563.0,32.92,54.76,2026-07-13 21:38:12.565,341.525833333333
Pulse experiments,pioreactor01,2026-07-13T15:53:42.566Z,560.0,32.91,54.68,2026-07-13 21:38:42.566,341.534166666667
Pulse experiments,pioreactor01,2026-07-13T15:54:12.564Z,556.0,32.92,54.69,2026-07-13 21:39:12.564,341.5425
Pulse experiments,pioreactor01,2026-07-13T15:54:42.565Z,557.0,32.92,54.68,2026-07-13 21:39:42.565,341.550833333333
Pulse experiments,pioreactor01,2026-07-13T15:55:12.567Z,556.0,32.93,54.61,2026-07-13 21:40:12.567,341.559166666667
Pulse experiments,pioreactor01,2026-07-13T15:55:42.570Z,547.0,32.93,54.55,2026-07-13 21:40:42.570,341.5675
Pulse experiments,pioreactor01,2026-07-13T15:56:12.565Z,547.0,32.94,54.4,2026-07-13 21:41:12.565,341.575833333333
Pulse experiments,pioreactor01,2026-07-13T15:56:42.633Z,545.0,32.95,54.41,2026-07-13 21:41:42.633,341.584166666667
Pulse experiments,pioreactor01,2026-07-13T15:57:12.575Z,543.0,32.96,54.35,2026-07-13 21:42:12.575,341.5925
Pulse experiments,pioreactor01,2026-07-13T15:57:42.566Z,542.0,32.97,54.33,2026-07-13 21:42:42.566,341.600833333333
Pulse experiments,pioreactor01,2026-07-13T15:58:12.586Z,541.0,32.96,54.33,2026-07-13 21:43:12.586,341.609166666667
Pulse experiments,pioreactor01,2026-07-13T15:58:42.567Z,543.0,33.0,54.27,2026-07-13 21:43:42.567,341.6175
Pulse experiments,pioreactor01,2026-07-13T15:59:12.567Z,546.0,32.98,54.19,2026-07-13 21:44:12.567,341.625833333333
Pulse experiments,pioreactor01,2026-07-13T15:59:42.576Z,545.0,33.03,54.07,2026-07-13 21:44:42.576,341.634166666667
Pulse experiments,pioreactor01,2026-07-13T16:00:12.567Z,542.0,33.01,54.07,2026-07-13 21:45:12.567,341.6425
Pulse experiments,pioreactor01,2026-07-13T16:00:42.567Z,542.0,33.04,54.01,2026-07-13 21:45:42.567,341.650833333333
Pulse experiments,pioreactor01,2026-07-13T16:01:12.569Z,540.0,33.07,54.02,2026-07-13 21:46:12.569,341.659166666667
Pulse experiments,pioreactor01,2026-07-13T16:01:42.567Z,541.0,33.04,53.98,2026-07-13 21:46:42.567,341.6675
Pulse experiments,pioreactor01,2026-07-13T16:02:12.568Z,541.0,33.02,53.97,2026-07-13 21:47:12.568,341.675833333333
Pulse experiments,pioreactor01,2026-07-13T16:02:42.569Z,539.0,33.04,53.91,2026-07-13 21:47:42.569,341.684166666667
Pulse experiments,pioreactor01,2026-07-13T16:03:12.571Z,540.0,33.03,53.89,2026-07-13 21:48:12.571,341.6925
