experiment,pioreactor_unit,timestamp,message,source,level,task,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-20T22:46:13.504Z,"features={'previous_heater_dc': 35.12, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 13.5, 'time_series_of_temp': [44.791666666666664, 43.447916666666664, 42.458333333333336, 41.645833333333336, 40.9375, 40.333333333333336, 39.822916666666664, 39.364583333333336, 38.989583333333336, 38.635416666666664, 38.34375, 38.0625, 37.84375, 37.625, 37.4375, 37.291666666666664, 37.125, 37.0, 36.875, 36.75, 36.635416666666664]}",app,DEBUG,temperature_automation,2026-08-21 04:31:13.504,1260.409444444444
Pulse experiments,pioreactor01,2026-08-20T22:46:13.601Z,PID output = 1.226000000000019,app,DEBUG,temperature_automation,2026-08-21 04:31:13.601,1260.409444444444
Pulse experiments,pioreactor01,2026-08-20T22:46:13.604Z,UpdatedHeaterDC: delta_dc=1.226000000000019,app,INFO,temperature_automation,2026-08-21 04:31:13.604,1260.409444444444
Pulse experiments,pioreactor01,2026-08-20T22:49:33.507Z,"features={'previous_heater_dc': 36.35, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 13.5, 'time_series_of_temp': [45.125, 43.739583333333336, 42.71875, 41.875, 41.135416666666664, 40.520833333333336, 40.0, 39.5, 39.125, 38.75, 38.4375, 38.1875, 37.9375, 37.71875, 37.510416666666664, 37.354166666666664, 37.1875, 37.0625, 36.9375, 36.8125, 36.6875]}",app,DEBUG,temperature_automation,2026-08-21 04:34:33.507,1260.465
Pulse experiments,pioreactor01,2026-08-20T22:49:33.602Z,PID output = 2.031999999999994,app,DEBUG,temperature_automation,2026-08-21 04:34:33.602,1260.465
Pulse experiments,pioreactor01,2026-08-20T22:49:33.604Z,UpdatedHeaterDC: delta_dc=2.031999999999994,app,INFO,temperature_automation,2026-08-21 04:34:33.604,1260.465
Pulse experiments,pioreactor01,2026-08-20T22:52:53.512Z,"features={'previous_heater_dc': 38.38, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 13.5, 'time_series_of_temp': [45.65625, 44.208333333333336, 43.15625, 42.25, 41.5, 40.8125, 40.25, 39.760416666666664, 39.375, 38.979166666666664, 38.645833333333336, 38.354166666666664, 38.125, 37.875, 37.6875, 37.5, 37.3125, 37.1875, 37.0625, 36.9375, 36.8125]}",app,DEBUG,temperature_automation,2026-08-21 04:37:53.512,1260.520555555556
Pulse experiments,pioreactor01,2026-08-20T22:52:53.611Z,PID output = 2.096000000000018,app,DEBUG,temperature_automation,2026-08-21 04:37:53.611,1260.520555555556
Pulse experiments,pioreactor01,2026-08-20T22:52:53.613Z,UpdatedHeaterDC: delta_dc=2.096000000000018,app,INFO,temperature_automation,2026-08-21 04:37:53.613,1260.520555555556
Pulse experiments,pioreactor01,2026-08-20T22:56:13.506Z,"features={'previous_heater_dc': 40.48, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 13.5, 'time_series_of_temp': [46.270833333333336, 44.75, 43.614583333333336, 42.6875, 41.885416666666664, 41.1875, 40.604166666666664, 40.0625, 39.625, 39.239583333333336, 38.875, 38.5625, 38.3125, 38.0625, 37.875, 37.6875, 37.5, 37.354166666666664, 37.197916666666664, 37.083333333333336, 36.958333333333336]}",app,DEBUG,temperature_automation,2026-08-21 04:41:13.506,1260.576111111111
Pulse experiments,pioreactor01,2026-08-20T22:56:13.601Z,PID output = 2.3240000000000096,app,DEBUG,temperature_automation,2026-08-21 04:41:13.601,1260.576111111111
Pulse experiments,pioreactor01,2026-08-20T22:56:13.603Z,UpdatedHeaterDC: delta_dc=2.3240000000000096,app,INFO,temperature_automation,2026-08-21 04:41:13.603,1260.576111111111
Pulse experiments,pioreactor01,2026-08-20T22:59:33.514Z,"features={'previous_heater_dc': 42.8, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 13.5, 'time_series_of_temp': [47.0, 45.354166666666664, 44.166666666666664, 43.1875, 42.322916666666664, 41.625, 40.989583333333336, 40.4375, 39.96875, 39.5625, 39.1875, 38.875, 38.5625, 38.3125, 38.125, 37.916666666666664, 37.739583333333336, 37.5625, 37.427083333333336, 37.291666666666664, 37.15625]}",app,DEBUG,temperature_automation,2026-08-21 04:44:33.514,1260.631666666667
