experiment,pioreactor_unit,timestamp,co2_reading_ppm,temperature_c,relative_humidity,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-20T22:45:28.269Z,739.0,30.66,62.39,2026-08-21 04:30:28.269,1260.396944444444
Pulse experiments,pioreactor01,2026-08-20T22:45:58.270Z,736.0,30.67,62.42,2026-08-21 04:30:58.270,1260.405277777778
Pulse experiments,pioreactor01,2026-08-20T22:46:28.270Z,737.0,30.66,62.4,2026-08-21 04:31:28.270,1260.413611111111
Pulse experiments,pioreactor01,2026-08-20T22:46:58.269Z,737.0,30.67,62.4,2026-08-21 04:31:58.269,1260.421944444445
Pulse experiments,pioreactor01,2026-08-20T22:47:28.270Z,735.0,30.64,62.41,2026-08-21 04:32:28.270,1260.430277777778
Pulse experiments,pioreactor01,2026-08-20T22:47:58.272Z,736.0,30.65,62.39,2026-08-21 04:32:58.272,1260.438611111111
Pulse experiments,pioreactor01,2026-08-20T22:48:28.271Z,739.0,30.62,62.51,2026-08-21 04:33:28.271,1260.446944444444
Pulse experiments,pioreactor01,2026-08-20T22:48:58.270Z,738.0,30.65,62.55,2026-08-21 04:33:58.270,1260.455277777778
Pulse experiments,pioreactor01,2026-08-20T22:49:28.270Z,739.0,30.65,62.54,2026-08-21 04:34:28.270,1260.463611111111
Pulse experiments,pioreactor01,2026-08-20T22:49:58.271Z,740.0,30.68,62.5,2026-08-21 04:34:58.271,1260.471944444444
Pulse experiments,pioreactor01,2026-08-20T22:50:28.271Z,739.0,30.68,62.43,2026-08-21 04:35:28.271,1260.480277777778
Pulse experiments,pioreactor01,2026-08-20T22:50:58.272Z,738.0,30.65,62.41,2026-08-21 04:35:58.272,1260.488611111111
Pulse experiments,pioreactor01,2026-08-20T22:51:28.272Z,740.0,30.67,62.42,2026-08-21 04:36:28.272,1260.496944444444
Pulse experiments,pioreactor01,2026-08-20T22:51:58.273Z,738.0,30.66,62.48,2026-08-21 04:36:58.273,1260.505277777778
Pulse experiments,pioreactor01,2026-08-20T22:52:28.274Z,736.0,30.67,62.53,2026-08-21 04:37:28.274,1260.513611111111
Pulse experiments,pioreactor01,2026-08-20T22:52:58.272Z,734.0,30.66,62.56,2026-08-21 04:37:58.272,1260.521944444444
Pulse experiments,pioreactor01,2026-08-20T22:53:28.273Z,732.0,30.65,62.59,2026-08-21 04:38:28.273,1260.530277777778
Pulse experiments,pioreactor01,2026-08-20T22:53:58.272Z,734.0,30.65,62.52,2026-08-21 04:38:58.272,1260.538611111111
Pulse experiments,pioreactor01,2026-08-20T22:54:28.274Z,738.0,30.65,62.56,2026-08-21 04:39:28.274,1260.546944444445
Pulse experiments,pioreactor01,2026-08-20T22:54:58.274Z,736.0,30.66,62.57,2026-08-21 04:39:58.274,1260.555277777778
Pulse experiments,pioreactor01,2026-08-20T22:55:28.277Z,735.0,30.63,62.71,2026-08-21 04:40:28.277,1260.563611111111
Pulse experiments,pioreactor01,2026-08-20T22:55:58.280Z,732.0,30.65,62.69,2026-08-21 04:40:58.280,1260.571944444444
Pulse experiments,pioreactor01,2026-08-20T22:56:28.275Z,736.0,30.65,62.66,2026-08-21 04:41:28.275,1260.580277777778
Pulse experiments,pioreactor01,2026-08-20T22:56:58.275Z,735.0,30.66,62.6,2026-08-21 04:41:58.275,1260.588611111111
Pulse experiments,pioreactor01,2026-08-20T22:57:28.275Z,737.0,30.68,62.57,2026-08-21 04:42:28.275,1260.596944444444
Pulse experiments,pioreactor01,2026-08-20T22:57:58.276Z,740.0,30.65,62.64,2026-08-21 04:42:58.276,1260.605277777778
Pulse experiments,pioreactor01,2026-08-20T22:58:28.276Z,741.0,30.66,62.71,2026-08-21 04:43:28.276,1260.613611111111
Pulse experiments,pioreactor01,2026-08-20T22:58:58.277Z,743.0,30.65,62.75,2026-08-21 04:43:58.277,1260.621944444444
Pulse experiments,pioreactor01,2026-08-20T22:59:28.276Z,743.0,30.68,62.75,2026-08-21 04:44:28.276,1260.630277777778
Pulse experiments,pioreactor01,2026-08-20T22:59:58.275Z,742.0,30.69,62.72,2026-08-21 04:44:58.275,1260.638611111111
Pulse experiments,pioreactor01,2026-08-20T23:00:28.276Z,744.0,30.69,62.56,2026-08-21 04:45:28.276,1260.646944444444
Pulse experiments,pioreactor01,2026-08-20T23:00:58.278Z,738.0,30.75,62.52,2026-08-21 04:45:58.278,1260.655277777778
Pulse experiments,pioreactor01,2026-08-20T23:01:28.277Z,740.0,30.73,62.51,2026-08-21 04:46:28.277,1260.663611111111
Pulse experiments,pioreactor01,2026-08-20T23:01:58.277Z,737.0,30.74,62.59,2026-08-21 04:46:58.277,1260.671944444445
Pulse experiments,pioreactor01,2026-08-20T23:02:28.277Z,738.0,30.77,62.61,2026-08-21 04:47:28.277,1260.680277777778
Pulse experiments,pioreactor01,2026-08-20T23:02:58.276Z,734.0,30.78,62.58,2026-08-21 04:47:58.276,1260.688611111111
Pulse experiments,pioreactor01,2026-08-20T23:03:28.278Z,735.0,30.78,62.49,2026-08-21 04:48:28.278,1260.696944444444
Pulse experiments,pioreactor01,2026-08-20T23:03:58.278Z,736.0,30.77,62.49,2026-08-21 04:48:58.278,1260.705277777778
Pulse experiments,pioreactor01,2026-08-20T23:04:28.279Z,735.0,30.78,62.45,2026-08-21 04:49:28.279,1260.713611111111
Pulse experiments,pioreactor01,2026-08-20T23:04:58.278Z,739.0,30.78,62.51,2026-08-21 04:49:58.278,1260.721944444444
Pulse experiments,pioreactor01,2026-08-20T23:05:28.278Z,740.0,30.8,62.58,2026-08-21 04:50:28.278,1260.730277777778
Pulse experiments,pioreactor01,2026-08-20T23:05:58.279Z,732.0,30.8,62.63,2026-08-21 04:50:58.279,1260.738611111111
Pulse experiments,pioreactor01,2026-08-20T23:06:28.280Z,732.0,30.81,62.56,2026-08-21 04:51:28.280,1260.746944444444
Pulse experiments,pioreactor01,2026-08-20T23:06:58.280Z,732.0,30.81,62.46,2026-08-21 04:51:58.280,1260.755277777778
Pulse experiments,pioreactor01,2026-08-20T23:07:28.279Z,732.0,30.8,62.44,2026-08-21 04:52:28.279,1260.763611111111
Pulse experiments,pioreactor01,2026-08-20T23:07:58.280Z,730.0,30.81,62.46,2026-08-21 04:52:58.280,1260.771944444444
Pulse experiments,pioreactor01,2026-08-20T23:08:28.280Z,727.0,30.83,62.51,2026-08-21 04:53:28.280,1260.780277777778
Pulse experiments,pioreactor01,2026-08-20T23:08:58.281Z,729.0,30.86,62.54,2026-08-21 04:53:58.281,1260.788611111111
Pulse experiments,pioreactor01,2026-08-20T23:09:28.280Z,726.0,30.86,62.48,2026-08-21 04:54:28.280,1260.796944444445
Pulse experiments,pioreactor01,2026-08-20T23:09:58.282Z,729.0,30.9,62.37,2026-08-21 04:54:58.282,1260.805277777778
Pulse experiments,pioreactor01,2026-08-20T23:10:28.286Z,731.0,30.88,62.33,2026-08-21 04:55:28.286,1260.813611111111
Pulse experiments,pioreactor01,2026-08-20T23:10:58.285Z,734.0,30.89,62.29,2026-08-21 04:55:58.285,1260.821944444444
Pulse experiments,pioreactor01,2026-08-20T23:11:28.286Z,736.0,30.89,62.29,2026-08-21 04:56:28.286,1260.830277777778
Pulse experiments,pioreactor01,2026-08-20T23:11:58.290Z,736.0,30.87,62.32,2026-08-21 04:56:58.290,1260.838611111111
Pulse experiments,pioreactor01,2026-08-20T23:12:28.283Z,735.0,30.88,62.37,2026-08-21 04:57:28.283,1260.846944444444
