experiment,pioreactor_unit,timestamp,event,volume_change_ml,source_of_event,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-22T16:45:45.519Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-22 22:30:45.519,1302.401666666667
Pulse experiments,pioreactor01,2026-08-22T16:45:46.021Z,remove_waste,0.0693373167,dosing_automation:manual_dosing_control,2026-08-22 22:30:46.021,1302.401944444445
Pulse experiments,pioreactor01,2026-08-22T16:45:46.678Z,add_media,0.05,dosing_automation:manual_dosing_control,2026-08-22 22:30:46.678,1302.401944444445
Pulse experiments,pioreactor01,2026-08-22T17:25:47.500Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-22 23:10:47.500,1303.068888888889
Pulse experiments,pioreactor01,2026-08-22T17:25:48.007Z,remove_waste,0.0693373167,dosing_automation:manual_dosing_control,2026-08-22 23:10:48.007,1303.069166666667
Pulse experiments,pioreactor01,2026-08-22T17:25:48.608Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-22 23:10:48.608,1303.069166666667
Pulse experiments,pioreactor01,2026-08-22T17:25:49.108Z,add_media,0.0223248235,dosing_automation:manual_dosing_control,2026-08-22 23:10:49.108,1303.069444444444
Pulse experiments,pioreactor01,2026-08-22T18:05:49.708Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-22 23:50:49.708,1303.736111111111
Pulse experiments,pioreactor01,2026-08-22T18:05:50.212Z,remove_waste,0.0693373167,dosing_automation:manual_dosing_control,2026-08-22 23:50:50.212,1303.736388888889
Pulse experiments,pioreactor01,2026-08-22T18:05:50.813Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-22 23:50:50.813,1303.736388888889
Pulse experiments,pioreactor01,2026-08-22T18:05:51.314Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-22 23:50:51.314,1303.736666666667
Pulse experiments,pioreactor01,2026-08-22T18:05:51.814Z,add_media,0.044649647,dosing_automation:manual_dosing_control,2026-08-22 23:50:51.814,1303.736666666667
Pulse experiments,pioreactor01,2026-08-22T18:45:52.417Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-23 00:30:52.417,1304.403611111111
Pulse experiments,pioreactor01,2026-08-22T18:45:52.917Z,remove_waste,0.0693373167,dosing_automation:manual_dosing_control,2026-08-23 00:30:52.917,1304.403611111111
Pulse experiments,pioreactor01,2026-08-22T18:45:53.504Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-23 00:30:53.504,1304.403888888889
Pulse experiments,pioreactor01,2026-08-22T18:45:54.005Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-23 00:30:54.005,1304.404166666667
Pulse experiments,pioreactor01,2026-08-22T18:45:54.508Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-23 00:30:54.508,1304.404166666667
Pulse experiments,pioreactor01,2026-08-22T18:45:55.008Z,add_media,0.0169744705,dosing_automation:manual_dosing_control,2026-08-23 00:30:55.008,1304.404444444444
Pulse experiments,pioreactor01,2026-08-22T19:25:55.560Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-23 01:10:55.560,1305.071111111111
Pulse experiments,pioreactor01,2026-08-22T19:25:56.066Z,remove_waste,0.0693373167,dosing_automation:manual_dosing_control,2026-08-23 01:10:56.066,1305.071388888889
Pulse experiments,pioreactor01,2026-08-22T19:25:56.662Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-23 01:10:56.662,1305.071388888889
Pulse experiments,pioreactor01,2026-08-22T19:25:57.162Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-23 01:10:57.162,1305.071666666667
Pulse experiments,pioreactor01,2026-08-22T19:25:57.663Z,add_media,0.044649647,dosing_automation:manual_dosing_control,2026-08-23 01:10:57.663,1305.071666666667
Pulse experiments,pioreactor01,2026-08-22T20:05:58.430Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-23 01:50:58.430,1305.738611111111
Pulse experiments,pioreactor01,2026-08-22T20:05:58.938Z,remove_waste,0.0693373167,dosing_automation:manual_dosing_control,2026-08-23 01:50:58.938,1305.738611111111
Pulse experiments,pioreactor01,2026-08-22T20:05:59.561Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-23 01:50:59.561,1305.738888888889
Pulse experiments,pioreactor01,2026-08-22T20:06:00.061Z,add_media,0.0223248235,dosing_automation:manual_dosing_control,2026-08-23 01:51:00.061,1305.739166666667
Pulse experiments,pioreactor01,2026-08-22T20:46:00.700Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-23 02:31:00.700,1306.405833333333
Pulse experiments,pioreactor01,2026-08-22T20:46:01.209Z,remove_waste,0.0693373167,dosing_automation:manual_dosing_control,2026-08-23 02:31:01.209,1306.406111111111
Pulse experiments,pioreactor01,2026-08-22T20:46:01.812Z,add_media,0.05,dosing_automation:manual_dosing_control,2026-08-23 02:31:01.812,1306.406111111111
Pulse experiments,pioreactor01,2026-08-22T21:26:02.655Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-23 03:11:02.655,1307.073055555556
Pulse experiments,pioreactor01,2026-08-22T21:26:03.163Z,remove_waste,0.0693373167,dosing_automation:manual_dosing_control,2026-08-23 03:11:03.163,1307.073333333333
Pulse experiments,pioreactor01,2026-08-22T21:26:03.766Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-23 03:11:03.766,1307.073333333333
Pulse experiments,pioreactor01,2026-08-22T21:26:04.267Z,add_media,0.0223248235,dosing_automation:manual_dosing_control,2026-08-23 03:11:04.267,1307.073611111111
Pulse experiments,pioreactor01,2026-08-22T22:06:04.904Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-23 03:51:04.904,1307.740277777778
Pulse experiments,pioreactor01,2026-08-22T22:06:05.410Z,remove_waste,0.0693373167,dosing_automation:manual_dosing_control,2026-08-23 03:51:05.410,1307.740555555556
Pulse experiments,pioreactor01,2026-08-22T22:06:06.052Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-23 03:51:06.052,1307.740833333333
Pulse experiments,pioreactor01,2026-08-22T22:06:06.552Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-23 03:51:06.552,1307.740833333333
Pulse experiments,pioreactor01,2026-08-22T22:06:07.054Z,add_media,0.044649647,dosing_automation:manual_dosing_control,2026-08-23 03:51:07.054,1307.741111111111
Pulse experiments,pioreactor01,2026-08-22T22:46:07.880Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-23 04:31:07.880,1308.407777777778
Pulse experiments,pioreactor01,2026-08-22T22:46:08.388Z,remove_waste,0.0693373167,dosing_automation:manual_dosing_control,2026-08-23 04:31:08.388,1308.408055555556
Pulse experiments,pioreactor01,2026-08-22T22:46:09.003Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-23 04:31:09.003,1308.408333333333
Pulse experiments,pioreactor01,2026-08-22T22:46:09.504Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-23 04:31:09.504,1308.408333333333
Pulse experiments,pioreactor01,2026-08-22T22:46:10.005Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-23 04:31:10.005,1308.408611111111
Pulse experiments,pioreactor01,2026-08-22T22:46:10.505Z,add_media,0.0169744705,dosing_automation:manual_dosing_control,2026-08-23 04:31:10.505,1308.408611111111
Pulse experiments,pioreactor01,2026-08-22T23:26:11.130Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-23 05:11:11.130,1309.075555555556
Pulse experiments,pioreactor01,2026-08-22T23:26:11.644Z,remove_waste,0.0693373167,dosing_automation:manual_dosing_control,2026-08-23 05:11:11.644,1309.075555555556
Pulse experiments,pioreactor01,2026-08-22T23:26:12.238Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-23 05:11:12.238,1309.075833333333
Pulse experiments,pioreactor01,2026-08-22T23:26:12.739Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-23 05:11:12.739,1309.075833333333
Pulse experiments,pioreactor01,2026-08-22T23:26:13.239Z,add_media,0.044649647,dosing_automation:manual_dosing_control,2026-08-23 05:11:13.239,1309.076111111111
Pulse experiments,pioreactor01,2026-08-23T00:06:13.994Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-23 05:51:13.994,1309.742777777778
Pulse experiments,pioreactor01,2026-08-23T00:06:14.501Z,remove_waste,0.0693373167,dosing_automation:manual_dosing_control,2026-08-23 05:51:14.501,1309.743055555556
Pulse experiments,pioreactor01,2026-08-23T00:06:15.092Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-23 05:51:15.092,1309.743333333333
Pulse experiments,pioreactor01,2026-08-23T00:06:15.592Z,add_media,0.0223248235,dosing_automation:manual_dosing_control,2026-08-23 05:51:15.592,1309.743333333333
Pulse experiments,pioreactor01,2026-08-23T00:46:16.103Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-23 06:31:16.103,1310.410277777778
Pulse experiments,pioreactor01,2026-08-23T00:46:16.608Z,remove_waste,0.0693373167,dosing_automation:manual_dosing_control,2026-08-23 06:31:16.608,1310.410277777778
Pulse experiments,pioreactor01,2026-08-23T00:46:17.237Z,add_media,0.05,dosing_automation:manual_dosing_control,2026-08-23 06:31:17.237,1310.410555555555
Pulse experiments,pioreactor01,2026-08-23T01:26:18.083Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-23 07:11:18.083,1311.0775
Pulse experiments,pioreactor01,2026-08-23T01:26:18.590Z,remove_waste,0.0693373167,dosing_automation:manual_dosing_control,2026-08-23 07:11:18.590,1311.0775
Pulse experiments,pioreactor01,2026-08-23T01:26:19.246Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-23 07:11:19.246,1311.077777777778
Pulse experiments,pioreactor01,2026-08-23T01:26:19.747Z,add_media,0.0223248235,dosing_automation:manual_dosing_control,2026-08-23 07:11:19.747,1311.077777777778
Pulse experiments,pioreactor01,2026-08-23T02:06:20.270Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-23 07:51:20.270,1311.744722222222
Pulse experiments,pioreactor01,2026-08-23T02:06:20.775Z,remove_waste,0.0693373167,dosing_automation:manual_dosing_control,2026-08-23 07:51:20.775,1311.744722222222
Pulse experiments,pioreactor01,2026-08-23T02:06:21.392Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-23 07:51:21.392,1311.745
Pulse experiments,pioreactor01,2026-08-23T02:06:21.893Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-23 07:51:21.893,1311.745
Pulse experiments,pioreactor01,2026-08-23T02:06:22.394Z,add_media,0.044649647,dosing_automation:manual_dosing_control,2026-08-23 07:51:22.394,1311.745277777778
Pulse experiments,pioreactor01,2026-08-23T02:46:23.307Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-23 08:31:23.307,1312.412222222222
Pulse experiments,pioreactor01,2026-08-23T02:46:23.813Z,remove_waste,0.0693373167,dosing_automation:manual_dosing_control,2026-08-23 08:31:23.813,1312.412222222222
Pulse experiments,pioreactor01,2026-08-23T02:46:24.482Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-23 08:31:24.482,1312.4125
Pulse experiments,pioreactor01,2026-08-23T02:46:24.983Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-23 08:31:24.983,1312.4125
Pulse experiments,pioreactor01,2026-08-23T02:46:25.484Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-23 08:31:25.484,1312.412777777778
Pulse experiments,pioreactor01,2026-08-23T02:46:25.986Z,add_media,0.0169744705,dosing_automation:manual_dosing_control,2026-08-23 08:31:25.986,1312.412777777778
Pulse experiments,pioreactor01,2026-08-23T03:26:26.627Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-23 09:11:26.627,1313.079722222222
Pulse experiments,pioreactor01,2026-08-23T03:26:27.134Z,remove_waste,0.0693373167,dosing_automation:manual_dosing_control,2026-08-23 09:11:27.134,1313.08
Pulse experiments,pioreactor01,2026-08-23T03:26:27.775Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-23 09:11:27.775,1313.08
Pulse experiments,pioreactor01,2026-08-23T03:26:28.276Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-23 09:11:28.276,1313.080277777778
Pulse experiments,pioreactor01,2026-08-23T03:26:28.777Z,add_media,0.044649647,dosing_automation:manual_dosing_control,2026-08-23 09:11:28.777,1313.080277777778
Pulse experiments,pioreactor01,2026-08-23T04:06:29.574Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-23 09:51:29.574,1313.747222222222
Pulse experiments,pioreactor01,2026-08-23T04:06:30.082Z,remove_waste,0.0693373167,dosing_automation:manual_dosing_control,2026-08-23 09:51:30.082,1313.7475
Pulse experiments,pioreactor01,2026-08-23T04:06:30.749Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-08-23 09:51:30.749,1313.7475
Pulse experiments,pioreactor01,2026-08-23T04:06:31.250Z,add_media,0.0223248235,dosing_automation:manual_dosing_control,2026-08-23 09:51:31.250,1313.747777777778
Pulse experiments,pioreactor01,2026-08-23T04:46:31.881Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-08-23 10:31:31.881,1314.414444444444
Pulse experiments,pioreactor01,2026-08-23T04:46:32.388Z,remove_waste,0.0693373167,dosing_automation:manual_dosing_control,2026-08-23 10:31:32.388,1314.414722222222
Pulse experiments,pioreactor01,2026-08-23T04:46:33.024Z,add_media,0.05,dosing_automation:manual_dosing_control,2026-08-23 10:31:33.024,1314.415
