step,time_hours,uv_intensity_pct,target_temperature_c,glucose_volume_ml,lorenz_x,lorenz_y,lorenz_z
1,0.0,23.1,30.2,0.05,1.0,1.0,1.0
2,0.6666666666666666,15.7,27.3,0.21,-3.75,-8.189,27.743
3,1.3333333333333333,9.7,27.8,0.2,-7.577,-6.577,27.242
4,2.0,8.8,27.7,0.21,-8.139,-6.714,28.383
5,2.6666666666666665,7.6,27.5,0.22,-8.891,-7.345,29.37
6,3.3333333333333335,6.4,27.2,0.22,-9.648,-8.473,29.834
7,4.0,5.7,26.8,0.22,-10.131,-9.849,29.402
8,4.666666666666667,5.7,26.4,0.21,-10.091,-10.93,27.972
9,5.333333333333333,6.7,26.3,0.2,-9.469,-11.172,25.949
10,6.0,8.3,26.6,0.19,-8.452,-10.434,24.079
11,6.666666666666667,10.0,27.0,0.18,-7.348,-9.033,22.99
12,7.333333333333333,11.4,27.5,0.18,-6.442,-7.437,22.942
13,8.0,12.2,28.0,0.19,-5.95,-5.999,23.917
14,8.666666666666666,12.0,28.3,0.2,-6.069,-4.949,25.791
15,9.333333333333334,10.6,28.4,0.21,-7.012,-4.586,28.385
16,10.0,7.6,28.1,0.23,-8.874,-5.583,31.218
17,10.666666666666666,4.2,27.1,0.24,-11.059,-8.831,32.657
18,11.333333333333334,3.1,25.8,0.22,-11.746,-13.024,29.721
19,12.0,6.4,25.6,0.18,-9.668,-13.347,23.155
20,12.666666666666666,11.5,26.9,0.16,-6.382,-9.309,18.916
21,13.333333333333334,15.4,28.3,0.16,-3.934,-4.966,19.328
22,14.0,16.3,29.2,0.18,-3.343,-1.982,23.596
23,14.666666666666666,10.0,29.5,0.24,-7.384,-1.267,32.45
24,15.333333333333334,0.0,24.0,0.21,-13.733,-18.548,28.325
25,16.0,22.7,30.3,0.11,0.705,1.274,11.497
26,16.666666666666668,26.3,28.4,0.23,3.022,-4.75,31.059
27,17.333333333333332,5.2,28.1,0.25,-10.414,-5.524,34.393
28,18.0,1.0,25.0,0.22,-13.068,-15.366,30.447
29,18.666666666666668,11.2,26.4,0.14,-6.601,-10.835,15.89
30,19.333333333333332,19.4,29.3,0.14,-1.349,-1.723,16.435
31,20.0,15.2,30.7,0.22,-4.038,2.453,30.378
32,20.666666666666668,45.0,35.0,0.25,14.923,16.171,34.465
33,21.333333333333332,19.6,29.1,0.11,-1.274,-2.315,10.558
34,22.0,22.1,31.2,0.2,0.355,4.189,25.767
35,22.666666666666668,33.4,30.6,0.23,7.55,2.272,31.839
36,23.333333333333332,43.3,34.0,0.25,13.828,13.005,34.933
