experiment,pioreactor_unit,started_at,ended_at,automation_name,settings,json_settings,started_at_localtime,ended_at_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-23T20:52:28.381000Z,2026-08-23T20:52:28.939000Z,temperature_schedule,eyJ0ZW1wZXJhdHVyZV9zZXF1ZW5jZSI6bnVsbCwibWludXRlc19wZXJfc3RlcCI6bnVsbCwicmVwZWF0X2N5Y2xlcyI6bnVsbCwidGFyZ2V0X3RlbXBlcmF0dXJlIjoyOS4wLCJzdGF0ZSI6ImluaXQifQ==,"{""temperature_sequence"":null,""minutes_per_step"":null,""repeat_cycles"":null,""target_temperature"":29.0,""state"":""init""}",2026-08-24 02:37:28.381,2026-08-24 02:37:28.939,1330.513611111111
Pulse experiments,pioreactor01,2026-08-23T20:52:28.939000Z,2026-08-23T20:52:28.945000Z,temperature_schedule,eyJ0ZW1wZXJhdHVyZV9zZXF1ZW5jZSI6bnVsbCwibWludXRlc19wZXJfc3RlcCI6NDAuMCwicmVwZWF0X2N5Y2xlcyI6bnVsbCwidGFyZ2V0X3RlbXBlcmF0dXJlIjoyOS4wLCJzdGF0ZSI6ImluaXQifQ==,"{""temperature_sequence"":null,""minutes_per_step"":40.0,""repeat_cycles"":null,""target_temperature"":29.0,""state"":""init""}",2026-08-24 02:37:28.939,2026-08-24 02:37:28.945,1330.513611111111
Pulse experiments,pioreactor01,2026-08-23T20:52:28.946000Z,2026-08-23T20:52:28.951000Z,temperature_schedule,eyJ0ZW1wZXJhdHVyZV9zZXF1ZW5jZSI6IjI5LCAzMiwgMzQsIDMyLCAyOSwgMjYsIDI0LCAyNiIsIm1pbnV0ZXNfcGVyX3N0ZXAiOjQwLjAsInJlcGVhdF9jeWNsZXMiOm51bGwsInRhcmdldF90ZW1wZXJhdHVyZSI6MjkuMCwic3RhdGUiOiJpbml0In0=,"{""temperature_sequence"":""29, 32, 34, 32, 29, 26, 24, 26"",""minutes_per_step"":40.0,""repeat_cycles"":null,""target_temperature"":29.0,""state"":""init""}",2026-08-24 02:37:28.946,2026-08-24 02:37:28.951,1330.513611111111
Pulse experiments,pioreactor01,2026-08-23T20:52:28.952000Z,2026-08-23T20:52:28.958000Z,temperature_schedule,eyJ0ZW1wZXJhdHVyZV9zZXF1ZW5jZSI6IjI5LCAzMiwgMzQsIDMyLCAyOSwgMjYsIDI0LCAyNiIsIm1pbnV0ZXNfcGVyX3N0ZXAiOjQwLjAsInJlcGVhdF9jeWNsZXMiOjMsInRhcmdldF90ZW1wZXJhdHVyZSI6MjkuMCwic3RhdGUiOiJpbml0In0=,"{""temperature_sequence"":""29, 32, 34, 32, 29, 26, 24, 26"",""minutes_per_step"":40.0,""repeat_cycles"":3,""target_temperature"":29.0,""state"":""init""}",2026-08-24 02:37:28.952,2026-08-24 02:37:28.958,1330.513611111111
Pulse experiments,pioreactor01,2026-08-23T20:52:28.958000Z,2026-08-23T20:52:28.968000Z,temperature_schedule,eyJ0ZW1wZXJhdHVyZV9zZXF1ZW5jZSI6IjI5LCAzMiwgMzQsIDMyLCAyOSwgMjYsIDI0LCAyNiIsIm1pbnV0ZXNfcGVyX3N0ZXAiOjQwLjAsInJlcGVhdF9jeWNsZXMiOjMsInRhcmdldF90ZW1wZXJhdHVyZSI6MjkuMCwic3RhdGUiOiJpbml0In0=,"{""temperature_sequence"":""29, 32, 34, 32, 29, 26, 24, 26"",""minutes_per_step"":40.0,""repeat_cycles"":3,""target_temperature"":29.0,""state"":""init""}",2026-08-24 02:37:28.958,2026-08-24 02:37:28.968,1330.513611111111
Pulse experiments,pioreactor01,2026-08-23T20:52:28.969000Z,2026-08-23T21:32:29.563000Z,temperature_schedule,eyJ0ZW1wZXJhdHVyZV9zZXF1ZW5jZSI6IjI5LCAzMiwgMzQsIDMyLCAyOSwgMjYsIDI0LCAyNiIsIm1pbnV0ZXNfcGVyX3N0ZXAiOjQwLjAsInJlcGVhdF9jeWNsZXMiOjMsInRhcmdldF90ZW1wZXJhdHVyZSI6MzIuMCwic3RhdGUiOiJyZWFkeSJ9,"{""temperature_sequence"":""29, 32, 34, 32, 29, 26, 24, 26"",""minutes_per_step"":40.0,""repeat_cycles"":3,""target_temperature"":32.0,""state"":""ready""}",2026-08-24 02:37:28.969,2026-08-24 03:17:29.563,1330.513611111111
Pulse experiments,pioreactor01,2026-08-23T21:32:29.563000Z,2026-08-23T22:12:29.612000Z,temperature_schedule,eyJ0ZW1wZXJhdHVyZV9zZXF1ZW5jZSI6IjI5LCAzMiwgMzQsIDMyLCAyOSwgMjYsIDI0LCAyNiIsIm1pbnV0ZXNfcGVyX3N0ZXAiOjQwLjAsInJlcGVhdF9jeWNsZXMiOjMsInRhcmdldF90ZW1wZXJhdHVyZSI6MzQuMCwic3RhdGUiOiJyZWFkeSJ9,"{""temperature_sequence"":""29, 32, 34, 32, 29, 26, 24, 26"",""minutes_per_step"":40.0,""repeat_cycles"":3,""target_temperature"":34.0,""state"":""ready""}",2026-08-24 03:17:29.563,2026-08-24 03:57:29.612,1331.180555555556
Pulse experiments,pioreactor01,2026-08-23T22:12:29.613000Z,2026-08-23T22:52:29.662000Z,temperature_schedule,eyJ0ZW1wZXJhdHVyZV9zZXF1ZW5jZSI6IjI5LCAzMiwgMzQsIDMyLCAyOSwgMjYsIDI0LCAyNiIsIm1pbnV0ZXNfcGVyX3N0ZXAiOjQwLjAsInJlcGVhdF9jeWNsZXMiOjMsInRhcmdldF90ZW1wZXJhdHVyZSI6MzIuMCwic3RhdGUiOiJyZWFkeSJ9,"{""temperature_sequence"":""29, 32, 34, 32, 29, 26, 24, 26"",""minutes_per_step"":40.0,""repeat_cycles"":3,""target_temperature"":32.0,""state"":""ready""}",2026-08-24 03:57:29.613,2026-08-24 04:37:29.662,1331.847222222222
Pulse experiments,pioreactor01,2026-08-23T22:52:29.663000Z,2026-08-23T23:32:29.712000Z,temperature_schedule,eyJ0ZW1wZXJhdHVyZV9zZXF1ZW5jZSI6IjI5LCAzMiwgMzQsIDMyLCAyOSwgMjYsIDI0LCAyNiIsIm1pbnV0ZXNfcGVyX3N0ZXAiOjQwLjAsInJlcGVhdF9jeWNsZXMiOjMsInRhcmdldF90ZW1wZXJhdHVyZSI6MjkuMCwic3RhdGUiOiJyZWFkeSJ9,"{""temperature_sequence"":""29, 32, 34, 32, 29, 26, 24, 26"",""minutes_per_step"":40.0,""repeat_cycles"":3,""target_temperature"":29.0,""state"":""ready""}",2026-08-24 04:37:29.663,2026-08-24 05:17:29.712,1332.513888888889
Pulse experiments,pioreactor01,2026-08-23T23:32:29.713000Z,2026-08-24T00:12:29.772000Z,temperature_schedule,eyJ0ZW1wZXJhdHVyZV9zZXF1ZW5jZSI6IjI5LCAzMiwgMzQsIDMyLCAyOSwgMjYsIDI0LCAyNiIsIm1pbnV0ZXNfcGVyX3N0ZXAiOjQwLjAsInJlcGVhdF9jeWNsZXMiOjMsInRhcmdldF90ZW1wZXJhdHVyZSI6MjYuMCwic3RhdGUiOiJyZWFkeSJ9,"{""temperature_sequence"":""29, 32, 34, 32, 29, 26, 24, 26"",""minutes_per_step"":40.0,""repeat_cycles"":3,""target_temperature"":26.0,""state"":""ready""}",2026-08-24 05:17:29.713,2026-08-24 05:57:29.772,1333.180555555556
