experiment,pioreactor_unit,timestamp,temperature_c,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-08-23T20:39:19.330Z,28.99,2026-08-24 02:24:19.330,1330.294444444444
Pulse experiments,pioreactor01,2026-08-23T20:52:29.389Z,31.5625,2026-08-24 02:37:29.389,1330.513888888889
Pulse experiments,pioreactor01,2026-08-23T20:55:57.347Z,31.23,2026-08-24 02:40:57.347,1330.571666666667
Pulse experiments,pioreactor01,2026-08-23T20:59:17.286Z,30.94,2026-08-24 02:44:17.286,1330.627222222222
Pulse experiments,pioreactor01,2026-08-23T21:02:37.292Z,30.64,2026-08-24 02:47:37.292,1330.682777777778
Pulse experiments,pioreactor01,2026-08-23T21:05:57.305Z,30.44,2026-08-24 02:50:57.305,1330.738333333333
Pulse experiments,pioreactor01,2026-08-23T21:09:17.274Z,30.25,2026-08-24 02:54:17.274,1330.793888888889
Pulse experiments,pioreactor01,2026-08-23T21:12:37.295Z,30.06,2026-08-24 02:57:37.295,1330.849444444445
Pulse experiments,pioreactor01,2026-08-23T21:15:57.276Z,29.94,2026-08-24 03:00:57.276,1330.905
Pulse experiments,pioreactor01,2026-08-23T21:19:17.278Z,29.81,2026-08-24 03:04:17.278,1330.960555555556
Pulse experiments,pioreactor01,2026-08-23T21:22:37.285Z,29.69,2026-08-24 03:07:37.285,1331.016111111111
Pulse experiments,pioreactor01,2026-08-23T21:25:57.306Z,29.58,2026-08-24 03:10:57.306,1331.071666666667
Pulse experiments,pioreactor01,2026-08-23T21:29:17.278Z,29.5,2026-08-24 03:14:17.278,1331.127222222222
Pulse experiments,pioreactor01,2026-08-23T21:32:37.286Z,29.44,2026-08-24 03:17:37.286,1331.182777777778
Pulse experiments,pioreactor01,2026-08-23T21:35:57.301Z,29.38,2026-08-24 03:20:57.301,1331.238333333333
Pulse experiments,pioreactor01,2026-08-23T21:39:17.271Z,29.3,2026-08-24 03:24:17.271,1331.293888888889
Pulse experiments,pioreactor01,2026-08-23T21:42:37.305Z,29.24,2026-08-24 03:27:37.305,1331.349444444445
Pulse experiments,pioreactor01,2026-08-23T21:45:57.270Z,29.18,2026-08-24 03:30:57.270,1331.405
Pulse experiments,pioreactor01,2026-08-23T21:49:17.284Z,29.12,2026-08-24 03:34:17.284,1331.460555555556
Pulse experiments,pioreactor01,2026-08-23T21:52:37.283Z,29.08,2026-08-24 03:37:37.283,1331.516111111111
Pulse experiments,pioreactor01,2026-08-23T21:55:57.270Z,29.06,2026-08-24 03:40:57.270,1331.571666666667
Pulse experiments,pioreactor01,2026-08-23T21:59:17.280Z,29.0,2026-08-24 03:44:17.280,1331.627222222222
Pulse experiments,pioreactor01,2026-08-23T22:02:37.274Z,29.0,2026-08-24 03:47:37.274,1331.682777777778
Pulse experiments,pioreactor01,2026-08-23T22:05:57.306Z,29.35,2026-08-24 03:50:57.306,1331.738333333333
Pulse experiments,pioreactor01,2026-08-23T22:09:17.231Z,28.94,2026-08-24 03:54:17.231,1331.793888888889
Pulse experiments,pioreactor01,2026-08-23T22:12:37.278Z,29.14,2026-08-24 03:57:37.278,1331.849444444445
Pulse experiments,pioreactor01,2026-08-23T22:15:57.284Z,29.21,2026-08-24 04:00:57.284,1331.905
Pulse experiments,pioreactor01,2026-08-23T22:19:17.285Z,28.91,2026-08-24 04:04:17.285,1331.960555555556
Pulse experiments,pioreactor01,2026-08-23T22:22:37.269Z,29.11,2026-08-24 04:07:37.269,1332.016111111111
Pulse experiments,pioreactor01,2026-08-23T22:25:57.310Z,29.21,2026-08-24 04:10:57.310,1332.071666666667
Pulse experiments,pioreactor01,2026-08-23T22:29:17.275Z,28.86,2026-08-24 04:14:17.275,1332.127222222222
Pulse experiments,pioreactor01,2026-08-23T22:32:37.263Z,28.98,2026-08-24 04:17:37.263,1332.182777777778
Pulse experiments,pioreactor01,2026-08-23T22:35:57.306Z,28.91,2026-08-24 04:20:57.306,1332.238333333333
Pulse experiments,pioreactor01,2026-08-23T22:39:17.332Z,29.04,2026-08-24 04:24:17.332,1332.293888888889
Pulse experiments,pioreactor01,2026-08-23T22:42:37.292Z,29.18,2026-08-24 04:27:37.292,1332.349444444445
Pulse experiments,pioreactor01,2026-08-23T22:45:57.256Z,28.86,2026-08-24 04:30:57.256,1332.405
Pulse experiments,pioreactor01,2026-08-23T22:49:17.294Z,28.92,2026-08-24 04:34:17.294,1332.460555555556
Pulse experiments,pioreactor01,2026-08-23T22:52:37.293Z,29.09,2026-08-24 04:37:37.293,1332.516111111111
Pulse experiments,pioreactor01,2026-08-23T22:55:57.282Z,29.13,2026-08-24 04:40:57.282,1332.571666666667
Pulse experiments,pioreactor01,2026-08-23T22:59:17.282Z,28.87,2026-08-24 04:44:17.282,1332.627222222222
Pulse experiments,pioreactor01,2026-08-23T23:02:37.291Z,28.97,2026-08-24 04:47:37.291,1332.682777777778
Pulse experiments,pioreactor01,2026-08-23T23:05:57.292Z,28.99,2026-08-24 04:50:57.292,1332.738333333333
Pulse experiments,pioreactor01,2026-08-23T23:09:17.306Z,29.09,2026-08-24 04:54:17.306,1332.793888888889
Pulse experiments,pioreactor01,2026-08-23T23:12:37.280Z,28.84,2026-08-24 04:57:37.280,1332.849444444445
Pulse experiments,pioreactor01,2026-08-23T23:15:57.312Z,28.97,2026-08-24 05:00:57.312,1332.905
Pulse experiments,pioreactor01,2026-08-23T23:19:17.291Z,28.9,2026-08-24 05:04:17.291,1332.960555555556
Pulse experiments,pioreactor01,2026-08-23T23:22:37.304Z,28.94,2026-08-24 05:07:37.304,1333.016111111111
Pulse experiments,pioreactor01,2026-08-23T23:25:57.278Z,28.91,2026-08-24 05:10:57.278,1333.071666666667
Pulse experiments,pioreactor01,2026-08-23T23:29:17.283Z,28.86,2026-08-24 05:14:17.283,1333.127222222222
Pulse experiments,pioreactor01,2026-08-23T23:32:37.274Z,28.93,2026-08-24 05:17:37.274,1333.182777777778
Pulse experiments,pioreactor01,2026-08-23T23:35:57.277Z,28.99,2026-08-24 05:20:57.277,1333.238333333333
Pulse experiments,pioreactor01,2026-08-23T23:39:17.276Z,28.94,2026-08-24 05:24:17.276,1333.293888888889
Pulse experiments,pioreactor01,2026-08-23T23:42:37.297Z,28.73,2026-08-24 05:27:37.297,1333.349444444445
Pulse experiments,pioreactor01,2026-08-23T23:45:57.302Z,28.99,2026-08-24 05:30:57.302,1333.405
Pulse experiments,pioreactor01,2026-08-23T23:49:17.644Z,29.03,2026-08-24 05:34:17.644,1333.460555555556
Pulse experiments,pioreactor01,2026-08-23T23:52:37.324Z,29.14,2026-08-24 05:37:37.324,1333.516111111111
Pulse experiments,pioreactor01,2026-08-23T23:55:57.279Z,29.13,2026-08-24 05:40:57.279,1333.571666666667
Pulse experiments,pioreactor01,2026-08-23T23:59:17.255Z,28.98,2026-08-24 05:44:17.255,1333.627222222222
Pulse experiments,pioreactor01,2026-08-24T00:02:37.294Z,29.01,2026-08-24 05:47:37.294,1333.682777777778
Pulse experiments,pioreactor01,2026-08-24T00:05:57.257Z,29.14,2026-08-24 05:50:57.257,1333.738333333333
Pulse experiments,pioreactor01,2026-08-24T00:09:17.247Z,29.2,2026-08-24 05:54:17.247,1333.793888888889
Pulse experiments,pioreactor01,2026-08-24T00:12:37.275Z,28.9,2026-08-24 05:57:37.275,1333.849444444445
Pulse experiments,pioreactor01,2026-08-24T00:15:57.281Z,29.03,2026-08-24 06:00:57.281,1333.905
Pulse experiments,pioreactor01,2026-08-24T00:19:17.276Z,28.89,2026-08-24 06:04:17.276,1333.960555555556
Pulse experiments,pioreactor01,2026-08-24T00:22:37.311Z,29.17,2026-08-24 06:07:37.311,1334.016111111111
Pulse experiments,pioreactor01,2026-08-24T00:25:57.290Z,29.13,2026-08-24 06:10:57.290,1334.071666666667
Pulse experiments,pioreactor01,2026-08-24T00:29:17.278Z,29.06,2026-08-24 06:14:17.278,1334.127222222222
Pulse experiments,pioreactor01,2026-08-24T00:32:37.283Z,28.71,2026-08-24 06:17:37.283,1334.182777777778
Pulse experiments,pioreactor01,2026-08-24T00:35:57.292Z,28.76,2026-08-24 06:20:57.292,1334.238333333333
Pulse experiments,pioreactor01,2026-08-24T00:39:17.302Z,28.96,2026-08-24 06:24:17.302,1334.293888888889
Pulse experiments,pioreactor01,2026-08-24T00:42:37.312Z,28.84,2026-08-24 06:27:37.312,1334.349444444445
Pulse experiments,pioreactor01,2026-08-24T00:45:57.303Z,28.93,2026-08-24 06:30:57.303,1334.405
Pulse experiments,pioreactor01,2026-08-24T00:49:17.269Z,28.85,2026-08-24 06:34:17.269,1334.460555555556
Pulse experiments,pioreactor01,2026-08-24T00:52:37.297Z,29.02,2026-08-24 06:37:37.297,1334.516111111111
Pulse experiments,pioreactor01,2026-08-24T00:55:57.286Z,28.87,2026-08-24 06:40:57.286,1334.571666666667
Pulse experiments,pioreactor01,2026-08-24T00:59:17.279Z,28.92,2026-08-24 06:44:17.279,1334.627222222222
Pulse experiments,pioreactor01,2026-08-24T01:02:37.305Z,29.1,2026-08-24 06:47:37.305,1334.682777777778
Pulse experiments,pioreactor01,2026-08-24T01:05:57.298Z,28.92,2026-08-24 06:50:57.298,1334.738333333333
Pulse experiments,pioreactor01,2026-08-24T01:09:17.332Z,29.16,2026-08-24 06:54:17.332,1334.793888888889
Pulse experiments,pioreactor01,2026-08-24T01:12:37.264Z,29.09,2026-08-24 06:57:37.264,1334.849444444445
Pulse experiments,pioreactor01,2026-08-24T01:15:57.289Z,29.1,2026-08-24 07:00:57.289,1334.905
Pulse experiments,pioreactor01,2026-08-24T01:19:17.319Z,28.97,2026-08-24 07:04:17.319,1334.960555555556
