experiment,pioreactor_unit,timestamp,od_reading,angle,channel,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-07-01T07:00:16.488Z,0.209944797092,90,2,2026-07-01 12:45:16.488,44.643611111111
Pulse experiments,pioreactor01,2026-07-01T07:00:16.488Z,0.284085515224,135,3,2026-07-01 12:45:16.488,44.643611111111
Pulse experiments,pioreactor01,2026-07-01T07:00:16.488Z,0.103215158601,45,4,2026-07-01 12:45:16.488,44.643611111111
Pulse experiments,pioreactor01,2026-07-01T07:00:21.487Z,0.210802625944,90,2,2026-07-01 12:45:21.487,44.645
Pulse experiments,pioreactor01,2026-07-01T07:00:21.487Z,0.284445972597,135,3,2026-07-01 12:45:21.487,44.645
Pulse experiments,pioreactor01,2026-07-01T07:00:21.487Z,0.103401647767,45,4,2026-07-01 12:45:21.487,44.645
Pulse experiments,pioreactor01,2026-07-01T07:00:26.495Z,0.211412272973,90,2,2026-07-01 12:45:26.495,44.646388888889
Pulse experiments,pioreactor01,2026-07-01T07:00:26.495Z,0.284791537348,135,3,2026-07-01 12:45:26.495,44.646388888889
Pulse experiments,pioreactor01,2026-07-01T07:00:26.495Z,0.103226653571,45,4,2026-07-01 12:45:26.495,44.646388888889
Pulse experiments,pioreactor01,2026-07-01T07:00:31.474Z,0.210742550374,90,2,2026-07-01 12:45:31.474,44.647777777778
Pulse experiments,pioreactor01,2026-07-01T07:00:31.474Z,0.28395571813,135,3,2026-07-01 12:45:31.474,44.647777777778
Pulse experiments,pioreactor01,2026-07-01T07:00:31.474Z,0.103310974615,45,4,2026-07-01 12:45:31.474,44.647777777778
Pulse experiments,pioreactor01,2026-07-01T07:00:36.473Z,0.210588867448,90,2,2026-07-01 12:45:36.473,44.649166666667
Pulse experiments,pioreactor01,2026-07-01T07:00:36.473Z,0.283724963932,135,3,2026-07-01 12:45:36.473,44.649166666667
Pulse experiments,pioreactor01,2026-07-01T07:00:36.473Z,0.103275177986,45,4,2026-07-01 12:45:36.473,44.649166666667
Pulse experiments,pioreactor01,2026-07-01T07:00:41.474Z,0.210965360386,90,2,2026-07-01 12:45:41.474,44.650555555556
Pulse experiments,pioreactor01,2026-07-01T07:00:41.474Z,0.283777662931,135,3,2026-07-01 12:45:41.474,44.650555555556
Pulse experiments,pioreactor01,2026-07-01T07:00:41.474Z,0.103500576486,45,4,2026-07-01 12:45:41.474,44.650555555556
Pulse experiments,pioreactor01,2026-07-01T07:00:46.473Z,0.210833628558,90,2,2026-07-01 12:45:46.473,44.651944444444
Pulse experiments,pioreactor01,2026-07-01T07:00:46.473Z,0.284045712635,135,3,2026-07-01 12:45:46.473,44.651944444444
Pulse experiments,pioreactor01,2026-07-01T07:00:46.473Z,0.103946620546,45,4,2026-07-01 12:45:46.473,44.651944444444
Pulse experiments,pioreactor01,2026-07-01T07:00:51.486Z,0.210669608932,90,2,2026-07-01 12:45:51.486,44.653333333333
Pulse experiments,pioreactor01,2026-07-01T07:00:51.486Z,0.282993737915,135,3,2026-07-01 12:45:51.486,44.653333333333
Pulse experiments,pioreactor01,2026-07-01T07:00:51.486Z,0.103091289433,45,4,2026-07-01 12:45:51.486,44.653333333333
Pulse experiments,pioreactor01,2026-07-01T07:00:56.473Z,0.210831493962,90,2,2026-07-01 12:45:56.473,44.654722222222
Pulse experiments,pioreactor01,2026-07-01T07:00:56.473Z,0.282678216187,135,3,2026-07-01 12:45:56.473,44.654722222222
Pulse experiments,pioreactor01,2026-07-01T07:00:56.473Z,0.103250745693,45,4,2026-07-01 12:45:56.473,44.654722222222
Pulse experiments,pioreactor01,2026-07-01T07:01:01.472Z,0.210046758678,90,2,2026-07-01 12:46:01.472,44.656111111111
Pulse experiments,pioreactor01,2026-07-01T07:01:01.472Z,0.283256210045,135,3,2026-07-01 12:46:01.472,44.656111111111
Pulse experiments,pioreactor01,2026-07-01T07:01:01.472Z,0.103747057931,45,4,2026-07-01 12:46:01.472,44.656111111111
Pulse experiments,pioreactor01,2026-07-01T07:01:06.477Z,0.210658994901,90,2,2026-07-01 12:46:06.477,44.6575
Pulse experiments,pioreactor01,2026-07-01T07:01:06.477Z,0.282788689684,135,3,2026-07-01 12:46:06.477,44.6575
Pulse experiments,pioreactor01,2026-07-01T07:01:06.477Z,0.104019256682,45,4,2026-07-01 12:46:06.477,44.6575
Pulse experiments,pioreactor01,2026-07-01T07:01:11.472Z,0.211143830595,90,2,2026-07-01 12:46:11.472,44.658888888889
Pulse experiments,pioreactor01,2026-07-01T07:01:11.472Z,0.282851565669,135,3,2026-07-01 12:46:11.472,44.658888888889
Pulse experiments,pioreactor01,2026-07-01T07:01:11.472Z,0.103327466318,45,4,2026-07-01 12:46:11.472,44.658888888889
Pulse experiments,pioreactor01,2026-07-01T07:01:16.477Z,0.210299077306,90,2,2026-07-01 12:46:16.477,44.660277777778
Pulse experiments,pioreactor01,2026-07-01T07:01:16.477Z,0.282699102914,135,3,2026-07-01 12:46:16.477,44.660277777778
Pulse experiments,pioreactor01,2026-07-01T07:01:16.477Z,0.10285434746,45,4,2026-07-01 12:46:16.477,44.660277777778
Pulse experiments,pioreactor01,2026-07-01T07:01:21.474Z,0.211946265349,90,2,2026-07-01 12:46:21.474,44.661666666667
Pulse experiments,pioreactor01,2026-07-01T07:01:21.474Z,0.283173236895,135,3,2026-07-01 12:46:21.474,44.661666666667
Pulse experiments,pioreactor01,2026-07-01T07:01:21.474Z,0.103149274098,45,4,2026-07-01 12:46:21.474,44.661666666667
Pulse experiments,pioreactor01,2026-07-01T07:01:26.474Z,0.210236152886,90,2,2026-07-01 12:46:26.474,44.663055555556
Pulse experiments,pioreactor01,2026-07-01T07:01:26.474Z,0.281561046886,135,3,2026-07-01 12:46:26.474,44.663055555556
Pulse experiments,pioreactor01,2026-07-01T07:01:26.474Z,0.103056803992,45,4,2026-07-01 12:46:26.474,44.663055555556
Pulse experiments,pioreactor01,2026-07-01T07:01:31.475Z,0.209997836932,90,2,2026-07-01 12:46:31.475,44.664444444444
Pulse experiments,pioreactor01,2026-07-01T07:01:31.475Z,0.282788684334,135,3,2026-07-01 12:46:31.475,44.664444444444
Pulse experiments,pioreactor01,2026-07-01T07:01:31.475Z,0.103502024445,45,4,2026-07-01 12:46:31.475,44.664444444444
Pulse experiments,pioreactor01,2026-07-01T07:01:36.471Z,0.210122624145,90,2,2026-07-01 12:46:36.471,44.665833333333
Pulse experiments,pioreactor01,2026-07-01T07:01:36.471Z,0.282361414633,135,3,2026-07-01 12:46:36.471,44.665833333333
Pulse experiments,pioreactor01,2026-07-01T07:01:36.471Z,0.103369344777,45,4,2026-07-01 12:46:36.471,44.665833333333
Pulse experiments,pioreactor01,2026-07-01T07:01:41.476Z,0.211274073111,90,2,2026-07-01 12:46:41.476,44.667222222222
Pulse experiments,pioreactor01,2026-07-01T07:01:41.476Z,0.282325223028,135,3,2026-07-01 12:46:41.476,44.667222222222
Pulse experiments,pioreactor01,2026-07-01T07:01:41.476Z,0.103959651377,45,4,2026-07-01 12:46:41.476,44.667222222222
Pulse experiments,pioreactor01,2026-07-01T07:01:46.473Z,0.210753461913,90,2,2026-07-01 12:46:46.473,44.668611111111
Pulse experiments,pioreactor01,2026-07-01T07:01:46.473Z,0.283194969718,135,3,2026-07-01 12:46:46.473,44.668611111111
Pulse experiments,pioreactor01,2026-07-01T07:01:46.473Z,0.103608954927,45,4,2026-07-01 12:46:46.473,44.668611111111
Pulse experiments,pioreactor01,2026-07-01T07:01:51.474Z,0.210799040172,90,2,2026-07-01 12:46:51.474,44.67
Pulse experiments,pioreactor01,2026-07-01T07:01:51.474Z,0.282841631436,135,3,2026-07-01 12:46:51.474,44.67
Pulse experiments,pioreactor01,2026-07-01T07:01:51.474Z,0.103770709214,45,4,2026-07-01 12:46:51.474,44.67
Pulse experiments,pioreactor01,2026-07-01T07:01:56.476Z,0.210483516367,90,2,2026-07-01 12:46:56.476,44.671388888889
Pulse experiments,pioreactor01,2026-07-01T07:01:56.476Z,0.281941186464,135,3,2026-07-01 12:46:56.476,44.671388888889
Pulse experiments,pioreactor01,2026-07-01T07:01:56.476Z,0.103836454189,45,4,2026-07-01 12:46:56.476,44.671388888889
Pulse experiments,pioreactor01,2026-07-01T07:02:01.477Z,0.210329818405,90,2,2026-07-01 12:47:01.477,44.672777777778
Pulse experiments,pioreactor01,2026-07-01T07:02:01.477Z,0.281870990388,135,3,2026-07-01 12:47:01.477,44.672777777778
Pulse experiments,pioreactor01,2026-07-01T07:02:01.477Z,0.103259016523,45,4,2026-07-01 12:47:01.477,44.672777777778
Pulse experiments,pioreactor01,2026-07-01T07:02:06.475Z,0.209816768352,90,2,2026-07-01 12:47:06.475,44.674166666667
Pulse experiments,pioreactor01,2026-07-01T07:02:06.475Z,0.282578991152,135,3,2026-07-01 12:47:06.475,44.674166666667
Pulse experiments,pioreactor01,2026-07-01T07:02:06.475Z,0.102495321599,45,4,2026-07-01 12:47:06.475,44.674166666667
Pulse experiments,pioreactor01,2026-07-01T07:02:11.475Z,0.21067771245,90,2,2026-07-01 12:47:11.475,44.675555555556
Pulse experiments,pioreactor01,2026-07-01T07:02:11.475Z,0.283200922384,135,3,2026-07-01 12:47:11.475,44.675555555556
Pulse experiments,pioreactor01,2026-07-01T07:02:11.475Z,0.103097303674,45,4,2026-07-01 12:47:11.475,44.675555555556
Pulse experiments,pioreactor01,2026-07-01T07:02:16.476Z,0.209423523798,90,2,2026-07-01 12:47:16.476,44.676944444444
Pulse experiments,pioreactor01,2026-07-01T07:02:16.476Z,0.281851706896,135,3,2026-07-01 12:47:16.476,44.676944444444
Pulse experiments,pioreactor01,2026-07-01T07:02:16.476Z,0.103073271218,45,4,2026-07-01 12:47:16.476,44.676944444444
Pulse experiments,pioreactor01,2026-07-01T07:02:21.479Z,0.209793410324,90,2,2026-07-01 12:47:21.479,44.678333333333
Pulse experiments,pioreactor01,2026-07-01T07:02:21.479Z,0.281339137091,135,3,2026-07-01 12:47:21.479,44.678333333333
Pulse experiments,pioreactor01,2026-07-01T07:02:21.479Z,0.103271064611,45,4,2026-07-01 12:47:21.479,44.678333333333
Pulse experiments,pioreactor01,2026-07-01T07:02:26.474Z,0.209856014021,90,2,2026-07-01 12:47:26.474,44.679722222222
Pulse experiments,pioreactor01,2026-07-01T07:02:26.474Z,0.281976601773,135,3,2026-07-01 12:47:26.474,44.679722222222
Pulse experiments,pioreactor01,2026-07-01T07:02:26.474Z,0.1038301947,45,4,2026-07-01 12:47:26.474,44.679722222222
Pulse experiments,pioreactor01,2026-07-01T07:02:31.479Z,0.210926956005,90,2,2026-07-01 12:47:31.479,44.681111111111
Pulse experiments,pioreactor01,2026-07-01T07:02:31.479Z,0.282519483813,135,3,2026-07-01 12:47:31.479,44.681111111111
Pulse experiments,pioreactor01,2026-07-01T07:02:31.479Z,0.103492438041,45,4,2026-07-01 12:47:31.479,44.681111111111
Pulse experiments,pioreactor01,2026-07-01T07:02:36.473Z,0.210803508608,90,2,2026-07-01 12:47:36.473,44.6825
Pulse experiments,pioreactor01,2026-07-01T07:02:36.473Z,0.282740739104,135,3,2026-07-01 12:47:36.473,44.6825
Pulse experiments,pioreactor01,2026-07-01T07:02:36.473Z,0.102999288832,45,4,2026-07-01 12:47:36.473,44.6825
Pulse experiments,pioreactor01,2026-07-01T07:02:41.477Z,0.209971459109,90,2,2026-07-01 12:47:41.477,44.683888888889
Pulse experiments,pioreactor01,2026-07-01T07:02:41.477Z,0.282780235491,135,3,2026-07-01 12:47:41.477,44.683888888889
Pulse experiments,pioreactor01,2026-07-01T07:02:41.477Z,0.10343701836,45,4,2026-07-01 12:47:41.477,44.683888888889
Pulse experiments,pioreactor01,2026-07-01T07:02:46.474Z,0.211280847709,90,2,2026-07-01 12:47:46.474,44.685277777778
Pulse experiments,pioreactor01,2026-07-01T07:02:46.474Z,0.282720403075,135,3,2026-07-01 12:47:46.474,44.685277777778
Pulse experiments,pioreactor01,2026-07-01T07:02:46.474Z,0.104185318114,45,4,2026-07-01 12:47:46.474,44.685277777778
Pulse experiments,pioreactor01,2026-07-01T07:02:51.473Z,0.21065702455,90,2,2026-07-01 12:47:51.473,44.686666666667
Pulse experiments,pioreactor01,2026-07-01T07:02:51.473Z,0.282375173426,135,3,2026-07-01 12:47:51.473,44.686666666667
Pulse experiments,pioreactor01,2026-07-01T07:02:51.473Z,0.103391305732,45,4,2026-07-01 12:47:51.473,44.686666666667
