experiment,pioreactor_unit,timestamp,od_reading,angle,channel,timestamp_localtime,hours_since_experiment_created
Pulse experiments,pioreactor01,2026-07-12T15:46:42.080Z,0.28616297658,90,2,2026-07-12 21:31:42.080,317.4175
Pulse experiments,pioreactor01,2026-07-12T15:46:42.080Z,0.233095733357,135,3,2026-07-12 21:31:42.080,317.4175
Pulse experiments,pioreactor01,2026-07-12T15:46:42.080Z,0.165942590112,45,4,2026-07-12 21:31:42.080,317.4175
Pulse experiments,pioreactor01,2026-07-12T15:46:47.069Z,0.287065759703,90,2,2026-07-12 21:31:47.069,317.418888888889
Pulse experiments,pioreactor01,2026-07-12T15:46:47.069Z,0.234204022219,135,3,2026-07-12 21:31:47.069,317.418888888889
Pulse experiments,pioreactor01,2026-07-12T15:46:47.069Z,0.166938235758,45,4,2026-07-12 21:31:47.069,317.418888888889
Pulse experiments,pioreactor01,2026-07-12T15:46:52.064Z,0.286839894286,90,2,2026-07-12 21:31:52.064,317.420277777778
Pulse experiments,pioreactor01,2026-07-12T15:46:52.064Z,0.233988110968,135,3,2026-07-12 21:31:52.064,317.420277777778
Pulse experiments,pioreactor01,2026-07-12T15:46:52.064Z,0.166766366949,45,4,2026-07-12 21:31:52.064,317.420277777778
Pulse experiments,pioreactor01,2026-07-12T15:46:57.063Z,0.286270420672,90,2,2026-07-12 21:31:57.063,317.421666666667
Pulse experiments,pioreactor01,2026-07-12T15:46:57.063Z,0.233838312968,135,3,2026-07-12 21:31:57.063,317.421666666667
Pulse experiments,pioreactor01,2026-07-12T15:46:57.063Z,0.166168451229,45,4,2026-07-12 21:31:57.063,317.421666666667
Pulse experiments,pioreactor01,2026-07-12T15:47:02.063Z,0.287273317743,90,2,2026-07-12 21:32:02.063,317.423055555556
Pulse experiments,pioreactor01,2026-07-12T15:47:02.063Z,0.233741900693,135,3,2026-07-12 21:32:02.063,317.423055555556
Pulse experiments,pioreactor01,2026-07-12T15:47:02.063Z,0.166665659049,45,4,2026-07-12 21:32:02.063,317.423055555556
Pulse experiments,pioreactor01,2026-07-12T15:47:07.067Z,0.287564071519,90,2,2026-07-12 21:32:07.067,317.424444444444
Pulse experiments,pioreactor01,2026-07-12T15:47:07.067Z,0.233662287952,135,3,2026-07-12 21:32:07.067,317.424444444444
Pulse experiments,pioreactor01,2026-07-12T15:47:07.067Z,0.16649406297,45,4,2026-07-12 21:32:07.067,317.424444444444
Pulse experiments,pioreactor01,2026-07-12T15:47:12.067Z,0.287284849022,90,2,2026-07-12 21:32:12.067,317.425833333333
Pulse experiments,pioreactor01,2026-07-12T15:47:12.067Z,0.233344299373,135,3,2026-07-12 21:32:12.067,317.425833333333
Pulse experiments,pioreactor01,2026-07-12T15:47:12.067Z,0.166687189024,45,4,2026-07-12 21:32:12.067,317.425833333333
Pulse experiments,pioreactor01,2026-07-12T15:47:17.062Z,0.286518827189,90,2,2026-07-12 21:32:17.062,317.427222222222
Pulse experiments,pioreactor01,2026-07-12T15:47:17.062Z,0.233533076666,135,3,2026-07-12 21:32:17.062,317.427222222222
Pulse experiments,pioreactor01,2026-07-12T15:47:17.062Z,0.166230607996,45,4,2026-07-12 21:32:17.062,317.427222222222
Pulse experiments,pioreactor01,2026-07-12T15:47:22.064Z,0.285269307733,90,2,2026-07-12 21:32:22.064,317.428611111111
Pulse experiments,pioreactor01,2026-07-12T15:47:22.064Z,0.233017852564,135,3,2026-07-12 21:32:22.064,317.428611111111
Pulse experiments,pioreactor01,2026-07-12T15:47:22.064Z,0.16634724015,45,4,2026-07-12 21:32:22.064,317.428611111111
Pulse experiments,pioreactor01,2026-07-12T15:47:27.060Z,0.285711942678,90,2,2026-07-12 21:32:27.060,317.43
Pulse experiments,pioreactor01,2026-07-12T15:47:27.060Z,0.233229877825,135,3,2026-07-12 21:32:27.060,317.43
Pulse experiments,pioreactor01,2026-07-12T15:47:27.060Z,0.166407935574,45,4,2026-07-12 21:32:27.060,317.43
Pulse experiments,pioreactor01,2026-07-12T15:47:32.063Z,0.286915631645,90,2,2026-07-12 21:32:32.063,317.431388888889
Pulse experiments,pioreactor01,2026-07-12T15:47:32.063Z,0.233682486055,135,3,2026-07-12 21:32:32.063,317.431388888889
Pulse experiments,pioreactor01,2026-07-12T15:47:32.063Z,0.166425097557,45,4,2026-07-12 21:32:32.063,317.431388888889
Pulse experiments,pioreactor01,2026-07-12T15:47:37.065Z,0.28710654174,90,2,2026-07-12 21:32:37.065,317.432777777778
Pulse experiments,pioreactor01,2026-07-12T15:47:37.065Z,0.233602948631,135,3,2026-07-12 21:32:37.065,317.432777777778
Pulse experiments,pioreactor01,2026-07-12T15:47:37.065Z,0.166785256051,45,4,2026-07-12 21:32:37.065,317.432777777778
Pulse experiments,pioreactor01,2026-07-12T15:47:42.061Z,0.286824732715,90,2,2026-07-12 21:32:42.061,317.434166666667
Pulse experiments,pioreactor01,2026-07-12T15:47:42.061Z,0.233253715372,135,3,2026-07-12 21:32:42.061,317.434166666667
Pulse experiments,pioreactor01,2026-07-12T15:47:42.061Z,0.166351306431,45,4,2026-07-12 21:32:42.061,317.434166666667
