run,run_key,condition,modality,steps,norm_od_mae,norm_od_rmse,norm_od_r2,growth_rate_mae,growth_rate_rmse,growth_rate_r2,co2_ppm_mae,co2_ppm_rmse,co2_ppm_r2,od_45_mae,od_45_rmse,od_45_r2,od_90_mae,od_90_rmse,od_90_r2,od_135_mae,od_135_rmse,od_135_r2,nm_415_mae,nm_415_rmse,nm_415_r2,nm_445_mae,nm_445_rmse,nm_445_r2,nm_480_mae,nm_480_rmse,nm_480_r2,nm_515_mae,nm_515_rmse,nm_515_r2,nm_555_mae,nm_555_rmse,nm_555_r2,nm_590_mae,nm_590_rmse,nm_590_r2,nm_630_mae,nm_630_rmse,nm_630_r2,nm_680_mae,nm_680_rmse,nm_680_r2
mackey_glass__glucose__20260901143358,mackey_glass:glucose:20260901143358,glucose,mackey_glass,94,0.5241722739032979,0.5346480033731478,-238.99334059767085,0.048628161400470354,0.058937493552214226,-2.3127535826034014,175.30653023668512,201.15225298576033,-2.2066125584597356,0.2652888173529203,0.28592938238713717,-7.080205620825055,0.049536844005848485,0.05297680139006682,-103.11820510011755,0.09861755031280164,0.1041642323251491,-34.47682630724129,0.012916971460999597,0.013918279656222488,-94.98842160309795,0.09993384744445913,0.10703948561839208,-97.71592978672146,0.12313734441247895,0.1312361149632605,-95.70729003468321,0.15202625584089632,0.1658674339422435,-99.37530689205286,0.15216606893419796,0.1620033589678028,-69.679197345394,0.15500541353652988,0.1664289986028656,-69.98867766186882,0.139394943798742,0.14835800382441763,-58.08381466819805,0.0939749374658831,0.10083352989277691,-70.26020155785072
mackey_glass__nitro__20260901224037,mackey_glass:nitro:20260901224037,nitro,mackey_glass,85,0.9818466219549745,1.2262710333636397,-1.0697557373032245,0.03926922271533692,0.04815723538046442,0.021585134189518573,122.12774275814193,144.0211012823068,0.01875828718259187,0.22932858349594062,0.26294578172792393,-4.228120055980965,0.04916532854442819,0.05234837234303463,-48.542943418410196,0.10365349738732206,0.11084097362393243,-25.67700946228379,0.015151547115037797,0.016325313728441284,-46.04802451233845,0.12512979372853392,0.13391835156531487,-40.43408960785332,0.14909100091782357,0.15918723514566488,-41.48866477487264,0.1752956464169889,0.19063301984393594,-51.846633355430626,0.17731692115063355,0.18899506162072086,-40.59951345048507,0.1760122672906975,0.18930111335599087,-41.26572116335022,0.15690494239308278,0.16751194884690904,-34.95235466738564,0.10475383782942373,0.11284709133352042,-40.355909302259455
mackey_glass__salt__20260901143936,mackey_glass:salt:20260901143936,salt,mackey_glass,91,0.16427130082821356,0.18307344761213712,-5.918981426688066,0.04867892275661086,0.058186107503428605,-1.8785785552950158,97.57267740885416,110.64082683596904,-0.5743263569823809,0.04334510520532166,0.05382189270463866,-7.206442140449042,0.033242976064988765,0.037356509863872095,-7.054708167092615,0.029791683726379827,0.038645882808359316,-10.07914069819313,0.002679316790121462,0.0028498390083134674,-21.796168855875077,0.02778700233998802,0.028633526961386817,-33.31388592599235,0.02675441267903003,0.02724731271666491,-24.493505790240334,0.026467930418683335,0.027698429970479794,-19.430015956712793,0.02518306038739969,0.027321054431454318,-14.058040239086429,0.018762545666425903,0.0202453118658357,-8.005796640022393,0.014532228774085517,0.016835583904800853,-5.987882730925928,0.010617329293516506,0.012355770888173639,-8.95932362341963
mackey_glass__sulfur__20260902080307,mackey_glass:sulfur:20260902080307,sulfur,mackey_glass,85,2.544347007751078,2.691896676658042,-8.631612088759757,0.032134026619074545,0.052029444680114494,-0.2792160011958431,85.2198113496972,123.60483675909634,-0.4239481483397629,0.07958175789188518,0.10391867391889016,-0.8833825502135391,0.04425123416051455,0.05696503560649429,-7.667020110512681,0.057816604654841376,0.07368559492938925,-6.5883331978931725,0.011519400830610847,0.013592169792834265,-17.202044862689377,0.09748053642560027,0.1131076979693031,-15.723316177669048,0.11400892493973518,0.13249270971240126,-15.123849752868342,0.1393443901295565,0.1651123379835339,-20.176203921785966,0.132826613877636,0.15456603341914354,-13.959663985166396,0.13134075804646056,0.1557328935261161,-14.527477202479103,0.11175941938215915,0.1334120338281758,-11.552196915599897,0.0759669066565513,0.09086357566090093,-14.101314904142333
pulse__control__20260705115653,pulse:control:20260705115653,control,pulse,124,0.18945184644502497,0.205392423955462,-30.11121199501397,0.02257959848012528,0.02477644190116646,0.0842884626296383,112.01801485424198,123.81524529174276,-1.5993797532451572,0.08336969041942371,0.0851061203593528,-127.14207721606095,0.03905610983054651,0.03965464404356166,-33.043662642063026,0.05025800078722967,0.050914917663160746,-54.007878957371005,0.006491117374845278,0.006606293974713892,-35.670390042353745,0.05494978100045261,0.05582618767896307,-39.09501074586893,0.05999157877666192,0.0612024089941585,-31.564431135981245,0.07385039299354965,0.07498508974648936,-36.11461003719202,0.08842182438095735,0.08962329040166853,-41.23949969589619,0.08339219990590724,0.08450754249883452,-37.26574009763925,0.08103128478520608,0.08235167971778576,-37.70439286355555,0.05011447457149421,0.051046246405353914,-36.953373712946586
pulse__glucose__20260709215429,pulse:glucose:20260709215429,glucose,pulse,173,0.20977583463478044,0.2407528452934974,-35.514057064904556,0.032901079606892314,0.03611475761082115,-1.685051224236536,178.93467210873152,208.16673067863985,-0.7266060853397831,0.032331120005975385,0.03816632694156557,-2.693726869012319,0.01507243974489692,0.01743925174995328,-17.86146389190624,0.014162311296357923,0.016291405019458367,-3.428167680054215,0.0022672567297484436,0.0026026499736899055,-8.886926378907104,0.022310384144831597,0.025068449225236558,-11.58104426464354,0.022696210487516803,0.025657028504117496,-8.712692828258962,0.03239679443507359,0.03629120259070752,-13.835768925793996,0.04329740386823564,0.050052880275573135,-22.42193467738262,0.035207807478374514,0.03974981796482593,-15.645791703195314,0.03941283018771028,0.04569487330964663,-24.769592340283207,0.022026461261669555,0.024447913861882355,-18.98436866113474
pulse__nitrogen__20260703122850,pulse:nitrogen:20260703122850,nitrogen,pulse,162,0.3356036230786844,0.35022049471780325,-54.82238110219262,0.03491100061895502,0.03821876141820199,-3.3381022626720407,259.7910807650961,264.89689325167114,-23.43837153514664,0.1698709463002864,0.17019860480242305,-604.8778476557309,0.007204623869542061,0.010226608229342524,-0.49974148464546,0.08643359665337076,0.08677642295244666,-110.10001082239432,0.0021436303232485747,0.002486808065950647,-0.685588404269635,0.03915169936964907,0.04389668132861785,-7.391699456747418,0.05714019639343022,0.06135741448820123,-10.01250079260069,0.051990224749843286,0.05834657453787525,-6.232527063256672,0.060191236850122606,0.06450969442155008,-5.831559312127507,0.054282759532332414,0.05942769669361549,-4.798502096366143,0.02662041009565195,0.02954461389671856,-0.5330948081337024,0.010591182376941044,0.014914603085738101,0.015201561324085011
pulse__nitrogen__20260804092944,pulse:nitrogen:20260804092944,nitrogen,pulse,137,0.31877814040382063,0.3283993710103183,-549.2003536743031,0.030582045481850954,0.03579908974231403,-2.4029073487321995,202.20436575464151,216.08900312834712,-6.584916222995471,0.0706971364313406,0.07300672557044807,-65.52727379490989,0.03771671130465636,0.038095141621730624,-42.9040131148799,0.04018062105286371,0.04093861173710038,-180.09775613689587,0.004843828027861025,0.0049947819530655,-140.5976341214948,0.038152661915698105,0.039816040408703186,-119.07189114581365,0.05544225303351492,0.056220605794847146,-176.3560094305539,0.05258828291374876,0.05522344565117771,-143.62876702594306,0.05372058408965475,0.05794232769843662,-131.19649992447992,0.05807932159966894,0.06065698818018162,-158.85149204209262,0.05439088819813887,0.05736876668749815,-147.3325335843154,0.033615288372133324,0.03592962860095647,-147.6350399509898
pulse__nitrogen__20260805104326,pulse:nitrogen:20260805104326,nitrogen,pulse,139,0.1142048046917893,0.15268704390941612,-39.02442692509504,0.015758211401957746,0.018818053414908036,0.3155714913316472,259.1732731178763,268.414802274008,-15.537457192142892,0.015754776017230767,0.01987122591119995,-4.870190898600034,0.010564243380482863,0.011726120891074736,-3.362482790496162,0.0054472486087001806,0.006762550263203497,-0.9510983242296798,0.002984339720745056,0.0031861114132622397,-6.781219555391033,0.026820982786768324,0.02869250921428452,-6.926462832783925,0.03292551984879133,0.034785490057520956,-7.647564961887072,0.02720259510606962,0.0298886388142844,-4.89711587748428,0.02491936726846559,0.028835398498068456,-3.431396816062552,0.02994757544936768,0.03258010476816143,-4.761537310001452,0.028120675797623736,0.031154451966549104,-4.764100716491696,0.01662538049819967,0.018573243773682375,-4.088318034378883
pulse__nitrogen__20260805225017,pulse:nitrogen:20260805225017,nitrogen,pulse,132,0.05407547434658756,0.07018816082925189,-17.25030207613412,0.016836774283659508,0.02040425635686225,-0.8613409566260477,134.37728942405178,151.31601324974025,-3.2382504158652017,0.03384169075056967,0.03959166187754216,-78.52964676982029,0.004325096740908874,0.005339080111982984,-1.929950058429125,0.014308680097487056,0.0169757909834805,-28.293170347933355,0.0014056863110888257,0.001865887550668056,-7.7626277255399,0.01438170835909142,0.018334868985862195,-9.22132455562572,0.010834744896900854,0.0146066285559847,-3.7518455206460795,0.01840851542947652,0.023961293777332714,-10.777503965843524,0.0249388615929342,0.031784569511631326,-15.196014486764213,0.019322839552108447,0.025345878509007675,-8.875109559292305,0.01884963471147343,0.02503970377061762,-8.966057714569317,0.011974822249121329,0.015911746800113192,-8.911849853471233
