run,norm_od_n,norm_od_rmse,norm_od_mae,norm_od_r2,final_biomass_gdw_per_l,final_glucose_mmol_per_l
mackey_glass__glucose__20260901143358,94,0.1736720875856142,0.15722587788135733,-24.515177827965797,0.0883550958187114,193.98092636639515
mackey_glass__nitro__20260901224037,83,0.9290483905692519,0.7697007100019342,-0.16865040426903644,0.2940678547295753,103.40389178160126
mackey_glass__salt__20260901143936,89,0.0571253026949854,0.03916650165034171,0.34615811195733903,0.1084774164154676,146.39699041672895
mackey_glass__sulfur__20260902080307,85,1.037396901948186,0.846324706381053,-0.39873955854082066,0.5506740143869188,128.28851998529984
pulse__control__20260705115653,124,0.14480636741637332,0.11542935534276165,-14.46945093894912,0.1906827239653022,193.4716129264368
pulse__glucose__20260709215429,172,0.11456653930199333,0.08356578050464647,-7.309331056105453,0.1420850720870404,193.4974066790215
pulse__nitrogen__20260703122850,161,0.45530354787617067,0.44057987667045034,-90.49728239318341,0.1428317342104645,111.87772766130186
pulse__nitrogen__20260804092944,135,0.1910581416974407,0.1739182069645597,-180.56507210145284,0.1248593167407045,193.7050289378581
pulse__nitrogen__20260805104326,138,0.16103498022168505,0.12011336565882294,-42.37210499163779,0.1523220950769823,193.57131656782315
pulse__nitrogen__20260805225017,132,0.18035588995643467,0.1488942429574983,-117.84020673138271,0.171347359759338,193.5154867760514
pulse__nitrogen__20260806102506,136,0.20932964096488987,0.16326966284320324,-57.914366046748825,0.1824090277431703,193.446705796762
pulse__salt__20260715130728,163,0.2306268559411196,0.17764816627564403,-36.86882078739408,0.1995320097917244,193.2307333350621
pulse__salt__20260814171607,143,0.08029222805440188,0.055006852134270444,-3.885367472382544,0.1049077027334009,193.77685500099315
