run_key,modality,input_type,condition,run_id,rows,filename,path
mackey_glass:chem:glucose:20260901143358,mackey_glass,chem,glucose,20260901143358,73,mackey_glass__chem__glucose__20260901143358.csv,D:\omnibio\pioreactor\models\ltc\artifacts\dataset\runs\mackey_glass__chem__glucose__20260901143358.csv
mackey_glass:chem:nitro:20260901224037,mackey_glass,chem,nitro,20260901224037,73,mackey_glass__chem__nitro__20260901224037.csv,D:\omnibio\pioreactor\models\ltc\artifacts\dataset\runs\mackey_glass__chem__nitro__20260901224037.csv
mackey_glass:chem:salt:20260901143936,mackey_glass,chem,salt,20260901143936,74,mackey_glass__chem__salt__20260901143936.csv,D:\omnibio\pioreactor\models\ltc\artifacts\dataset\runs\mackey_glass__chem__salt__20260901143936.csv
mackey_glass:chem:sulfur:20260902080307,mackey_glass,chem,sulfur,20260902080307,72,mackey_glass__chem__sulfur__20260902080307.csv,D:\omnibio\pioreactor\models\ltc\artifacts\dataset\runs\mackey_glass__chem__sulfur__20260902080307.csv
mackey_glass:temp:temp:20260831100538,mackey_glass,temp,temp,20260831100538,273,mackey_glass__temp__temp__20260831100538.csv,D:\omnibio\pioreactor\models\ltc\artifacts\dataset\runs\mackey_glass__temp__temp__20260831100538.csv
mackey_glass:uv:uv:20260831095938,mackey_glass,uv,uv,20260831095938,98,mackey_glass__uv__uv__20260831095938.csv,D:\omnibio\pioreactor\models\ltc\artifacts\dataset\runs\mackey_glass__uv__uv__20260831095938.csv
pulse:chem:control:20260705115653,pulse,chem,control,20260705115653,98,pulse__chem__control__20260705115653.csv,D:\omnibio\pioreactor\models\ltc\artifacts\dataset\runs\pulse__chem__control__20260705115653.csv
pulse:chem:glucose:20260709215429,pulse,chem,glucose,20260709215429,146,pulse__chem__glucose__20260709215429.csv,D:\omnibio\pioreactor\models\ltc\artifacts\dataset\runs\pulse__chem__glucose__20260709215429.csv
pulse:chem:glucose:20260902182036,pulse,chem,glucose,20260902182036,108,pulse__chem__glucose__20260902182036.csv,D:\omnibio\pioreactor\models\ltc\artifacts\dataset\runs\pulse__chem__glucose__20260902182036.csv
pulse:chem:glucose:20260903094345,pulse,chem,glucose,20260903094345,122,pulse__chem__glucose__20260903094345.csv,D:\omnibio\pioreactor\models\ltc\artifacts\dataset\runs\pulse__chem__glucose__20260903094345.csv
