norm_od_pred,growth_rate_pred,co2_ppm_pred,od_45_pred,od_90_pred,od_135_pred,nm_415_pred,nm_445_pred,nm_480_pred,nm_515_pred,nm_555_pred,nm_590_pred,nm_630_pred,nm_680_pred,timestamp,norm_od_true,growth_rate_true,co2_ppm_true
2.7405438,0.029583279,694.4,0.19068205,0.2892157,0.21865204,0.04395764,0.36546552,0.41338763,0.46080485,0.52175057,0.51354206,0.50798655,0.2963133,2026-09-01 09:55:00+00:00,2.839211493491817,0.0450234443891666,841.2
2.6965904,0.028816493,691.75085,0.20011461,0.2912703,0.21574432,0.043515872,0.3611299,0.40878123,0.45561212,0.5159048,0.5091494,0.50246984,0.2923043,2026-09-01 10:00:00+00:00,2.847872010115017,0.0601790280384,795.4
2.6103501,0.028880222,700.22485,0.20628841,0.2947145,0.21315742,0.042836435,0.35877886,0.4045478,0.451148,0.5118609,0.50366026,0.4947979,0.28901473,2026-09-01 10:05:00+00:00,2.894709000026018,0.0976229517629818,814.2
2.7205682,0.028559886,701.551,0.2044116,0.29351902,0.21467008,0.042906545,0.35966036,0.40603426,0.45279998,0.5146252,0.50593615,0.49663714,0.29059488,2026-09-01 10:10:00+00:00,2.950004352019362,0.1271735939825344,834.5
2.8477044,0.027882915,697.2344,0.1987146,0.29078236,0.21704985,0.043360196,0.3633398,0.41035196,0.4577704,0.51998454,0.5113494,0.5024699,0.2941992,2026-09-01 10:15:00+00:00,2.963111787131491,0.132517135649035,849.2
2.871056,0.026953317,694.1462,0.1969205,0.2901385,0.2172094,0.04350803,0.36482745,0.41138986,0.45959055,0.52089405,0.51262194,0.504335,0.29518893,2026-09-01 10:20:00+00:00,2.9183679851891893,0.1283026648587758,844.1
2.8728452,0.02600696,691.48505,0.19642377,0.2900351,0.2167382,0.04353453,0.3654514,0.4113664,0.46031764,0.5205599,0.5126703,0.5048012,0.29530066,2026-09-01 10:25:00+00:00,2.9250380066517194,0.1126383615626315,829.4
2.7730317,0.025290225,690.8723,0.1996494,0.29170048,0.2149261,0.04331532,0.36399266,0.40905568,0.4585625,0.5174017,0.50998986,0.5023644,0.29358402,2026-09-01 10:30:00+00:00,2.863340818405965,0.1052406234224827,819.5
2.7599518,0.024627712,689.3122,0.20025718,0.29190353,0.21433108,0.043247573,0.3637582,0.40838644,0.45846578,0.5164722,0.5095018,0.5018369,0.29314107,2026-09-01 10:35:00+00:00,2.862893106931034,0.0853010184539152,822.7
2.6743827,0.024246417,688.56964,0.20317504,0.29319605,0.21304035,0.04307501,0.36254847,0.4067648,0.4572374,0.5143232,0.50778216,0.4999993,0.29187164,2026-09-01 10:40:00+00:00,2.7446592960792717,0.0713570291074237,827.3
2.670491,0.023831625,687.5941,0.20357946,0.2932528,0.2127561,0.043024547,0.36229903,0.40632296,0.45721817,0.5137944,0.50761926,0.49965575,0.29155427,2026-09-01 10:45:00+00:00,2.7568748717002585,0.0751533963966551,821.3
2.6185627,0.023599459,687.153,0.20549126,0.2940445,0.2119845,0.042907804,0.36145243,0.40526065,0.4564192,0.5124235,0.5065946,0.49843788,0.29070497,2026-09-01 10:50:00+00:00,2.6528866236828392,0.0782673346352321,812.5
2.6297832,0.02332902,686.32697,0.20530246,0.29381424,0.21204035,0.042903285,0.36148974,0.40526265,0.45675647,0.5124891,0.50693303,0.49858537,0.29070807,2026-09-01 10:55:00+00:00,2.672112587983305,0.083867024084,813.6
2.5891638,0.023204042,686.0272,0.20681185,0.29443136,0.21148056,0.042817794,0.3608455,0.40449703,0.45615047,0.5115109,0.50620043,0.49767658,0.2900699,2026-09-01 11:00:00+00:00,2.5717215831693,0.08490532115675,808.8
2.6228461,0.023000415,684.9599,0.20575117,0.29375967,0.2119309,0.04287616,0.3613706,0.4051119,0.45708242,0.51235145,0.50725347,0.49854067,0.29054978,2026-09-01 11:05:00+00:00,2.5883622187177893,0.0828164334679824,780.7
2.6720033,0.022808058,683.6221,0.20409173,0.29277214,0.21263885,0.04297624,0.3622377,0.4061372,0.4584513,0.5137065,0.508809,0.49990085,0.2913567,2026-09-01 11:10:00+00:00,2.5292941366520703,0.0662970943092807,765.0
2.6692743,0.022701941,684.32135,0.20418516,0.29281905,0.21259537,0.04293069,0.36181352,0.40562844,0.45808387,0.51309484,0.5084272,0.4994521,0.2910094,2026-09-01 11:15:00+00:00,2.5429915075008966,0.0828629275514482,755.2
2.7137437,0.022557564,683.2163,0.20263696,0.29192492,0.2132587,0.043025907,0.36261627,0.4065867,0.4593272,0.5143643,0.5098347,0.5007159,0.2917574,2026-09-01 11:20:00+00:00,2.5015500062201896,0.0866489897737068,766.1
2.7020535,0.022498675,684.57385,0.2028999,0.29214117,0.21313508,0.042959247,0.36195892,0.405812,0.45862794,0.5134277,0.50907826,0.49998212,0.29121554,2026-09-01 11:25:00+00:00,2.5088099502058503,0.0855467584302166,784.7
2.7482028,0.022377666,683.5042,0.20125446,0.29121408,0.21383566,0.04306241,0.36282095,0.40684092,0.45991838,0.5147807,0.5105342,0.5013231,0.29201943,2026-09-01 11:30:00+00:00,2.4208553142369484,0.0821656387415862,813.9
2.7264867,0.022384737,682.82043,0.20214203,0.29153097,0.21354511,0.043039665,0.36270276,0.4067197,0.45979813,0.51458645,0.5103952,0.5010519,0.29186317,2026-09-01 11:35:00+00:00,2.408560412305,0.0615237610548518,831.8
2.7792354,0.022269867,681.64294,0.2002599,0.29048407,0.21433863,0.043159395,0.36370784,0.40791273,0.46124995,0.5161416,0.512034,0.50258267,0.29280162,2026-09-01 11:40:00+00:00,2.2871321514464333,0.0635214098206666,833.8
2.7221723,0.02234762,680.4384,0.20252502,0.29143772,0.21352363,0.043095853,0.36333114,0.40749174,0.4606765,0.5155357,0.5113522,0.5017456,0.29232845,2026-09-01 11:45:00+00:00,2.262678904429121,0.0631165499396724,735.9
2.7169018,0.022318019,680.6546,0.20279966,0.2916113,0.21339603,0.04307188,0.36310458,0.4072362,0.46042773,0.515274,0.51105386,0.5014636,0.29209945,2026-09-01 11:50:00+00:00,2.144293731832644,0.0534393423229661,589.5
2.684814,0.022363495,679.1945,0.2039567,0.29200196,0.21304023,0.043072402,0.36324084,0.40741032,0.46055552,0.51542723,0.51116997,0.50143546,0.2921321,2026-09-01 11:55:00+00:00,2.1140741811928643,0.0639948345853728,566.5
2.7078059,0.0223055,678.7645,0.20319562,0.29160035,0.21334685,0.04311813,0.36361474,0.40785742,0.4611034,0.516043,0.51178026,0.5020163,0.29247296,2026-09-01 12:00:00+00:00,2.07598017961725,0.05379764472305,581.0
2.6825256,0.022320013,680.4039,0.20411696,0.29219544,0.21291904,0.043015283,0.362674,0.40674844,0.4599066,0.5146572,0.51045734,0.5007784,0.29164442,2026-09-01 12:05:00+00:00,2.058684310878931,0.0235352049173448,587.2
2.714613,0.022255426,679.77386,0.20300895,0.29160485,0.21337026,0.043084472,0.3632483,0.40743,0.46071845,0.51556474,0.5113655,0.5016484,0.29217568,2026-09-01 12:10:00+00:00,2.047687823542966,0.020090196268983,549.9
2.7298129,0.02221324,682.1458,0.20218821,0.29142037,0.21361455,0.043038767,0.36266646,0.40673977,0.46010223,0.514746,0.510728,0.50116736,0.29178444,2026-09-01 12:15:00+00:00,2.0498254948030845,0.0342556302678305,519.1
2.784445,0.022120163,680.9988,0.20023164,0.29035702,0.21442351,0.04316453,0.3637256,0.40798822,0.46157232,0.5163619,0.5123802,0.50274724,0.29277354,2026-09-01 12:20:00+00:00,2.00985293328731,0.0342974075029137,534.6
2.7653494,0.022141185,682.27106,0.20074834,0.2907237,0.21419084,0.043099325,0.36310062,0.40725437,0.46079043,0.5154422,0.511518,0.5019662,0.29224306,2026-09-01 12:25:00+00:00,1.9883781691916724,0.0365646815433965,545.6
2.754523,0.02213849,682.6705,0.20121463,0.29102623,0.21397156,0.04306342,0.36277148,0.4068755,0.46036214,0.5150188,0.5110105,0.50151426,0.29191852,2026-09-01 12:30:00+00:00,1.9396588502585423,0.0455014594478644,498.6
2.64994,0.02228586,684.76715,0.20509547,0.29314578,0.21235994,0.042816315,0.36068013,0.40442663,0.45749786,0.5119161,0.5077674,0.49840933,0.28993386,2026-09-01 12:35:00+00:00,1.9036635773674653,0.033830791745,488.0
2.669831,0.022242902,684.44836,0.20442283,0.29280934,0.2126206,0.042856395,0.3610041,0.40481207,0.4579567,0.512449,0.50826824,0.4989111,0.29022738,2026-09-01 12:40:00+00:00,1.839174812459644,-0.030562936514305,494.2
2.6301594,0.022302717,684.97546,0.20590131,0.29357287,0.21202615,0.042771153,0.36030743,0.40399528,0.45699003,0.51138824,0.5071806,0.49783882,0.28955877,2026-09-01 12:45:00+00:00,1.7897339028309325,-0.0189845510239491,500.7
2.6822329,0.022217132,683.9022,0.204036,0.29256663,0.21278976,0.042890813,0.36131546,0.40518087,0.45837942,0.51292336,0.50873864,0.499339,0.29049966,2026-09-01 12:50:00+00:00,1.7244443972437833,0.0014542399232166,499.2
2.6552427,0.022262823,683.52734,0.20512116,0.2930389,0.21238355,0.04285327,0.36107603,0.40489894,0.4579982,0.5125152,0.50830746,0.4988504,0.29022935,2026-09-01 12:55:00+00:00,1.6602537239450517,0.0163490013846551,496.0
2.6916044,0.022199916,682.8272,0.20384127,0.29236323,0.21289955,0.042933967,0.36174932,0.4056927,0.45892808,0.51355964,0.5093435,0.49985904,0.2908537,2026-09-01 13:00:00+00:00,1.602568563956414,0.0239196486091034,480.0
2.6898565,0.022216124,681.24133,0.20400836,0.29225487,0.21291082,0.04298027,0.3622701,0.40630242,0.45954823,0.5142554,0.51003915,0.5004043,0.29127142,2026-09-01 13:05:00+00:00,1.5333224170710875,0.0143941023276666,489.9
