run,steps,od_mae,od_r2
mackey_glass__chem__glucose__20260901143358.csv,73,0.6302111744880676,-855.1060791015625
mackey_glass__chem__nitro__20260901224037.csv,73,1.1966381072998047,-2.4782826900482178
mackey_glass__chem__salt__20260901143936.csv,74,0.3644028604030609,-35.78017044067383
mackey_glass__chem__sulfur__20260902080307.csv,72,0.7505775094032288,-0.3751410245895386
mackey_glass__temp__temp__20260831100538.csv,273,5.6994547843933105,-654563.0625
mackey_glass__uv__uv__20260831095938.csv,98,0.9011009931564331,-1450.5062255859375
pulse__chem__control__20260705115653.csv,98,0.40366047620773315,-273.5774841308594
pulse__chem__glucose__20260709215429.csv,146,0.38053956627845764,-280.6304931640625
pulse__chem__glucose__20260902182036.csv,108,2.2867074012756348,-522.6395263671875
pulse__chem__glucose__20260903094345.csv,122,3.479717254638672,-404.7523193359375
pulse__chem__nitrogen__20260703122850.csv,141,1.092239260673523,-912.1138916015625
pulse__chem__nitrogen__20260804092944.csv,110,0.20980730652809143,-509.474609375
pulse__chem__nitrogen__20260805104326.csv,110,0.4195815622806549,-1378.332275390625
pulse__chem__nitrogen__20260805225017.csv,110,0.545750617980957,-1968.8184814453125
pulse__chem__nitrogen__20260806102506.csv,110,0.3932019770145416,-873.5360107421875
pulse__chem__salt__20260715130728.csv,135,1.583714246749878,-2269.8134765625
pulse__chem__salt__20260814171607.csv,110,0.16061581671237946,-26.105392456054688
pulse__chem__salt__20260818140329.csv,124,0.18226704001426697,-18.388551712036133
pulse__chem__salt__20260818140611.csv,123,0.3404386639595032,-775.2654418945312
pulse__chem__salt__20260818141033.csv,110,0.5228661894798279,-112.39690399169922
pulse__chem__sulfur__20260703114147.csv,124,0.8865773677825928,-356.16015625
pulse__chem__sulfur__20260812151220.csv,123,0.9265910983085632,-300.7579345703125
pulse__chem__sulfur__20260813211237.csv,111,0.34884920716285706,-91.32263946533203
pulse__chem__sulfur__20260813212104.csv,111,0.15688514709472656,-89.50979614257812
pulse__chem__sulfur__20260814100658.csv,111,0.5436440110206604,-183.7881622314453
pulse__chem__uracil__20260715124827.csv,127,1.700444221496582,-469.04571533203125
pulse__temp__temperature__20260904085950.csv,93,3.4557673931121826,-282.61761474609375
pulse__temp__temperature__20260904090547.csv,78,2.9816794395446777,-1219.3446044921875
pulse__temp__temperature__20260904091054.csv,80,0.6593433618545532,-3.26170015335083
pulse__uv__uv__20260905150354.csv,81,2.2821099758148193,-108.06660461425781
pulse__uv__uv__20260905150930.csv,74,2.000589609146118,-198.17901611328125
pulse__uv__uv__20260905151517.csv,70,1.6450167894363403,-153.63063049316406
sine__chem__glucose__20260823121413.csv,138,1.6538058519363403,-15395.421875
sine__chem__nitro__20260823121923.csv,146,1.1552451848983765,-1561.1737060546875
sine__chem__salt__20260715130728.csv,135,1.583714246749878,-2269.8134765625
sine__chem__salt__20260823123217.csv,146,0.7882287502288818,-339.92706298828125
sine__chem__sulfur__20260824230954.csv,146,0.47568538784980774,-149.52481079101562
sine__temp__temp__20260824135420.csv,132,0.41272029280662537,-42.02870559692383
sine__uv__uv__20260820135220.csv,332,16.674509048461914,-52116.7734375
