norm_od_pred,growth_rate_pred,co2_ppm_pred,od_45_pred,od_90_pred,od_135_pred,nm_415_pred,nm_445_pred,nm_480_pred,nm_515_pred,nm_555_pred,nm_590_pred,nm_630_pred,nm_680_pred,timestamp,norm_od_true,growth_rate_true,co2_ppm_true
0.37388515,0.02903811,747.78485,0.28085202,0.3347249,0.18183717,0.037816152,0.31955388,0.3565792,0.39889055,0.447527,0.4405984,0.43686187,0.25194597,2026-07-04 19:30:00+00:00,0.9585447386870178,0.0321943509670178,942.6
0.5014325,0.028888326,737.3202,0.27644205,0.3324307,0.18304923,0.038137615,0.32049283,0.3597508,0.40377212,0.4513485,0.4475378,0.4410859,0.25373688,2026-07-04 19:35:00+00:00,0.9538685535227068,0.0318379954897931,938.1
0.28128016,0.029270861,747.2137,0.28365403,0.33627883,0.18086001,0.037548658,0.31671062,0.35365695,0.3997675,0.44632387,0.44231713,0.43483436,0.2495507,2026-07-04 19:40:00+00:00,0.9558201324810344,0.0287177661947758,931.4
0.33091736,0.029455539,745.8878,0.27981487,0.333819,0.1838886,0.037981536,0.318819,0.35671997,0.40408155,0.45112905,0.44691107,0.44033283,0.2522286,2026-07-04 19:45:00+00:00,0.958770900337,0.0334779627941206,938.4
0.4631076,0.029260354,740.7791,0.2741878,0.3309791,0.18670103,0.0385446,0.32236856,0.36102694,0.4086831,0.45676237,0.4517695,0.44619492,0.2555842,2026-07-04 19:50:00+00:00,0.9631834173762068,0.0411583092556034,943.2
0.5521279,0.028737633,735.9791,0.27112457,0.329621,0.18771282,0.03885751,0.32477376,0.36341947,0.41091698,0.4596276,0.4538394,0.4488865,0.25734958,2026-07-04 19:55:00+00:00,0.968102734277648,0.047547072808037,946.8
0.5747113,0.028114617,732.8309,0.27116808,0.32976228,0.18722682,0.038894985,0.32539803,0.36361068,0.41075742,0.45963687,0.453311,0.4486022,0.25737283,2026-07-04 20:00:00+00:00,0.9727502498482036,0.0508795908552033,954.1
0.5710165,0.027537415,730.751,0.27250162,0.33042207,0.18627062,0.03880899,0.3251496,0.36289692,0.40967903,0.45853105,0.4519453,0.44719148,0.25670907,2026-07-04 20:05:00+00:00,0.9768184745923684,0.0507202034781578,949.9
0.5385881,0.027075564,729.8842,0.27494428,0.33161074,0.18498503,0.038631782,0.32409358,0.36137682,0.40780276,0.45648468,0.44981328,0.4449098,0.25542244,2026-07-04 20:10:00+00:00,0.9809389068975818,0.0508145855421999,938.6
0.51931816,0.026707966,729.1405,0.27680588,0.33245087,0.18404718,0.03848821,0.32325268,0.36023018,0.40638912,0.45494738,0.44831368,0.4431709,0.25445616,2026-07-04 20:15:00+00:00,0.9849462973916492,0.0489371156802631,934.1
0.4863212,0.026442356,729.08105,0.27902186,0.33350548,0.1830448,0.03832039,0.32210574,0.3588016,0.40470183,0.45310786,0.44653782,0.44118217,0.25326365,2026-07-04 20:20:00+00:00,0.9886456570973148,0.0471236853827777,928.2
0.49453348,0.026209416,728.2541,0.279548,0.33363637,0.18277644,0.03826756,0.32188672,0.3585141,0.40430918,0.45270228,0.4462728,0.44063905,0.25300688,2026-07-04 20:25:00+00:00,0.9921344150894446,0.0446027992844074,919.5
