norm_od_pred,growth_rate_pred,co2_ppm_pred,od_45_pred,od_90_pred,od_135_pred,nm_415_pred,nm_445_pred,nm_480_pred,nm_515_pred,nm_555_pred,nm_590_pred,nm_630_pred,nm_680_pred,timestamp,norm_od_true,growth_rate_true,co2_ppm_true
-0.009935379,0.028980378,756.43164,0.29539934,0.3419487,0.17614102,0.03683344,0.31228307,0.34723777,0.38911614,0.4357206,0.42917186,0.42548728,0.24487332,2026-07-08 13:05:00+00:00,0.6021103814385933,0.1146861987767627,635.3
0.26212406,0.028937554,742.1047,0.2846369,0.33675173,0.17971356,0.037563536,0.31624728,0.3544873,0.39838502,0.4444669,0.44112536,0.43449342,0.24969709,2026-07-08 13:10:00+00:00,0.6057684854465357,0.1052808562305178,678.8
0.022933125,0.029335637,752.46185,0.29233676,0.3408937,0.17739329,0.03695489,0.31203666,0.34791777,0.39403823,0.43896285,0.43552646,0.42803788,0.24516843,2026-07-08 13:15:00+00:00,0.6083956196562808,0.093315920997421,741.8
0.04813075,0.029549621,751.68756,0.28929687,0.33889234,0.18011965,0.037345182,0.31358355,0.3502962,0.39771235,0.4429449,0.43932122,0.43293607,0.24727513,2026-07-08 13:20:00+00:00,0.6106677950620176,0.0848175371499649,635.4
0.113735676,0.029413097,748.182,0.28612405,0.33744675,0.18193097,0.037748896,0.31562635,0.35278353,0.40039578,0.4463519,0.44190264,0.43676677,0.24914598,2026-07-08 13:25:00+00:00,0.6134141299732633,0.0750263976757543,519.7
0.12545228,0.02897712,745.26843,0.2859674,0.33772784,0.18177925,0.037871804,0.316298,0.3531227,0.4003447,0.44671747,0.44131315,0.43700734,0.24921441,2026-07-08 13:30:00+00:00,0.6161470153001228,0.0659511531097368,477.0
0.11016619,0.028437827,743.07214,0.2875148,0.33870056,0.18073416,0.03781485,0.3160652,0.3523495,0.39895558,0.44555598,0.43941444,0.43541065,0.2484,2026-07-08 13:35:00+00:00,0.6196732875033149,0.0674376247462592,483.4
0.14031255,0.027897727,740.1987,0.28771037,0.33869648,0.18029654,0.037811562,0.31654647,0.35256875,0.3986738,0.44558102,0.4390598,0.43488875,0.24844693,2026-07-08 13:40:00+00:00,0.6231899398606725,0.0682525009127758,507.2
0.14524758,0.027453564,738.46497,0.288868,0.3391488,0.17957342,0.037724473,0.3162907,0.35204494,0.39772525,0.44474065,0.4380769,0.43364224,0.24794307,2026-07-08 13:45:00+00:00,0.627020561349283,0.0698775267081698,552.1
0.13225186,0.027115777,737.6178,0.29057297,0.3398949,0.17872725,0.037593633,0.31556952,0.35107285,0.3963876,0.44340456,0.43671897,0.43201268,0.24710087,2026-07-08 13:50:00+00:00,0.630883165892,0.0718088882767719,576.1
0.15537798,0.026827076,736.2028,0.29076126,0.33980352,0.17856057,0.037563402,0.3156415,0.35110283,0.39622778,0.44333768,0.43675593,0.43170625,0.24709359,2026-07-08 13:55:00+00:00,0.6349086993700893,0.0751920459205714,605.3
0.21457648,0.026564648,734.123,0.28942582,0.33888224,0.17904778,0.0376364,0.31653598,0.35213742,0.39724892,0.44453865,0.4381572,0.43271804,0.24791788,2026-07-08 14:00:00+00:00,0.6386078657268276,0.0710683549457413,613.9
0.18501246,0.026437039,734.43994,0.29124516,0.33976942,0.17830162,0.037499845,0.31552398,0.35095656,0.395829,0.44305256,0.4367239,0.43111068,0.24692151,2026-07-08 14:05:00+00:00,0.637143645072862,0.0634706917908965,612.9
0.1338569,0.026644466,744.4226,0.2954045,0.34290093,0.17654318,0.03693507,0.3103539,0.3449551,0.3884294,0.43608376,0.4290457,0.4232692,0.2427849,2026-07-08 14:10:00+00:00,0.6213442244658276,0.0597502520015862,619.7
0.13616109,0.026592452,744.13354,0.2954979,0.34289664,0.17654517,0.036920328,0.31026894,0.3449209,0.38835385,0.43604052,0.4291035,0.4231817,0.242729,2026-07-08 14:15:00+00:00,0.6235273247864912,0.0529634431732807,632.9
0.027743459,0.026697489,746.68866,0.2997674,0.34526375,0.17491229,0.036630403,0.30776432,0.34206647,0.38505107,0.43256283,0.42543283,0.4195705,0.2403553,2026-07-08 14:20:00+00:00,0.6258204415482631,0.0485467793728421,642.2
0.08499336,0.026598305,745.12354,0.2977155,0.34407035,0.17574722,0.03676034,0.3089213,0.343465,0.38662642,0.43427694,0.42735657,0.4212967,0.24147636,2026-07-08 14:25:00+00:00,0.6280707025521404,0.0462257428331579,653.5
0.07689607,0.026590569,745.2358,0.2981281,0.3442771,0.175615,0.03672799,0.30865282,0.34319946,0.38629705,0.43396348,0.42707488,0.42094222,0.24123147,2026-07-08 14:30:00+00:00,0.6308672932763393,0.0493098422568392,647.2
0.02670288,0.026644314,746.4346,0.30012912,0.34538847,0.17485812,0.0365911,0.3074685,0.3418641,0.3847366,0.43234432,0.4253664,0.41924432,0.24010941,2026-07-08 14:35:00+00:00,0.6342412085681551,0.0565174943121034,702.8
0.03164184,0.026627263,746.2634,0.30001667,0.3453103,0.17492266,0.03659491,0.30750778,0.34194523,0.38481098,0.4324559,0.42552248,0.4193328,0.24015327,2026-07-08 14:40:00+00:00,0.6381648673550742,0.0642484939426666,761.6
0.078751445,0.02655431,745.0437,0.29828468,0.3443202,0.17561628,0.036706626,0.3084835,0.3431092,0.38614053,0.43389216,0.4271066,0.4207912,0.24108884,2026-07-08 14:45:00+00:00,0.6420290408101961,0.0683667816097843,772.6
0.16858304,0.026423061,742.76074,0.29491422,0.34240648,0.17694946,0.036927465,0.31040484,0.34536734,0.38874248,0.4366701,0.43013853,0.42363632,0.24292463,2026-07-08 14:50:00+00:00,0.6461246356730357,0.0717142319115893,754.2
0.1802429,0.026400002,742.4564,0.294517,0.3421773,0.17711577,0.036951438,0.31061167,0.34563032,0.38903847,0.4370065,0.43051776,0.4239652,0.24312355,2026-07-08 14:55:00+00:00,0.6499832237689623,0.0715546669212075,694.0
0.09665656,0.02651023,744.55896,0.29774803,0.34400323,0.17585786,0.036734965,0.30872816,0.34346253,0.3865172,0.4343651,0.42766216,0.42122236,0.241328,2026-07-08 15:00:00+00:00,0.6539429708761111,0.0719742618668888,537.0
0.04807186,0.026572969,745.78815,0.29964095,0.34507447,0.17512311,0.036607437,0.30761725,0.34219006,0.38503364,0.4328207,0.4259904,0.41961113,0.24026892,2026-07-08 15:05:00+00:00,0.6536401882154655,0.0725382700283793,469.3
0.058062077,0.027139269,753.95575,0.29662794,0.34473407,0.17662567,0.03656293,0.30639586,0.34097934,0.38348886,0.43200755,0.42453444,0.41843432,0.24006508,2026-07-08 15:10:00+00:00,0.6405334132779138,0.0708495726658793,521.8
0.1866517,0.026938342,750.7465,0.2916578,0.3419223,0.17856622,0.03688956,0.30921513,0.34425965,0.38731864,0.43601537,0.4289437,0.4226562,0.24273567,2026-07-08 15:15:00+00:00,0.64373657853015,0.0661639511457833,585.9
0.23060727,0.026868913,749.65857,0.28996962,0.34097093,0.1792278,0.036999635,0.3101617,0.34536946,0.38861424,0.43738052,0.43044132,0.42408568,0.24363081,2026-07-08 15:20:00+00:00,0.6470083370146167,0.06353124022565,595.6
0.17224991,0.026959859,751.1273,0.292247,0.3422676,0.17833826,0.036847994,0.30884755,0.34385905,0.38684344,0.4355492,0.4284197,0.42214113,0.2423836,2026-07-08 15:25:00+00:00,0.6508436082168793,0.0670266949688793,612.4
0.21669924,0.026888615,750.0342,0.29053873,0.34130645,0.17900468,0.036959518,0.30980602,0.34497964,0.38815263,0.4369272,0.42992753,0.4235857,0.24328998,2026-07-08 15:30:00+00:00,0.6549184470711635,0.0718046683056181,653.7
0.2539593,0.026828159,749.1242,0.28910926,0.3405039,0.17956184,0.03705267,0.3106054,0.34591493,0.38924593,0.43807983,0.43118548,0.4247923,0.24404545,2026-07-08 15:35:00+00:00,0.6595713066079434,0.0769380989293962,691.9
0.22434068,0.026872948,749.8842,0.29027188,0.34117103,0.17910394,0.03697472,0.3099274,0.345138,0.3883337,0.43714255,0.4301427,0.4237933,0.24340121,2026-07-08 15:40:00+00:00,0.664232794618228,0.0802206321805263,720.1
0.019892097,0.027193261,755.0161,0.29821792,0.3456829,0.17600144,0.036448803,0.30538073,0.33988136,0.38217884,0.43074572,0.4230875,0.41702366,0.23909105,2026-07-08 15:45:00+00:00,0.6688618346047759,0.0812091979967586,737.7
0.12626398,0.027023237,752.38165,0.29410428,0.34336105,0.17759857,0.036719307,0.30771184,0.34258717,0.38534233,0.4340528,0.42671543,0.42051134,0.24129839,2026-07-08 15:50:00+00:00,0.6730990942988103,0.078654439528862,762.6
0.26992857,0.026793493,748.8255,0.28854814,0.34022197,0.179765,0.037084997,0.31086332,0.3462433,0.3896239,0.43852517,0.43162233,0.4252251,0.24428229,2026-07-08 15:55:00+00:00,0.6769140922614,0.0732018006944,790.6
0.28827024,0.026761595,748.398,0.28785175,0.33983752,0.18003212,0.0371298,0.31124434,0.34669077,0.39014715,0.43908295,0.4322202,0.42580476,0.24464138,2026-07-08 16:00:00+00:00,0.6803564722758334,0.0676365521187333,810.7
0.30237913,0.02673623,748.07764,0.28731948,0.3395465,0.18023455,0.03716376,0.3115317,0.34702933,0.3905429,0.43950787,0.43267113,0.42624435,0.24491166,2026-07-08 16:05:00+00:00,0.6795395328026035,0.0642660904626551,837.5
0.30596983,0.027416246,755.8682,0.28264204,0.33841377,0.18258354,0.037240848,0.31140545,0.34704238,0.39059633,0.44022483,0.4328636,0.42684546,0.24557772,2026-07-08 16:10:00+00:00,0.6621660780530878,0.0612474038539122,855.1
0.28425407,0.027451433,756.433,0.2835097,0.33891714,0.1822364,0.037182536,0.3109009,0.34646428,0.38991275,0.439531,0.43207425,0.42609054,0.2451,2026-07-08 16:15:00+00:00,0.6642330579536666,0.0547478375391052,879.5
0.31875062,0.027388733,755.61194,0.2821653,0.33816445,0.18275772,0.037270084,0.3116459,0.34733063,0.390935,0.4405958,0.43324307,0.42722726,0.2458006,2026-07-08 16:20:00+00:00,0.6658310237528393,0.045945961726,899.8
0.33902764,0.027350545,755.1431,0.28138065,0.33773002,0.18305911,0.037320696,0.31207427,0.34783077,0.39152503,0.44121516,0.43391508,0.42788458,0.24620265,2026-07-08 16:25:00+00:00,0.6680743286249828,0.0443901433492241,921.6
0.34842777,0.027331106,754.94366,0.28102416,0.33753905,0.18319201,0.03734307,0.31226057,0.34805083,0.3917843,0.44149363,0.43420702,0.4281754,0.24637643,2026-07-08 16:30:00+00:00,0.671307851224375,0.0489711722774999,932.4
