norm_od_pred,growth_rate_pred,co2_ppm_pred,od_45_pred,od_90_pred,od_135_pred,nm_415_pred,nm_445_pred,nm_480_pred,nm_515_pred,nm_555_pred,nm_590_pred,nm_630_pred,nm_680_pred,timestamp,norm_od_true,growth_rate_true,co2_ppm_true
0.15262854,0.029234346,750.62476,0.2875011,0.33765063,0.17954837,0.037411626,0.31689033,0.352791,0.3952949,0.44292575,0.43628705,0.43207192,0.24919839,2026-08-03 16:10:00+00:00,0.4811406077132586,0.0064417915567241,771.0
0.3346902,0.029013162,739.384,0.28108892,0.33460695,0.1814063,0.037841067,0.318549,0.35721272,0.4013962,0.44780117,0.4444812,0.43759128,0.25186667,2026-08-03 16:15:00+00:00,0.4730232270453091,0.0079720687817636,792.5555555555555
0.2406925,0.029396312,746.164,0.28349537,0.3357089,0.18131396,0.037605062,0.31752154,0.35449445,0.4008805,0.44693914,0.4433002,0.4353391,0.25032827,2026-08-03 16:20:00+00:00,0.4743527291395926,0.0239344335295,779.2
0.33110166,0.029563507,744.01654,0.2783946,0.3325282,0.18485935,0.03812572,0.32036886,0.35847577,0.4060498,0.4528392,0.44898623,0.44184598,0.25374392,2026-08-03 16:25:00+00:00,0.4768471313195345,0.0401606591235172,780.4
0.39443743,0.029377343,740.7154,0.27547452,0.3312396,0.18651444,0.03849957,0.32227936,0.36080548,0.40861398,0.4560234,0.45153064,0.44552875,0.2555559,2026-08-03 16:30:00+00:00,0.4816472876286491,0.048715614548,788.5
0.38477755,0.028904036,738.38434,0.27614358,0.3320095,0.18596685,0.03855743,0.3224288,0.36048067,0.4080113,0.45555454,0.45031002,0.4451737,0.25515917,2026-08-03 16:35:00+00:00,0.4852032137133104,0.0544245762691206,794.2
0.4584447,0.028279636,734.0153,0.27442554,0.3311537,0.18622299,0.038717102,0.32411656,0.36196372,0.4091485,0.45713452,0.45136163,0.44633994,0.25622302,2026-08-03 16:40:00+00:00,0.4886322643202241,0.0644956334003103,792.6
0.35191727,0.02778723,734.50903,0.27963543,0.3340052,0.18368654,0.038369644,0.32155573,0.35849985,0.4050817,0.45267347,0.44654167,0.44171593,0.2533279,2026-08-03 16:45:00+00:00,0.4922218189526666,0.0747925648086491,815.3
0.36846673,0.027312966,732.4792,0.2803557,0.33421987,0.1831176,0.038310092,0.32153305,0.35822278,0.4044876,0.4521438,0.44595426,0.440865,0.25304863,2026-08-03 16:50:00+00:00,0.4953532954281379,0.0751847223169482,816.4
0.29444826,0.027008679,733.1339,0.28431368,0.33624032,0.18134248,0.038026392,0.31945786,0.35562626,0.40143418,0.44883326,0.4425857,0.43737563,0.2508921,2026-08-03 16:55:00+00:00,0.4980755736889999,0.0703850593051356,814.1
0.24751973,0.0267738,733.4608,0.28710732,0.33761868,0.18012051,0.037820715,0.31797957,0.3538173,0.3992744,0.44652584,0.4402978,0.43490186,0.24938259,2026-08-03 17:00:00+00:00,0.5003617463896949,0.0617859803270847,807.7
0.21385789,0.026597552,733.70544,0.2892385,0.3386512,0.17921732,0.037661124,0.3168272,0.3524414,0.3976195,0.44477937,0.4386038,0.43301415,0.24822792,2026-08-03 17:05:00+00:00,0.5023310048126897,0.0546929862070517,832.2
0.24815762,0.02640515,732.4177,0.2886773,0.3381946,0.17942192,0.03768429,0.31721404,0.35289976,0.3980433,0.44530487,0.4393019,0.43341026,0.24858078,2026-08-03 17:10:00+00:00,0.5021691269530862,0.0529134934908965,855.1
0.136873,0.026672995,743.96,0.29512128,0.34262332,0.17673832,0.036965065,0.31068495,0.34530255,0.3888463,0.4363883,0.42955974,0.4236455,0.2431249,2026-08-03 17:15:00+00:00,0.4761306899751786,0.0530108206617857,881.4
0.0994519,0.026671844,744.6675,0.29672503,0.34347022,0.1761499,0.03685044,0.30972564,0.34424943,0.38760623,0.43510273,0.42827916,0.4222859,0.24223228,2026-08-03 17:20:00+00:00,0.4781956734306667,0.0495799139280701,910.6
0.08589327,0.026655365,744.8367,0.29739198,0.34380087,0.17592677,0.03679929,0.30930895,0.3438232,0.3870851,0.43458676,0.42781052,0.42171812,0.24185365,2026-08-03 17:25:00+00:00,0.4794894991963859,0.041547788225614,935.7
0.08425641,0.026633082,744.75006,0.29757982,0.34387076,0.1758877,0.036781058,0.3091705,0.34371445,0.38693234,0.43446192,0.42774904,0.4215559,0.24173649,2026-08-03 17:30:00+00:00,0.4815781136851379,0.0471351899045172,962.7
0.10998869,0.026580758,744.0063,0.29670435,0.34334743,0.17626046,0.03683429,0.30964836,0.34431604,0.38760167,0.43520713,0.4286162,0.4222933,0.24220419,2026-08-03 17:35:00+00:00,0.4844559658005789,0.0582037920158771,974.7
0.15500021,0.026506148,742.80133,0.29507664,0.3424048,0.17692396,0.036938217,0.31056193,0.345418,0.38885447,0.43656665,0.430138,0.42366785,0.24308461,2026-08-03 17:40:00+00:00,0.4878410883987719,0.0689487695502631,993.6
