norm_od_pred,growth_rate_pred,co2_ppm_pred,od_45_pred,od_90_pred,od_135_pred,nm_415_pred,nm_445_pred,nm_480_pred,nm_515_pred,nm_555_pred,nm_590_pred,nm_630_pred,nm_680_pred,timestamp,norm_od_true,growth_rate_true,co2_ppm_true
0.26581585,0.02934572,747.1713,0.2824825,0.33499855,0.18165295,0.03776996,0.3196755,0.35621336,0.3990402,0.44733772,0.44062,0.4361785,0.25184762,2026-08-13 18:35:00+00:00,0.4740173281521552,0.0984399998748793,1073.7
0.4543525,0.029055823,736.0257,0.27618405,0.33181465,0.18359447,0.03820695,0.3214379,0.36070004,0.40513572,0.45218965,0.44876042,0.44172612,0.2546051,2026-08-13 18:40:00+00:00,0.4730208464480363,0.0964592861652363,1058.9
0.2289331,0.029396977,746.4406,0.2839208,0.33594444,0.18113597,0.037575033,0.31727833,0.35419875,0.40057975,0.4465689,0.4429501,0.43499815,0.25009954,2026-08-13 18:45:00+00:00,0.4758336519401929,0.087223131868421,1054.7
0.2622788,0.029569186,745.725,0.2809235,0.3339638,0.18378785,0.037948117,0.31885254,0.35663748,0.40419126,0.45058042,0.44681227,0.43980718,0.25229996,2026-08-13 18:50:00+00:00,0.4769938379315084,0.0645685284091864,1058.7
0.33752155,0.02939192,742.1001,0.2775407,0.33240956,0.18564881,0.038356926,0.32103825,0.35930032,0.40708324,0.45417666,0.44972458,0.44385388,0.25436318,2026-08-13 18:55:00+00:00,0.4761007951121273,0.0343301361942727,1058.0
0.41796994,0.028892528,737.5416,0.27491304,0.33130357,0.1864854,0.038642474,0.32318163,0.3613872,0.40895256,0.4566534,0.4514185,0.4461894,0.25588807,2026-08-13 19:00:00+00:00,0.4739383678551072,0.0077794945370892,1052.1
0.43918538,0.02829151,734.46387,0.27511668,0.33153826,0.18594256,0.03867072,0.32371205,0.3614769,0.4086365,0.4565335,0.45075879,0.445775,0.25583252,2026-08-13 19:05:00+00:00,0.4728267335386909,-0.0022416796698727,1025.1
0.41735947,0.02774552,732.8711,0.27721083,0.33262876,0.18468344,0.038534366,0.32301196,0.36023396,0.40694553,0.4547813,0.4487226,0.44373685,0.2547405,2026-08-13 19:10:00+00:00,0.472987138007125,-0.0015396721761785,1001.6
0.3714763,0.027312266,732.381,0.2802315,0.33414325,0.18317308,0.038319107,0.32161647,0.3583199,0.4045952,0.45225522,0.4460798,0.44097543,0.25313094,2026-08-13 19:15:00+00:00,0.4741463198596491,0.004661674057807,988.7
0.3359723,0.026975032,732.07764,0.2827606,0.33535814,0.18197441,0.0381315,0.32038635,0.35672128,0.40264115,0.4501648,0.44398865,0.43868136,0.2517921,2026-08-13 19:20:00+00:00,0.4759020487222222,0.0128612825997777,978.0
0.28002572,0.026745573,732.62537,0.28588572,0.33692342,0.18061616,0.037903395,0.3187099,0.3546755,0.4002289,0.447569,0.4414046,0.43593267,0.25009012,2026-08-13 19:25:00+00:00,0.4782301013419474,0.0225262236475438,974.8
0.27006269,0.026544338,732.27313,0.28713068,0.33745614,0.18006618,0.037803188,0.3180775,0.35390857,0.39926144,0.4465701,0.44050345,0.4347906,0.249437,2026-08-13 19:30:00+00:00,0.4807157220278214,0.03137714029425,974.1
