norm_od_pred,growth_rate_pred,co2_ppm_pred,od_45_pred,od_90_pred,od_135_pred,nm_415_pred,nm_445_pred,nm_480_pred,nm_515_pred,nm_555_pred,nm_590_pred,nm_630_pred,nm_680_pred,timestamp,norm_od_true,growth_rate_true,co2_ppm_true
-0.034012675,0.029007966,756.6901,0.29608005,0.34223568,0.1759191,0.03679348,0.31203255,0.3468625,0.38877642,0.43527526,0.42876256,0.42500964,0.2446072,2026-08-13 06:55:00+00:00,0.5427704715038103,0.0342717534052413,554.5555555555555
0.29212928,0.028975515,740.8891,0.28309402,0.335805,0.18046194,0.037685648,0.31727204,0.3556951,0.39972842,0.4459347,0.44261387,0.43585232,0.25066152,2026-08-13 07:00:00+00:00,0.5373444215726724,0.0314916293299827,551.7
0.14721787,0.029369293,748.8862,0.28730392,0.33794436,0.17962007,0.037324496,0.31515488,0.3516568,0.3979254,0.44349986,0.4399438,0.4321892,0.24809942,2026-08-13 07:05:00+00:00,0.5393175960236,0.032464177407709,538.0
0.17677867,0.029558657,748.152,0.28429908,0.33596054,0.182299,0.037703913,0.31671336,0.354065,0.4015585,0.44749278,0.44377175,0.4370272,0.25025755,2026-08-13 07:10:00+00:00,0.5406391253750893,0.0299006798023571,537.2
0.26599622,0.02939377,744.12756,0.28033984,0.33407292,0.18441842,0.03815652,0.31924248,0.3571425,0.4048621,0.4516064,0.4471316,0.44152397,0.25262868,2026-08-13 07:15:00+00:00,0.5416727238223272,0.0266205119402909,539.2
0.3230015,0.028915262,740.1258,0.2785467,0.33343464,0.18491977,0.038387027,0.3208896,0.35863918,0.40608487,0.45337006,0.44805267,0.44315112,0.25366196,2026-08-13 07:20:00+00:00,0.5424162544199828,0.022962170721862,534.3
0.31290913,0.028344622,737.8099,0.27989572,0.3343102,0.18392096,0.038339388,0.32074752,0.35793954,0.40488207,0.45229107,0.44635594,0.44176543,0.25294814,2026-08-13 07:25:00+00:00,0.5421917583407273,0.0150555732030727,527.7
0.27935374,0.027821733,736.50934,0.28243086,0.3356424,0.18250069,0.038175028,0.3198021,0.356426,0.4028378,0.4502073,0.44392043,0.43933773,0.25161612,2026-08-13 07:30:00+00:00,0.54099513756445,0.0047793209380166,506.5
0.25896478,0.027382903,735.39734,0.2845195,0.3366261,0.18138495,0.038023915,0.318976,0.3552068,0.40118814,0.44852418,0.44210857,0.4373348,0.250559,2026-08-13 07:35:00+00:00,0.5403266918849333,-0.00019849273395,501.4
0.279678,0.027007097,733.70337,0.28496784,0.33666584,0.1810354,0.037976902,0.3189877,0.35508737,0.4008258,0.4482358,0.44187525,0.43676817,0.25042382,2026-08-13 07:40:00+00:00,0.5401250957924211,-0.0017477570426666,511.0
0.2564777,0.026751142,733.4369,0.28687507,0.33754456,0.18017067,0.037830796,0.31803402,0.35389835,0.3993498,0.44668552,0.44037893,0.43503436,0.24942188,2026-08-13 07:45:00+00:00,0.5398640814401017,-0.0031172892745593,519.1
0.21784186,0.026578976,733.8041,0.28918746,0.3386796,0.1791946,0.037658997,0.31677476,0.35239717,0.39755607,0.44478524,0.43852213,0.43299356,0.24816415,2026-08-13 07:50:00+00:00,0.5399198274151579,-0.0025517430377192,506.4
0.23304176,0.026405664,732.9962,0.28933707,0.33862448,0.17911503,0.037634425,0.3167438,0.3523657,0.39742962,0.44470966,0.43858317,0.43279073,0.24811393,2026-08-13 07:55:00+00:00,0.5402485922147193,-0.0007093182692456,515.0
0.23589313,0.026281849,732.6198,0.28981534,0.33878088,0.17892143,0.03758999,0.3164895,0.35208568,0.39704573,0.44434723,0.43832812,0.43232924,0.24785902,2026-08-13 08:00:00+00:00,0.528499180473,0.0003580453569999,537.0
