norm_od_pred,growth_rate_pred,co2_ppm_pred,od_45_pred,od_90_pred,od_135_pred,nm_415_pred,nm_445_pred,nm_480_pred,nm_515_pred,nm_555_pred,nm_590_pred,nm_630_pred,nm_680_pred,timestamp,norm_od_true,growth_rate_true,co2_ppm_true
0.9161645,0.029384136,733.354,0.25859192,0.3230992,0.19105877,0.039361764,0.3314415,0.37110108,0.41489154,0.46652925,0.45930895,0.45467287,0.26332036,2026-08-20 08:15:00+00:00,1.076324424912491,0.0097996122329272,611.2
1.1211734,0.028978432,723.0532,0.2540384,0.31980085,0.19284178,0.039735354,0.3329332,0.37461433,0.41978812,0.47057614,0.4660445,0.45914564,0.26545554,2026-08-20 08:20:00+00:00,1.077185837934862,0.0110904305398448,624.5
0.9688676,0.029242426,732.1063,0.26002797,0.3229566,0.19093859,0.039187353,0.33009407,0.36973044,0.41622475,0.4665911,0.46148485,0.45323384,0.2620929,2026-08-20 08:25:00+00:00,1.0792183662099477,0.015991713516421,634.8
1.0762589,0.029309945,729.9435,0.25480804,0.31980938,0.19436102,0.039674647,0.33318776,0.37404633,0.42137086,0.47277766,0.46741864,0.45955652,0.26583466,2026-08-20 08:30:00+00:00,1.08179392451415,0.0209952386148666,635.7
1.2124968,0.028973198,725.0184,0.24920815,0.31706533,0.19699404,0.040199995,0.33677155,0.37836275,0.426023,0.47831175,0.47251672,0.4653768,0.26931563,2026-08-20 08:35:00+00:00,1.0837219212791092,0.0211359844723636,629.0
1.2459549,0.0283431,721.6636,0.24802823,0.3168201,0.19708365,0.04035867,0.3379886,0.37924555,0.42698562,0.47924775,0.4730812,0.46662402,0.2700001,2026-08-20 08:40:00+00:00,1.084148701564644,0.0164167669459152,615.1
1.2634498,0.027625626,718.65356,0.24800324,0.31696078,0.1965395,0.040385123,0.33855054,0.37928414,0.42700353,0.4790405,0.47268113,0.4665077,0.27001122,2026-08-20 08:45:00+00:00,1.0842890704182666,0.0122561275661666,640.8
1.296489,0.026949363,715.66266,0.24770783,0.31673777,0.19620192,0.040399566,0.3391578,0.37952492,0.4272725,0.47911364,0.47279587,0.46655124,0.2702088,2026-08-20 08:50:00+00:00,1.0846843856790518,0.0099291072117068,661.1
1.1932094,0.02648467,716.433,0.25244042,0.3192345,0.19392715,0.040062767,0.33665967,0.3762367,0.42375797,0.47492328,0.46863583,0.46245694,0.26755583,2026-08-20 08:55:00+00:00,1.083875621612448,0.0084670491900862,650.4
1.1395642,0.026101086,716.8831,0.25551522,0.32079342,0.19244099,0.03981944,0.3349143,0.37396654,0.42128977,0.47203308,0.4658636,0.4595506,0.2657536,2026-08-20 09:00:00+00:00,1.0826716757736208,0.0094703723532413,678.8
1.1112632,0.02580579,716.6482,0.25730506,0.321622,0.19160265,0.039679267,0.33395484,0.37274203,0.41999996,0.4704769,0.4644752,0.4579763,0.26475915,2026-08-20 09:05:00+00:00,1.0841918866376663,0.0125934180648833,712.0
1.1136461,0.025557322,715.9243,0.25783882,0.3217688,0.19133118,0.03962554,0.33367556,0.37237328,0.41965806,0.47000527,0.4642068,0.4574734,0.26445365,2026-08-20 09:10:00+00:00,1.085044246469644,0.0111347533105254,737.6
1.1148926,0.025366755,715.4143,0.2583007,0.32190117,0.1911211,0.039579246,0.3334035,0.37204438,0.4193556,0.46960372,0.46398443,0.45704457,0.26417306,2026-08-20 09:15:00+00:00,1.0857607705078811,0.009948217065644,762.8
1.1309952,0.02520271,714.67554,0.25811613,0.32169446,0.19119267,0.039578617,0.33348712,0.37215105,0.41953823,0.46975368,0.4643144,0.45716625,0.26424313,2026-08-20 09:20:00+00:00,1.0860983453179331,0.0080264971703,760.2
1.1640439,0.025050715,713.6185,0.25722337,0.32111022,0.19156222,0.03962742,0.33397013,0.3727352,0.42025852,0.4705035,0.46525103,0.45788804,0.26470035,2026-08-20 09:25:00+00:00,1.0863557190238644,0.0065144286377457,729.8
1.1820668,0.024938703,713.0013,0.25682607,0.3208221,0.19173458,0.039644837,0.3341588,0.37297827,0.42058578,0.4708363,0.46572024,0.45819715,0.26487684,2026-08-20 09:30:00+00:00,1.0869033523091898,0.0062215508021034,674.9
1.211235,0.02483126,712.16345,0.2559645,0.3202871,0.19209735,0.039694697,0.33461407,0.37353492,0.42126617,0.4715607,0.46658167,0.45889837,0.26530924,2026-08-20 09:35:00+00:00,1.0842001110859645,0.0056556103036071,666.5
