norm_od_pred,growth_rate_pred,co2_ppm_pred,od_45_pred,od_90_pred,od_135_pred,nm_415_pred,nm_445_pred,nm_480_pred,nm_515_pred,nm_555_pred,nm_590_pred,nm_630_pred,nm_680_pred,timestamp,norm_od_true,growth_rate_true,co2_ppm_true
0.9502988,0.029856674,727.9631,0.25359863,0.31980047,0.19374199,0.039799154,0.33533373,0.37532148,0.4201706,0.4723184,0.46523598,0.4595565,0.26683572,2026-08-21 18:30:00+00:00,0.5486721401216071,0.1439700185388928,864.8
1.1050485,0.029185612,720.29443,0.2520375,0.31810024,0.19426148,0.03994693,0.33503994,0.37696308,0.42273793,0.47310746,0.46898988,0.4613726,0.26746175,2026-08-21 18:35:00+00:00,0.5526165248974285,0.1443837161257678,833.3
0.9664726,0.029396478,729.54895,0.2580471,0.3212578,0.19225985,0.03938676,0.3321164,0.37204242,0.41891018,0.46892366,0.46419805,0.4553304,0.2640562,2026-08-21 18:40:00+00:00,0.5569646330241207,0.1434250713040172,828.4
0.99240124,0.029445559,729.739,0.25620124,0.32002616,0.19418491,0.03963163,0.33316803,0.37391403,0.4214558,0.4720526,0.4672324,0.45890364,0.26589236,2026-08-21 18:45:00+00:00,0.5621903097539491,0.1417545750811186,825.2
1.1042931,0.02912274,725.50397,0.2516802,0.31790388,0.19634901,0.04008406,0.33609638,0.37744424,0.42525643,0.4765889,0.47141993,0.46386376,0.26876235,2026-08-21 18:50:00+00:00,0.5671869974568983,0.1381674717644915,820.5
1.1676946,0.028497567,721.4813,0.2495762,0.31714812,0.19682883,0.040307634,0.3378635,0.37899575,0.4268698,0.4783274,0.47283494,0.46588317,0.26999354,2026-08-21 18:55:00+00:00,0.5707241495704655,0.1299525163642931,818.8
1.1549449,0.02781082,719.24554,0.25076872,0.31798205,0.19577517,0.040251818,0.3376947,0.3781562,0.4259417,0.47704092,0.47137627,0.46478343,0.26931286,2026-08-21 19:00:00+00:00,0.5740025804520517,0.1214993737759138,819.5
1.1526904,0.027175277,717.14215,0.25185806,0.31854022,0.19486466,0.040173408,0.33748028,0.3774191,0.42512935,0.4759164,0.47027138,0.46369436,0.2687268,2026-08-21 19:05:00+00:00,0.5781272307691034,0.1159075468701379,816.7
1.1343068,0.026660796,715.9103,0.25357583,0.31934598,0.19383958,0.04004003,0.33675772,0.37624428,0.4238788,0.47432494,0.46881044,0.46211687,0.26779193,2026-08-21 19:10:00+00:00,0.5767258400808,0.1120736221037666,800.4
1.1165752,0.026252925,715.53723,0.25540316,0.32020935,0.19285974,0.039880022,0.33573303,0.37482277,0.42233664,0.47249126,0.46714896,0.46026206,0.26668346,2026-08-21 19:15:00+00:00,0.5780691476512833,0.1117093078811166,791.2
