norm_od_pred,growth_rate_pred,co2_ppm_pred,od_45_pred,od_90_pred,od_135_pred,nm_415_pred,nm_445_pred,nm_480_pred,nm_515_pred,nm_555_pred,nm_590_pred,nm_630_pred,nm_680_pred,timestamp,norm_od_true,growth_rate_true,co2_ppm_true
0.60121226,0.02956937,738.1802,0.26872933,0.3277657,0.18735798,0.038721703,0.3270284,0.3651413,0.40894574,0.45909542,0.4522134,0.44715193,0.2588883,2026-08-21 02:00:00+00:00,0.5106532155967627,0.0454578985412372,737.5
0.80245847,0.029100854,728.4926,0.26419842,0.3249514,0.1888288,0.039044175,0.32798964,0.3684419,0.4135927,0.46229804,0.45844412,0.4511401,0.26073936,2026-08-21 02:05:00+00:00,0.5106011451888793,0.0437878708485344,752.6
0.58862776,0.029367916,739.2101,0.27228725,0.32928872,0.18609938,0.038363542,0.32372576,0.36188963,0.40847695,0.45635596,0.45211795,0.44376734,0.25612235,2026-08-21 02:10:00+00:00,0.5117091971116786,0.0396561392973571,752.9
0.61783254,0.029481618,738.9304,0.26981834,0.3277017,0.18839379,0.03867761,0.32505867,0.3640738,0.411519,0.4599372,0.45554566,0.44794175,0.25815538,2026-08-21 02:15:00+00:00,0.5118691796534482,0.0283253274707068,746.9
0.69669986,0.029234162,735.322,0.26634884,0.3261673,0.19017117,0.039073348,0.32733393,0.36681595,0.41444668,0.4635362,0.4586027,0.45197463,0.26033843,2026-08-21 02:20:00+00:00,0.5117305797624833,0.01891880190155,745.0
0.75332594,0.028680483,731.38184,0.26449385,0.32553673,0.19060253,0.0392912,0.32898554,0.3682707,0.41576493,0.46517527,0.45966694,0.45368096,0.2614256,2026-08-21 02:25:00+00:00,0.5115084112456207,0.0123434304956551,752.7
0.7520414,0.02804829,728.8582,0.26534265,0.32615915,0.18974929,0.039266497,0.32907167,0.36779943,0.41500726,0.4643434,0.45846534,0.45277727,0.26098144,2026-08-21 02:30:00+00:00,0.5111260901473036,0.0068844781938928,759.9
0.73175955,0.02747526,727.21594,0.26717067,0.32711872,0.18858092,0.039143212,0.32846633,0.3666538,0.41356692,0.46270907,0.4566865,0.451013,0.2600198,2026-08-21 02:35:00+00:00,0.5119487999272069,0.0094994056125517,756.0
0.70647705,0.0270095,726.1958,0.26921868,0.3281025,0.18745925,0.03899101,0.32758826,0.3653446,0.41200662,0.46093467,0.45492467,0.44911358,0.25894254,2026-08-21 02:40:00+00:00,0.5099792851794068,0.0117476942128644,764.1
0.6827103,0.02664673,726.0179,0.27134386,0.32913148,0.18639353,0.038814023,0.32642534,0.3638028,0.41018993,0.45893598,0.45299757,0.44697288,0.2577134,2026-08-21 02:45:00+00:00,0.5093919660136103,0.0104449706181864,764.0
0.6744684,0.02636696,725.35114,0.27248743,0.3295959,0.18583779,0.038718723,0.3258662,0.3630745,0.40934312,0.45797566,0.45218933,0.44592762,0.25711256,2026-08-21 02:50:00+00:00,0.5095344082566834,0.0087976615790499,760.4
0.6461471,0.026177462,725.4265,0.27423444,0.33042386,0.18508935,0.038585037,0.3248967,0.36191097,0.40802374,0.45651245,0.45084247,0.44440138,0.25614902,2026-08-21 02:55:00+00:00,0.5104024972313104,0.0128471456677586,765.9
