norm_od_pred,growth_rate_pred,co2_ppm_pred,od_45_pred,od_90_pred,od_135_pred,nm_415_pred,nm_445_pred,nm_480_pred,nm_515_pred,nm_555_pred,nm_590_pred,nm_630_pred,nm_680_pred,timestamp,norm_od_true,growth_rate_true,co2_ppm_true
0.35443497,0.02946447,744.4378,0.27864796,0.33282968,0.18333502,0.03803537,0.32185006,0.35863832,0.40196064,0.45076236,0.44407892,0.43921867,0.2538904,2026-08-22 16:45:00+00:00,0.366385274260983,0.1190417172148135,864.2
0.64821804,0.02910882,731.9255,0.26977378,0.3279617,0.18647547,0.038645532,0.32498014,0.36474997,0.40974092,0.45752013,0.4539075,0.44658113,0.25787324,2026-08-22 16:50:00+00:00,0.3708704422568966,0.1231145513533103,884.3
0.48700702,0.029399652,741.1641,0.27560598,0.33101892,0.18478757,0.038139354,0.32198414,0.35974315,0.40635172,0.45357257,0.44956622,0.441194,0.2544882,2026-08-22 16:55:00+00:00,0.3767162466697966,0.1375841740363559,895.5
0.52108335,0.029523743,740.74536,0.27292722,0.32931346,0.18718633,0.03847357,0.32341316,0.36204332,0.40952697,0.45730188,0.45313746,0.4455553,0.25660276,2026-08-22 17:00:00+00:00,0.3831167243211896,0.1555937785128103,913.0
0.6091927,0.029289125,736.90216,0.26914537,0.32760277,0.18910556,0.038894482,0.32587057,0.36500862,0.4126551,0.46117163,0.45643556,0.44982952,0.25895283,2026-08-22 17:05:00+00:00,0.3896422966914916,0.1695479555882542,896.2
0.69120884,0.02873942,732.3447,0.2664068,0.3264716,0.18991475,0.039174862,0.32805684,0.36711693,0.41461137,0.46360645,0.4582726,0.45224765,0.260556,2026-08-22 17:10:00+00:00,0.3956429770372667,0.17369985316765,888.8
0.6469683,0.028141264,730.88306,0.26886582,0.32800388,0.18840224,0.039041746,0.3271848,0.36550266,0.41261855,0.46138015,0.4556365,0.45000848,0.25918725,2026-08-22 17:15:00+00:00,0.4013633600952758,0.1744978876378621,899.7
0.5990864,0.027601214,729.935,0.27175,0.32955706,0.18681222,0.03884828,0.32596016,0.36363092,0.41035342,0.45885912,0.45291537,0.44735727,0.25762895,2026-08-22 17:20:00+00:00,0.4064660058428474,0.170151107264322,901.5
0.51694846,0.027195169,730.3374,0.27593765,0.33174437,0.1848329,0.03855314,0.3238261,0.36084533,0.40713558,0.45527905,0.44924375,0.44366333,0.25534016,2026-08-22 17:25:00+00:00,0.4040837733049999,0.1669710909920333,906.2
0.46478546,0.026875893,730.8941,0.27916354,0.33339316,0.18333778,0.038303517,0.32202744,0.3585701,0.40444964,0.45238084,0.44633356,0.4405885,0.2535021,2026-08-22 17:30:00+00:00,0.4063005134167758,0.1617389025894655,919.4
0.45908284,0.026609648,730.18805,0.2802465,0.3338229,0.18281657,0.038213033,0.3215161,0.35791185,0.40362757,0.45149726,0.44557843,0.43958414,0.2529519,2026-08-22 17:35:00+00:00,0.4109285686125172,0.1555488149435517,923.1
0.47768807,0.026385546,729.1158,0.28027228,0.33368167,0.18276712,0.03819506,0.32156488,0.3579553,0.40361843,0.45150638,0.44576883,0.4394965,0.25297326,2026-08-22 17:40:00+00:00,0.4137064303768474,0.1343965970623898,931.5
0.46845758,0.02623952,728.9073,0.28120244,0.33407602,0.1823839,0.038118854,0.3210457,0.35735542,0.4029069,0.45075002,0.4451359,0.438668,0.25246313,2026-08-22 17:45:00+00:00,0.4166634588801333,0.12047402647,935.9
0.45051122,0.026141485,729.0396,0.28234932,0.3346165,0.18193127,0.03803045,0.32037824,0.3565958,0.40202102,0.44981137,0.44428697,0.43766814,0.2518185,2026-08-22 17:50:00+00:00,0.4188305451599333,0.1054289026272166,934.8
0.4842795,0.02601383,727.96295,0.28147003,0.33403468,0.18229717,0.038079552,0.32088077,0.357213,0.4027018,0.45057434,0.4452262,0.43838274,0.25230274,2026-08-22 17:55:00+00:00,0.4191486881995932,0.0827708267731694,937.1
0.48954868,0.025938034,727.6618,0.2815851,0.33403015,0.18226951,0.03806385,0.32079566,0.3571433,0.40260926,0.45049915,0.4452541,0.43826535,0.25222263,2026-08-22 18:00:00+00:00,0.4197842449048983,0.0684493690313389,951.0
0.46105266,0.02591734,728.2539,0.2829103,0.3347223,0.1817599,0.03796863,0.3200031,0.35624582,0.40157306,0.44940725,0.444179,0.4371306,0.25146297,2026-08-22 18:05:00+00:00,0.4203698287389333,0.0697095523033499,959.7
0.47733903,0.025841206,727.27606,0.28241596,0.33434716,0.18198957,0.038011145,0.32042408,0.3567596,0.4021721,0.45003206,0.44493753,0.43775272,0.25182974,2026-08-22 18:10:00+00:00,0.4291915160438392,0.0848945524741607,967.8
0.49507445,0.025785044,726.76404,0.2819302,0.33403617,0.18219985,0.038039036,0.32068574,0.35708988,0.4025425,0.45045504,0.44544882,0.4381495,0.25208154,2026-08-22 18:15:00+00:00,0.4392825456956141,0.1229388590121228,974.4
0.5145957,0.025733039,726.2253,0.28134584,0.33367684,0.18244766,0.038074266,0.32100502,0.35748488,0.40298977,0.45095843,0.4460346,0.43863124,0.2523882,2026-08-22 18:20:00+00:00,0.4504220708406949,0.169539306120661,976.8
0.517258,0.025706572,726.1247,0.28136995,0.33366722,0.18245032,0.03806939,0.32097158,0.35746524,0.40296215,0.4509496,0.44606382,0.4386003,0.25235575,2026-08-22 18:25:00+00:00,0.4626260092207833,0.2102688758248833,967.7
0.5351023,0.025665395,725.65283,0.28080285,0.3333286,0.1826872,0.038104557,0.3212826,0.35784572,0.40339586,0.45143455,0.44661212,0.4390695,0.25265366,2026-08-22 18:30:00+00:00,0.4744935180368772,0.2346318609005789,959.5
0.5270125,0.025659421,725.84247,0.2811947,0.33353594,0.1825389,0.03807595,0.32103798,0.35757503,0.4030804,0.45111418,0.44629315,0.43872914,0.25241798,2026-08-22 18:35:00+00:00,0.4851125685771694,0.2435786019025423,967.4
0.5300315,0.025642231,725.7592,0.2811553,0.33350313,0.1825611,0.038076505,0.32104474,0.35759616,0.4031014,0.45115367,0.44635272,0.43875337,0.25242344,2026-08-22 18:40:00+00:00,0.4937484138912142,0.2371924121635,978.1
0.5301293,0.025630718,725.7551,0.28121486,0.33352917,0.1825421,0.038070686,0.32099497,0.3575497,0.4030448,0.45110887,0.44631726,0.43869415,0.25237453,2026-08-22 18:45:00+00:00,0.4870901809563666,0.23166265241745,988.7
0.5071064,0.025612649,725.39856,0.28199762,0.33386338,0.18225318,0.03804582,0.3208372,0.35735795,0.4028537,0.45083964,0.44606695,0.43845063,0.25214016,2026-08-22 18:50:00+00:00,0.4897133145087017,0.2252870948504035,986.6
0.5056999,0.025605634,725.44086,0.28210086,0.33391818,0.18221366,0.038037412,0.320764,0.35728115,0.40276206,0.45075577,0.44598243,0.43835425,0.2520684,2026-08-22 18:55:00+00:00,0.4960340700481694,0.2098986038575084,976.3
0.4893877,0.025618333,725.8623,0.28275818,0.33428797,0.18195166,0.037992023,0.32036957,0.35682824,0.40223664,0.45020616,0.44539756,0.43778974,0.25168815,2026-08-22 19:00:00+00:00,0.5022752015867895,0.1922418057581578,972.1
0.52359635,0.02556894,725.0119,0.28150955,0.33358198,0.18245053,0.038074404,0.32108206,0.35766712,0.40320233,0.45125455,0.44651657,0.4388356,0.2523707,2026-08-22 19:05:00+00:00,0.5079725459606316,0.1767817358927368,960.6
0.5259131,0.025560046,724.9682,0.281456,0.3335528,0.18247083,0.038076818,0.32110092,0.3576953,0.40323266,0.4512995,0.4465621,0.43887168,0.25238723,2026-08-22 19:10:00+00:00,0.5134068849255,0.1639887956337241,955.9
0.5697783,0.025499744,723.8793,0.279836,0.3326393,0.18311733,0.03818423,0.32202905,0.35878474,0.4044889,0.45265815,0.44800842,0.44023114,0.25327656,2026-08-22 19:15:00+00:00,0.5178868092096667,0.1505262737815438,952.7
0.6112515,0.025442846,722.8533,0.27830333,0.3317762,0.18372902,0.03828585,0.32290635,0.35981444,0.4056768,0.45394334,0.44937444,0.44151676,0.25411698,2026-08-22 19:20:00+00:00,0.5218508337035932,0.1366959019158305,950.7
0.61081225,0.025438836,722.88416,0.27834398,0.3318032,0.18370971,0.038282108,0.32287085,0.35977754,0.40563282,0.45390713,0.449329,0.44147286,0.25408122,2026-08-22 19:25:00+00:00,0.5157601290879833,0.1327259840814333,925.4
0.6328567,0.025389563,721.86993,0.2774609,0.33125514,0.1840741,0.038355347,0.32353193,0.36054417,0.4065325,0.4548428,0.45033556,0.4424262,0.25467485,2026-08-22 19:30:00+00:00,0.5178641373484737,0.1318622436005087,907.6
0.6410148,0.025375448,721.6869,0.27717516,0.33109894,0.1841849,0.038373534,0.32368603,0.36072809,0.40674365,0.45508,0.45057973,0.44265777,0.254821,2026-08-22 19:35:00+00:00,0.5228448110759834,0.1273799675149333,912.6
0.65277934,0.02535708,721.4143,0.2767526,0.330866,0.18435028,0.03840091,0.32391945,0.36100444,0.4070617,0.45543185,0.45094523,0.44300476,0.25504333,2026-08-22 19:40:00+00:00,0.5269618504583167,0.1182769002269666,905.0
0.64862436,0.025358768,721.54315,0.2769268,0.33097082,0.18427569,0.03838829,0.32380655,0.36087593,0.40691206,0.45528162,0.4507748,0.4428475,0.2549331,2026-08-22 19:45:00+00:00,0.5304305463908621,0.1072288653986034,896.8
0.6495865,0.025354235,721.5442,0.27690786,0.330967,0.18427835,0.038388625,0.32380557,0.3608781,0.40691337,0.4552934,0.45077643,0.44285312,0.25493035,2026-08-22 19:50:00+00:00,0.5339811437992281,0.1002905995413684,890.6
0.6451509,0.025356572,721.6819,0.277091,0.33107775,0.1841996,0.038375415,0.32368726,0.36074308,0.40675616,0.45513505,0.45059612,0.44268793,0.25481492,2026-08-22 19:55:00+00:00,0.5369742274406779,0.0920878815591186,888.6
0.5993159,0.02541074,722.86224,0.27882892,0.3320676,0.18349667,0.03825799,0.32266662,0.3595539,0.4053808,0.45366988,0.4490218,0.4412093,0.2538332,2026-08-22 20:00:00+00:00,0.5397133288673334,0.0847112127614561,885.0
0.62961835,0.025369866,722.1272,0.2777058,0.33144084,0.1839416,0.03833232,0.323306,0.3603038,0.4062462,0.45460868,0.45001048,0.44214705,0.25444517,2026-08-22 20:05:00+00:00,0.5375934152358276,0.0787820255267758,877.7
0.63748306,0.025377702,722.4008,0.27748412,0.33136624,0.18401936,0.038332332,0.3232768,0.36027953,0.40620348,0.4546006,0.44998997,0.4421205,0.2544569,2026-08-22 20:10:00+00:00,0.5383614315854667,0.0776533952909333,876.6
0.621961,0.025394363,722.8199,0.27808222,0.3317128,0.18377343,0.038291324,0.3229174,0.35986274,0.40572038,0.45409325,0.44943538,0.44160414,0.25411016,2026-08-22 20:15:00+00:00,0.5420059721522712,0.077472182881661,875.8
0.6315585,0.025379423,722.6079,0.27773586,0.33152577,0.18390617,0.03831357,0.3231055,0.36008534,0.40597665,0.4543785,0.44972628,0.44188538,0.25428873,2026-08-22 20:20:00+00:00,0.5444910426338793,0.0710657152267241,867.9
0.65928614,0.025341671,721.941,0.276708,0.3309539,0.18431233,0.03838146,0.3236886,0.36076918,0.4067663,0.45523572,0.45062703,0.44274196,0.25484627,2026-08-22 20:25:00+00:00,0.5475755705370501,0.0700076555781666,862.2
0.6766451,0.02531697,721.53564,0.27606997,0.3306026,0.18456203,0.038423218,0.32404536,0.36118874,0.40725043,0.4557656,0.451178,0.443269,0.25518662,2026-08-22 20:30:00+00:00,0.5501781917311551,0.0665397797592413,851.6
0.65610915,0.025339996,722.0829,0.27685603,0.3310563,0.1842397,0.038369574,0.3235763,0.36064377,0.406619,0.45509952,0.45045295,0.44259316,0.25473452,2026-08-22 20:35:00+00:00,0.552937615512,0.0648752233397796,842.1
0.6562198,0.025337014,722.1122,0.27686626,0.3310718,0.18422875,0.038367882,0.3235568,0.3606239,0.40659487,0.4550847,0.4504223,0.44257233,0.25471377,2026-08-22 20:40:00+00:00,0.555713355748569,0.0637392586916379,840.9
0.67146724,0.02531494,721.76184,0.27630773,0.33076608,0.18444605,0.038404275,0.32386687,0.3609889,0.40701586,0.4555473,0.4509006,0.44303155,0.25500917,2026-08-22 20:45:00+00:00,0.5562200110091754,0.0641701119985789,835.8
0.6591109,0.025367465,723.00714,0.2768804,0.33119342,0.18419665,0.03833668,0.32322055,0.36025265,0.40613842,0.45467675,0.44994944,0.44212607,0.25447017,2026-08-22 20:50:00+00:00,0.5596707062557118,0.0642630697432542,830.2
0.652098,0.025373533,723.2167,0.27715874,0.331361,0.18407787,0.03831702,0.32304525,0.360051,0.40590382,0.45443705,0.44967765,0.44187823,0.25430003,2026-08-22 20:55:00+00:00,0.5626791586165861,0.0648283342199138,823.9
0.67970335,0.025335323,722.5579,0.27613458,0.3307926,0.18448135,0.038384486,0.3236241,0.36072958,0.40668842,0.45528835,0.45057127,0.44273034,0.25485277,2026-08-22 21:00:00+00:00,0.5660141863629827,0.0658799074090862,814.4
0.67996794,0.02533203,722.5861,0.27613935,0.33080602,0.18447198,0.038383093,0.32360673,0.3607123,0.40666726,0.45527747,0.45054337,0.44271305,0.25483394,2026-08-22 21:05:00+00:00,0.5689539008239649,0.0649205827081754,801.1
0.6843797,0.025323395,722.51086,0.2759883,0.33073154,0.18452498,0.038392104,0.3236794,0.36080012,0.4067678,0.45539698,0.45065448,0.44282714,0.25490135,2026-08-22 21:10:00+00:00,0.5717236080903103,0.0634400052642586,803.0
0.675439,0.025331797,722.7711,0.27633977,0.33094126,0.18437622,0.03836748,0.3234608,0.36054805,0.40647468,0.45509538,0.45031542,0.44251662,0.25468957,2026-08-22 21:15:00+00:00,0.574021294222138,0.0596726084784827,800.6
0.6896465,0.025310555,722.4514,0.27582067,0.33065918,0.18457669,0.038401082,0.32374611,0.36088416,0.40686274,0.455523,0.45075512,0.4429411,0.25496078,2026-08-22 21:20:00+00:00,0.5758987993320701,0.055429183680807,794.0
0.6665179,0.02533701,723.0687,0.27670628,0.33117118,0.18421333,0.03834069,0.32321766,0.36027056,0.40615094,0.45477363,0.44993713,0.44217908,0.25445196,2026-08-22 21:25:00+00:00,0.5730495408266316,0.0548810217755614,782.4
0.6806266,0.02533687,723.18854,0.2762175,0.3309506,0.18439923,0.038358632,0.3233396,0.36042276,0.40631557,0.45498624,0.4501494,0.44237956,0.25460932,2026-08-22 21:30:00+00:00,0.5737267720508167,0.0540574099626499,774.1
0.7002152,0.025308458,722.7358,0.27549595,0.3305546,0.18468049,0.0384057,0.3237413,0.36089465,0.4068612,0.45558253,0.45076895,0.44297442,0.25499174,2026-08-22 21:35:00+00:00,0.575365178055193,0.049460107530807,767.9
0.7304721,0.025266252,722.01697,0.27437347,0.32993224,0.18512282,0.038479563,0.3243747,0.36163703,0.40772027,0.45651448,0.45174676,0.44390756,0.25559607,2026-08-22 21:40:00+00:00,0.577129989976569,0.0458252859741034,766.3
0.7283992,0.02526563,722.10846,0.2744678,0.32999778,0.18507645,0.03847204,0.32430363,0.36155733,0.40762672,0.45642754,0.45163533,0.4438128,0.25552553,2026-08-22 21:45:00+00:00,0.5791920385921,0.04494467170225,767.4
0.73498905,0.025253803,721.9838,0.27423644,0.3298795,0.18516077,0.038486276,0.32442078,0.36169732,0.40778777,0.45661315,0.45181486,0.44399282,0.2556352,2026-08-22 21:50:00+00:00,0.5813716969464527,0.0447544755307547,766.3
0.75375193,0.025226228,721.55536,0.27354747,0.32950282,0.18542884,0.038531087,0.3248024,0.36214602,0.40830657,0.45718184,0.4524033,0.44455892,0.25599816,2026-08-22 21:55:00+00:00,0.5831891001798246,0.0432109016256842,759.4
0.7361758,0.025245426,722.03674,0.2742258,0.329899,0.18514739,0.038484458,0.3243926,0.36167124,0.407755,0.45660552,0.451768,0.44397035,0.25560305,2026-08-22 22:00:00+00:00,0.5847620460330517,0.0406693328787758,762.4
0.74528086,0.025230188,721.8513,0.2739007,0.3297284,0.18526894,0.038504895,0.3245631,0.36187366,0.40798834,0.4568692,0.45202994,0.44422868,0.2557637,2026-08-22 22:05:00+00:00,0.5784142267644828,0.0407124544068103,757.6
0.74545413,0.02521055,721.3987,0.27386513,0.32966053,0.1852884,0.038521327,0.3247349,0.3620667,0.40822166,0.4570928,0.45227036,0.44446117,0.25588667,2026-08-22 22:10:00+00:00,0.5773084809038793,0.0399148332467068,754.2
0.7742825,0.0251701,720.721,0.27279946,0.32907176,0.1857078,0.038591288,0.32533383,0.36276925,0.40903434,0.45797738,0.45319444,0.44534418,0.2564578,2026-08-22 22:15:00+00:00,0.5784161030670861,0.0366010162259655,755.0
0.78277457,0.025155608,720.5529,0.27249855,0.32891536,0.1858195,0.038610067,0.32548976,0.36295477,0.40924796,0.4582208,0.4534337,0.4455814,0.25660437,2026-08-22 22:20:00+00:00,0.5797318738743449,0.034220210411931,754.2
0.7664149,0.025172854,721.0067,0.27313182,0.329287,0.18555512,0.03856634,0.3251046,0.36250886,0.40872997,0.45768088,0.4528365,0.44502988,0.25623256,2026-08-22 22:25:00+00:00,0.5803013140325,0.0279335120135,747.5
0.7827855,0.025148151,720.6432,0.27253538,0.32896408,0.18578541,0.03860484,0.32543096,0.3628934,0.40917417,0.4581717,0.45333907,0.44551587,0.25654233,2026-08-22 22:30:00+00:00,0.5804070826308071,0.0213754911327017,743.8
0.77531433,0.025153905,720.8763,0.27283522,0.3291478,0.18565485,0.038583364,0.32523817,0.36267212,0.4089164,0.45791095,0.45303923,0.4452452,0.25635472,2026-08-22 22:35:00+00:00,0.5803103777801553,0.0157516210447413,742.2
0.7980771,0.025120903,720.3549,0.27199945,0.32869017,0.18598127,0.038637824,0.32570243,0.36321768,0.40954724,0.45860216,0.4537549,0.44593254,0.25679642,2026-08-22 22:40:00+00:00,0.579951438129,0.0105701201172807,740.4
0.8120273,0.025099108,720.0547,0.27149516,0.32842007,0.18617418,0.03867009,0.32597443,0.36353895,0.40991816,0.45901528,0.4541734,0.4463398,0.25705394,2026-08-22 22:45:00+00:00,0.5684613521570357,0.0088175231405,735.6
0.82011026,0.025052946,718.9411,0.27110526,0.3281035,0.18634754,0.038725052,0.326508,0.36414674,0.41064128,0.45973697,0.4549482,0.4470811,0.2574846,2026-08-22 22:50:00+00:00,0.5642639432230848,0.009196173082,734.1
0.83576536,0.025029197,718.5994,0.27053845,0.32779846,0.18656585,0.038761508,0.3268161,0.36451036,0.41106087,0.46020338,0.45542228,0.44754055,0.2577768,2026-08-22 22:55:00+00:00,0.5648954155424107,0.0095196486747857,729.1
0.8335666,0.025027901,718.70435,0.2706416,0.32787204,0.18651363,0.038753077,0.3267358,0.36442044,0.41095528,0.4601066,0.45529607,0.44743463,0.25769657,2026-08-22 23:00:00+00:00,0.5653723175254655,0.0094031423328103,728.8
0.8456174,0.025008567,718.4546,0.27021077,0.3276443,0.18667679,0.038780376,0.32696444,0.36469138,0.4112675,0.46045843,0.45564726,0.44777873,0.25791246,2026-08-22 23:05:00+00:00,0.5649343738200909,0.0041268876194545,739.1
