norm_od_pred,growth_rate_pred,co2_ppm_pred,od_45_pred,od_90_pred,od_135_pred,nm_415_pred,nm_445_pred,nm_480_pred,nm_515_pred,nm_555_pred,nm_590_pred,nm_630_pred,nm_680_pred,timestamp,norm_od_true,growth_rate_true,co2_ppm_true
-0.43712592,0.028806947,767.0964,0.31241682,0.35055432,0.16940281,0.03566625,0.3034901,0.33603027,0.37732148,0.4215691,0.41547173,0.41203707,0.23639439,2026-08-23 20:35:00+00:00,0.33208095464,0.0,923.8
-0.10324478,0.028912934,750.8466,0.29834184,0.34429586,0.17389724,0.036572453,0.30862585,0.34515995,0.3886181,0.4325609,0.4297958,0.42321634,0.24248075,2026-08-23 20:40:00+00:00,0.33208095464,0.0,913.7
-0.35739553,0.029363824,761.33734,0.306067,0.34850615,0.17171572,0.035989564,0.30419806,0.33837572,0.3843599,0.42702737,0.42430064,0.41707656,0.23782106,2026-08-23 20:45:00+00:00,0.33208095464,0.0,923.4
0.88456714,0.029558467,729.61536,0.25762305,0.32060167,0.1938386,0.039602976,0.33304566,0.37381104,0.4216237,0.4715328,0.4671668,0.45875186,0.26585895,2026-08-23 20:50:00+00:00,0.33208095464,0.0,938.3
0.7433185,0.02932302,731.6429,0.26243198,0.32370594,0.1921193,0.039416112,0.3303395,0.3705461,0.41857088,0.46781594,0.4632467,0.45624363,0.26332903,2026-08-23 20:55:00+00:00,0.33208095464,0.0,940.4
0.56556,0.028859083,733.50024,0.26925853,0.3279824,0.18893258,0.039041124,0.3267567,0.36567515,0.41342726,0.46176854,0.45667624,0.4509297,0.25936368,2026-08-23 21:00:00+00:00,0.33208095464,0.0,939.1
0.41736305,0.028328072,734.5991,0.27567542,0.33174548,0.18579568,0.038643237,0.32353953,0.36124206,0.40842086,0.45612878,0.45049158,0.44541606,0.25568727,2026-08-23 21:05:00+00:00,0.33208095464,0.0,939.2
0.2536341,0.027879173,736.52435,0.2830239,0.3358067,0.18239099,0.038151316,0.31970263,0.35625982,0.40271005,0.44981936,0.44376183,0.43901283,0.2515567,2026-08-23 21:10:00+00:00,0.33208095464,0.0,935.1
0.1385659,0.027516434,737.7825,0.28864944,0.33878866,0.17984505,0.037761815,0.31677163,0.35254434,0.39833862,0.44509476,0.4387918,0.434064,0.24846204,2026-08-23 21:15:00+00:00,0.33208095464,0.0,914.0
0.027611852,0.02726396,739.401,0.29402825,0.34160924,0.17752285,0.03738393,0.31386894,0.34899318,0.39416575,0.44061658,0.4341545,0.42936996,0.24550846,2026-08-23 21:20:00+00:00,0.33208095464,0.0,907.0
-0.05958557,0.02708564,740.777,0.29836446,0.34385738,0.17570534,0.037075773,0.3114936,0.3461485,0.390792,0.43703872,0.4304885,0.42558885,0.24313632,2026-08-23 21:25:00+00:00,0.33208095464,0.0,899.4
-0.11619389,0.02695018,741.6329,0.3013878,0.34539348,0.17446497,0.0368572,0.30982983,0.34418947,0.3884258,0.43457192,0.42799714,0.42293942,0.24149309,2026-08-23 21:30:00+00:00,0.33208095464,0.0,898.8
-0.16869795,0.02686295,742.56006,0.30410212,0.34678558,0.17337953,0.036661405,0.30830446,0.3424197,0.38629317,0.4323592,0.42576647,0.42057216,0.2400057,2026-08-23 21:35:00+00:00,0.33208095464,0.0,888.8
-0.21813536,0.026811238,743.5321,0.30656978,0.34806556,0.17241104,0.036484282,0.3068962,0.34080157,0.38434753,0.43034825,0.4237346,0.41842848,0.2386432,2026-08-23 21:40:00+00:00,0.33208095464,0.0,882.8
-0.26041043,0.026780115,744.40784,0.30865958,0.34915498,0.17160234,0.036334414,0.3056924,0.33942923,0.3826927,0.42864943,0.42201734,0.41661453,0.2374839,2026-08-23 21:45:00+00:00,0.33208095464,0.0,879.5
-0.29129684,0.026756743,745.0528,0.3102317,0.3499704,0.17100237,0.036220875,0.3047814,0.3384009,0.3814396,0.42737937,0.42074078,0.41524574,0.23660961,2026-08-23 21:50:00+00:00,0.33208095464,0.0,874.1
-0.31134856,0.026735594,745.46277,0.311323,0.35052893,0.17059276,0.036140915,0.30414537,0.33769256,0.3805612,0.42650646,0.41987395,0.41428944,0.2360011,2026-08-23 21:55:00+00:00,0.33208095464,0.0,868.0
-0.32096457,0.026712751,745.6352,0.31196153,0.3508433,0.17036015,0.03609241,0.3037701,0.337286,0.38003683,0.4260069,0.41939402,0.41372073,0.23564371,2026-08-23 22:00:00+00:00,0.33208095464,0.0,850.1
-0.24404776,0.02659516,743.6109,0.3092847,0.34929198,0.17142439,0.036266796,0.3053332,0.3391355,0.3820977,0.42827243,0.42186153,0.41595396,0.2371517,2026-08-23 22:05:00+00:00,0.33208095464,0.0,839.1
-0.24091172,0.026569165,743.4928,0.30935377,0.3493012,0.17141093,0.036258135,0.30528536,0.33910388,0.38202217,0.42823794,0.4218619,0.4158749,0.2371079,2026-08-23 22:10:00+00:00,0.33208095464,0.0,830.9
-0.27456236,0.02659158,744.3299,0.31078088,0.35008484,0.17086351,0.03615918,0.30444226,0.33814296,0.38088924,0.42706588,0.42063674,0.41465232,0.23629834,2026-08-23 22:15:00+00:00,0.3321119451543509,0.0002250085396666,827.1
-0.24418223,0.02654025,743.5344,0.30976355,0.34949073,0.17127156,0.036224388,0.30502814,0.33884418,0.38166422,0.42793173,0.42158672,0.4154954,0.23686317,2026-08-23 22:20:00+00:00,0.3324776377108276,0.0027954651946551,817.9
-0.27521348,0.026565751,744.321,0.31104565,0.3502017,0.17077729,0.03613607,0.3042695,0.33797705,0.38064662,0.42687556,0.42047277,0.41439888,0.23613423,2026-08-23 22:25:00+00:00,0.3338021028514035,0.0116348397967368,822.8
-0.29634488,0.026581448,744.85986,0.31193697,0.35069513,0.17043467,0.03607424,0.30373934,0.3373742,0.37993476,0.42614365,0.41970092,0.4136335,0.2356248,2026-08-23 22:30:00+00:00,0.3363412409625088,0.0274143187395964,832.6
-0.2929206,0.026568694,744.7729,0.31188577,0.35065815,0.17045914,0.03607579,0.30375987,0.33741078,0.37995932,0.4261957,0.4197653,0.41366506,0.23564473,2026-08-23 22:35:00+00:00,0.3396919584815517,0.0457470189214137,830.8
-0.18639338,0.026430106,742.0451,0.3079253,0.34841144,0.17201322,0.03633929,0.30606273,0.34010297,0.38303712,0.4295067,0.42331916,0.41699904,0.23785882,2026-08-23 22:40:00+00:00,0.3433637941160172,0.0631107713802241,821.9
-0.32275212,0.02659174,745.5514,0.3131379,0.35135758,0.1699747,0.035988823,0.30300963,0.33655846,0.37895304,0.4251656,0.41866833,0.41258645,0.23492299,2026-08-23 22:45:00+00:00,0.3470065949967719,0.076745573113807,812.0
-0.21877837,0.026457414,742.89264,0.3092547,0.3491581,0.17149456,0.036247455,0.3052671,0.33919466,0.38197172,0.42840707,0.42214417,0.41585645,0.23709275,2026-08-23 22:50:00+00:00,0.3501171754391017,0.0842209269186271,820.5
-0.2569573,0.026499521,743.8842,0.3107406,0.34999853,0.17091249,0.036146745,0.30439,0.33818138,0.38079804,0.427171,0.42081738,0.41459203,0.2362489,2026-08-23 22:55:00+00:00,0.3531235816978305,0.089012857443983,815.2
-0.26563954,0.026505673,744.1211,0.311106,0.35020617,0.17076847,0.036121145,0.30416688,0.33792856,0.38049963,0.42686838,0.42048946,0.41427425,0.23603362,2026-08-23 23:00:00+00:00,0.3558581234282363,0.090919743959709,825.5
-0.22524941,0.026451252,743.1006,0.30961108,0.34936208,0.1713519,0.036220167,0.30502927,0.33893844,0.3816545,0.42811558,0.42182204,0.41552788,0.23686165,2026-08-23 23:05:00+00:00,0.3586723692230175,0.0926911443502456,831.6
