run_file,rows,mae_norm_od,r2_norm_od,sim_path
mackey_glass__chem__glucose__20260901143358.csv,73,0.05445180951925554,-8.380964290482396,D:\omnibio\pioreactor\models\multimodal\dfba\artifacts\batch\mackey_glass__chem__glucose__20260901143358__dfba.csv
mackey_glass__chem__nitro__20260901224037.csv,73,0.38933050996577206,0.6300355190281848,D:\omnibio\pioreactor\models\multimodal\dfba\artifacts\batch\mackey_glass__chem__nitro__20260901224037__dfba.csv
mackey_glass__chem__salt__20260901143936.csv,74,0.19239915772055846,-10.131840962255602,D:\omnibio\pioreactor\models\multimodal\dfba\artifacts\batch\mackey_glass__chem__salt__20260901143936__dfba.csv
mackey_glass__chem__sulfur__20260902080307.csv,72,0.39431513072001434,0.7154745522918919,D:\omnibio\pioreactor\models\multimodal\dfba\artifacts\batch\mackey_glass__chem__sulfur__20260902080307__dfba.csv
mackey_glass__temp__temp__20260831100538.csv,273,0.2009323627055259,-408.0558153533395,D:\omnibio\pioreactor\models\multimodal\dfba\artifacts\batch\mackey_glass__temp__temp__20260831100538__dfba.csv
mackey_glass__uv__uv__20260831095938.csv,98,0.06917892351412025,-6.809735066354287,D:\omnibio\pioreactor\models\multimodal\dfba\artifacts\batch\mackey_glass__uv__uv__20260831095938__dfba.csv
pulse__chem__control__20260705115653.csv,98,0.08175658157079056,-8.47235730781952,D:\omnibio\pioreactor\models\multimodal\dfba\artifacts\batch\pulse__chem__control__20260705115653__dfba.csv
pulse__chem__glucose__20260709215429.csv,146,0.14422055878072623,-38.21195187614787,D:\omnibio\pioreactor\models\multimodal\dfba\artifacts\batch\pulse__chem__glucose__20260709215429__dfba.csv
pulse__chem__glucose__20260902182036.csv,108,,,D:\omnibio\pioreactor\models\multimodal\dfba\artifacts\batch\pulse__chem__glucose__20260902182036__dfba.csv
pulse__chem__glucose__20260903094345.csv,122,0.8763595928665525,-24.65735363720265,D:\omnibio\pioreactor\models\multimodal\dfba\artifacts\batch\pulse__chem__glucose__20260903094345__dfba.csv
pulse__chem__nitrogen__20260703122850.csv,141,,,D:\omnibio\pioreactor\models\multimodal\dfba\artifacts\batch\pulse__chem__nitrogen__20260703122850__dfba.csv
pulse__chem__nitrogen__20260804092944.csv,110,0.06090696537396508,-36.02240260604514,D:\omnibio\pioreactor\models\multimodal\dfba\artifacts\batch\pulse__chem__nitrogen__20260804092944__dfba.csv
pulse__chem__nitrogen__20260805104326.csv,110,0.0687513268277883,-23.331012560028146,D:\omnibio\pioreactor\models\multimodal\dfba\artifacts\batch\pulse__chem__nitrogen__20260805104326__dfba.csv
pulse__chem__nitrogen__20260805225017.csv,110,0.04979740442686161,-16.063870597310743,D:\omnibio\pioreactor\models\multimodal\dfba\artifacts\batch\pulse__chem__nitrogen__20260805225017__dfba.csv
pulse__chem__nitrogen__20260806102506.csv,110,0.057621808010875304,-11.359160483458533,D:\omnibio\pioreactor\models\multimodal\dfba\artifacts\batch\pulse__chem__nitrogen__20260806102506__dfba.csv
pulse__chem__salt__20260715130728.csv,135,0.15411276554830275,-25.534326282935698,D:\omnibio\pioreactor\models\multimodal\dfba\artifacts\batch\pulse__chem__salt__20260715130728__dfba.csv
