experiment,pioreactor_unit,timestamp,event,volume_change_ml,source_of_event,timestamp_localtime,hours_since_experiment_created
Demo experiment,pioreactor01,2026-05-17T10:21:20.780Z,add_media,0.0776751765,UI,2026-05-17 16:06:20.780,5482.064166666667
Demo experiment,pioreactor01,2026-05-17T10:21:21.282Z,add_media,0.0776751765,UI,2026-05-17 16:06:21.282,5482.064444444444
Demo experiment,pioreactor01,2026-05-17T10:21:21.783Z,add_media,0.0776751765,UI,2026-05-17 16:06:21.783,5482.064444444444
Demo experiment,pioreactor01,2026-05-17T10:21:22.284Z,add_media,0.0776751765,UI,2026-05-17 16:06:22.284,5482.064722222222
Demo experiment,pioreactor01,2026-05-17T10:21:22.785Z,add_media,0.0776751765,UI,2026-05-17 16:06:22.785,5482.064722222222
Demo experiment,pioreactor01,2026-05-17T10:21:23.285Z,add_media,0.0776751765,UI,2026-05-17 16:06:23.285,5482.065
Demo experiment,pioreactor01,2026-05-17T10:21:23.787Z,add_media,0.0776751765,UI,2026-05-17 16:06:23.787,5482.065
Demo experiment,pioreactor01,2026-05-17T10:21:24.287Z,add_media,0.0776751765,UI,2026-05-17 16:06:24.287,5482.065277777778
Demo experiment,pioreactor01,2026-05-17T10:21:24.788Z,add_media,0.0776751765,UI,2026-05-17 16:06:24.788,5482.065277777778
Demo experiment,pioreactor01,2026-05-17T10:21:25.289Z,add_media,0.0776751765,UI,2026-05-17 16:06:25.289,5482.065555555556
Demo experiment,pioreactor01,2026-05-17T10:21:25.790Z,add_media,0.0776751765,UI,2026-05-17 16:06:25.790,5482.065555555556
Demo experiment,pioreactor01,2026-05-17T10:21:26.291Z,add_media,0.0776751765,UI,2026-05-17 16:06:26.291,5482.065833333333
Demo experiment,pioreactor01,2026-05-17T10:21:26.793Z,add_media,0.0776751765,UI,2026-05-17 16:06:26.793,5482.065833333333
Demo experiment,pioreactor01,2026-05-17T10:21:27.293Z,add_media,0.0776751765,UI,2026-05-17 16:06:27.293,5482.066111111111
Demo experiment,pioreactor01,2026-05-17T10:21:27.794Z,add_media,0.0776751765,UI,2026-05-17 16:06:27.794,5482.066111111111
Demo experiment,pioreactor01,2026-05-17T10:21:28.295Z,add_media,0.0776751765,UI,2026-05-17 16:06:28.295,5482.066388888888
Demo experiment,pioreactor01,2026-05-17T10:21:28.795Z,add_media,0.0776751765,UI,2026-05-17 16:06:28.795,5482.066388888888
Demo experiment,pioreactor01,2026-05-17T10:21:29.296Z,add_media,0.0776751765,UI,2026-05-17 16:06:29.296,5482.066666666667
Demo experiment,pioreactor01,2026-05-17T10:21:29.796Z,add_media,0.0776751765,UI,2026-05-17 16:06:29.796,5482.066666666667
Demo experiment,pioreactor01,2026-05-17T10:21:30.297Z,add_media,0.0776751765,UI,2026-05-17 16:06:30.297,5482.066944444445
Demo experiment,pioreactor01,2026-05-17T10:21:30.799Z,add_media,0.0776751765,UI,2026-05-17 16:06:30.799,5482.066944444445
Demo experiment,pioreactor01,2026-05-17T10:21:31.300Z,add_media,0.0776751765,UI,2026-05-17 16:06:31.300,5482.067222222222
Demo experiment,pioreactor01,2026-05-17T10:21:31.801Z,add_media,0.0776751765,UI,2026-05-17 16:06:31.801,5482.067222222222
Demo experiment,pioreactor01,2026-05-17T10:21:32.301Z,add_media,0.0776751765,UI,2026-05-17 16:06:32.301,5482.0675
Demo experiment,pioreactor01,2026-05-17T10:21:32.802Z,add_media,0.0776751765,UI,2026-05-17 16:06:32.802,5482.0675
Demo experiment,pioreactor01,2026-05-17T10:21:33.303Z,add_media,0.0776751765,UI,2026-05-17 16:06:33.303,5482.067777777777
Demo experiment,pioreactor01,2026-05-17T10:21:33.803Z,add_media,0.0776751765,UI,2026-05-17 16:06:33.803,5482.067777777777
Demo experiment,pioreactor01,2026-05-17T10:21:34.304Z,add_media,0.0776751765,UI,2026-05-17 16:06:34.304,5482.068055555555
Demo experiment,pioreactor01,2026-05-17T10:21:34.805Z,add_media,0.0776751765,UI,2026-05-17 16:06:34.805,5482.068055555555
Demo experiment,pioreactor01,2026-05-17T10:21:35.312Z,add_media,0.0776751765,UI,2026-05-17 16:06:35.312,5482.068333333334
Demo experiment,pioreactor01,2026-05-17T10:21:35.813Z,add_media,0.0776751765,UI,2026-05-17 16:06:35.813,5482.068333333334
Demo experiment,pioreactor01,2026-05-17T10:21:36.314Z,add_media,0.0776751765,UI,2026-05-17 16:06:36.314,5482.068611111111
