experiment,pioreactor_unit,timestamp,event,volume_change_ml,source_of_event,timestamp_localtime,hours_since_experiment_created
Demo experiment,pioreactor01,2026-04-24T08:30:05.468Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-04-24 14:15:05.468,4928.21
Demo experiment,pioreactor01,2026-04-24T08:30:05.968Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-04-24 14:15:05.968,4928.21
Demo experiment,pioreactor01,2026-04-24T08:30:06.469Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-04-24 14:15:06.469,4928.210277777778
Demo experiment,pioreactor01,2026-04-24T08:30:06.970Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-04-24 14:15:06.970,4928.210277777778
Demo experiment,pioreactor01,2026-04-24T08:30:07.471Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-04-24 14:15:07.471,4928.210555555555
Demo experiment,pioreactor01,2026-04-24T08:30:07.971Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-04-24 14:15:07.971,4928.210555555555
Demo experiment,pioreactor01,2026-04-24T08:30:08.472Z,remove_waste,0.0160239002,dosing_automation:manual_dosing_control,2026-04-24 14:15:08.472,4928.210833333334
Demo experiment,pioreactor01,2026-04-24T08:30:15.648Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-04-24 14:15:15.648,4928.212777777778
Demo experiment,pioreactor01,2026-04-24T08:30:16.149Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-04-24 14:15:16.149,4928.213055555556
Demo experiment,pioreactor01,2026-04-24T08:30:16.649Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-04-24 14:15:16.649,4928.213055555556
Demo experiment,pioreactor01,2026-04-24T08:30:17.150Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-04-24 14:15:17.150,4928.213333333333
Demo experiment,pioreactor01,2026-04-24T08:30:17.650Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-04-24 14:15:17.650,4928.213333333333
Demo experiment,pioreactor01,2026-04-24T08:30:18.151Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-04-24 14:15:18.151,4928.213611111111
Demo experiment,pioreactor01,2026-04-24T08:30:18.652Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-04-24 14:15:18.652,4928.213611111111
Demo experiment,pioreactor01,2026-04-24T08:30:19.153Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-04-24 14:15:19.153,4928.213888888889
Demo experiment,pioreactor01,2026-04-24T08:30:19.653Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-04-24 14:15:19.653,4928.213888888889
Demo experiment,pioreactor01,2026-04-24T08:30:20.154Z,add_media,0.0776751765,dosing_automation:manual_dosing_control,2026-04-24 14:15:20.154,4928.214166666667
Demo experiment,pioreactor01,2026-04-24T08:30:20.654Z,add_media,0.006048235,dosing_automation:manual_dosing_control,2026-04-24 14:15:20.654,4928.214166666667
Demo experiment,pioreactor01,2026-04-24T08:50:10.658Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-04-24 14:35:10.658,4928.544722222222
Demo experiment,pioreactor01,2026-04-24T08:50:11.159Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-04-24 14:35:11.159,4928.545
Demo experiment,pioreactor01,2026-04-24T08:50:11.660Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-04-24 14:35:11.660,4928.545
Demo experiment,pioreactor01,2026-04-24T08:50:12.161Z,remove_waste,0.0806626833,dosing_automation:manual_dosing_control,2026-04-24 14:35:12.161,4928.545277777778
